scenario,case,bg_db,solver,tech_shape,n_activities,n_products,"ReCiPe 2016 v1.03, midpoint (H) | acidification: terrestrial | terrestrial acidification potential (TAP)","ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)","ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP1000)","ReCiPe 2016 v1.03, midpoint (H) | ecotoxicity: freshwater | freshwater ecotoxicity potential (FETP)","ReCiPe 2016 v1.03, midpoint (H) | ecotoxicity: marine | marine ecotoxicity potential (METP)","ReCiPe 2016 v1.03, midpoint (H) | ecotoxicity: terrestrial | terrestrial ecotoxicity potential (TETP)","ReCiPe 2016 v1.03, midpoint (H) | energy resources: non-renewable, fossil | fossil fuel potential (FFP)","ReCiPe 2016 v1.03, midpoint (H) | eutrophication: freshwater | freshwater eutrophication potential (FEP)","ReCiPe 2016 v1.03, midpoint (H) | eutrophication: marine | marine eutrophication potential (MEP)","ReCiPe 2016 v1.03, midpoint (H) | human toxicity: carcinogenic | human toxicity potential (HTPc)","ReCiPe 2016 v1.03, midpoint (H) | human toxicity: non-carcinogenic | human toxicity potential (HTPnc)","ReCiPe 2016 v1.03, midpoint (H) | ionising radiation | ionising radiation potential (IRP)","ReCiPe 2016 v1.03, midpoint (H) | land use | agricultural land occupation (LOP)","ReCiPe 2016 v1.03, midpoint (H) | material resources: metals/minerals | surplus ore potential (SOP)","ReCiPe 2016 v1.03, midpoint (H) | ozone depletion | ozone depletion potential (ODPinfinite)","ReCiPe 2016 v1.03, midpoint (H) | particulate matter formation | particulate matter formation potential (PMFP)","ReCiPe 2016 v1.03, midpoint (H) | photochemical oxidant formation: human health | photochemical oxidant formation potential: humans (HOFP)","ReCiPe 2016 v1.03, midpoint (H) | photochemical oxidant formation: terrestrial ecosystems | photochemical oxidant formation potential: ecosystems (EOFP)","ReCiPe 2016 v1.03, midpoint (H) | water use | water consumption potential (WCP)"
SSP2M_2050,c3c4_only,prospective_conseq_IMAGE_SSP2M_2050_PERF,standard,"(107090, 107090)",107090,107090,-0.03934166268583623,0.47501137131721255,0.41340500390736523,45.83071546267936,54.5377248475354,-76.86961284712554,0.04519525572437928,-0.0019670544486155603,0.0001921304960448048,2.538580603964494,-29.361977317749442,-0.009324312935610469,-0.27032717763671554,0.13498528207769595,-9.712194994793072e-07,-0.010048543869791,-0.008004337355912682,-0.008189471670446332,0.01210131496425524
SSP2M_2050,degrease_only,prospective_conseq_IMAGE_SSP2M_2050_PERF,standard,"(107090, 107090)",107090,107090,9.6070549424114e-05,0.017002612944796835,0.024315351295875868,0.0013775394137096335,0.001957770565009087,0.22089751134238764,0.004367497769122584,6.37697262827653e-05,0.0001318002219268382,0.011106521832313115,0.11176987025358887,-0.00034062826618284876,0.0016889599654612733,-0.0003523512313331614,3.244017751119847e-08,4.0394206511632915e-05,5.3045235526540475e-05,5.605953865243234e-05,0.002951221564976626
SSP2M_2050,gateA_only,prospective_conseq_IMAGE_SSP2M_2050_PERF,standard,"(107090, 107090)",107090,107090,-0.039437731824857186,0.45800874199274605,0.3890896386965585,45.82933628428089,54.53576512661946,-77.09050760149674,0.04082775649514215,-0.002030824102270397,6.033027196038812e-05,2.527473991742663,-29.473746133939773,-0.008983684348146033,-0.2720161278741226,0.1353376284689785,-1.0036596410968392e-06,-0.010088937715494118,-0.008057382303284786,-0.00824553091421561,0.009150093072045748
SSP2M_2050,joint,prospective_conseq_IMAGE_SSP2M_2050_PERF,standard,"(107090, 107090)",107090,107090,-0.2592184158736159,-37.82111164521652,-38.785412862968045,43.760042693018875,51.64825166728599,-107.64556641155147,-10.403813445074556,-0.011474194732146763,-0.0006920172891100515,-40.79302114725553,-73.06692416513286,-0.06026419669373114,-0.9141666928296156,-0.7899697555451898,-8.602108026816169e-06,-0.08852592589235952,-0.09289593174679421,-0.09713853783582113,-0.254203995153932
SSP2M_2050,stageD_only,prospective_conseq_IMAGE_SSP2M_2050_PERF,standard,"(107090, 107090)",107090,107090,-0.21987675318777955,-38.296123016533855,-39.198817866875544,-2.0706727696605065,-2.8894731802494538,-30.77595356442584,-10.449008700798935,-0.009507140283531198,-0.0008841477851548569,-43.33160175122008,-43.70494684738337,-0.05093988375812069,-0.6438395151928995,-0.9249550376228858,-7.630888527336869e-06,-0.07847738202256851,-0.0848915943908815,-0.08894906616537479,-0.26630531011818687
SSP2M_2050,staged_total,prospective_conseq_IMAGE_SSP2M_2050_PERF,standard,"(107090, 107090)",107090,107090,-0.2592184158736159,-37.82111164521652,-38.785412862968045,43.760042693018875,51.64825166728599,-107.64556641155147,-10.403813445074556,-0.011474194732146767,-0.0006920172891100516,-40.79302114725553,-73.06692416513286,-0.060264196693731155,-0.9141666928296159,-0.7899697555451897,-8.602108026816169e-06,-0.08852592589235952,-0.09289593174679421,-0.09713853783582113,-0.254203995153932
