parameter,meaning,central_value,distribution,bounds_quantiles_used_in_sampling,rationale
f_transition,Retained share of transition/overhead energy (B term) in the C3-C4 route,0.0,Beta-PERT (λ=4),"min 0.0, mode 0.0, max 1.0",Encodes scale-up uncertainty about how much laboratory ramp/overhead energy persists at industrial operation.
pass_share,Fraction of billet output that qualifies for Stage D substitution credit,1.0,Beta-PERT (λ=4),"min 0.7, mode 1.0, max 1.0",Implements the equivalence / eligibility gate: only qualifying billet earns Stage D credit.
