route,n,c3c4_p50,c3c4_p5,c3c4_p95,stage_d_p50,stage_d_p5,stage_d_p95,net_p50,net_p5,net_p95,sign_robust_p5_p95,dominance_ratio_abs_d_over_abs_c3c4_p50,dominance_structure
Landfill,1600,0.1092435296056389,0.0819527898473163,0.1488699742472869,,,,,,,No,,No Stage D (burden-only baseline)
Reuse,1600,0.0125331621016503,0.0102095192519103,0.0154995554232654,-51.151629871862994,-60.1128584218468,-44.51394681973134,-51.14025510431986,-60.09964466019948,-44.49963058214597,Yes,4081.302823421363,Stage D dominated (extreme)
Recycling,1600,2.250029091958783,1.878234796845205,2.767795839622396,-47.61281619695394,-57.7016014480333,-39.95970881130008,-45.38636863964911,-55.2224640817418,-37.64156952627233,Yes,21.160978036734708,Stage D dominated
Aluminium Hydrolysis,2200,23.543509069481185,10.473437803099351,43.63183284431506,-10.876810993812146,-12.6730652999475,-9.502862666345155,12.698893155682503,-0.1503047089756688,32.10287200655388,No,0.46198767404267116,Burden-dominant
MS-FSC,1400,6.88464956062094,5.042252518977656,9.389402457174231,-32.954647239254584,-39.28081732013087,-28.107704444357424,-26.034939975900183,-32.484151155830325,-20.588763111616583,Yes,4.786684775903443,Credit-dominant (sign-robust)
