ssp_pathway,n,c3c4_p50,c3c4_p5,c3c4_p95,stage_d_p50,stage_d_p5,stage_d_p95,net_p50,net_p5,net_p95,sign_robust_p5_p95,dominance_ratio_abs_d_over_abs_c3c4_p50,dominance_structure
SSP1-VLLO,2600,3.0573674249527927,1.9295420401231616,5.315975012218833,-6.163609796765924,-6.844745783421258,-5.461773247227416,-3.044321371240093,-4.315212511344221,-0.8210392316755593,Yes,2.015985957873903,Credit-dominant (sign-robust)
SSP2-M,2600,3.0573674249527927,1.9295420401231616,5.315975012218833,-6.163609796765924,-6.844745783421258,-5.461773247227416,-3.044321371240093,-4.315212511344221,-0.8210392316755593,Yes,2.015985957873903,Credit-dominant (sign-robust)
SSP5-H,2600,3.0573674249527927,1.9295420401231616,5.315975012218833,-6.163609796765924,-6.844745783421258,-5.461773247227416,-3.044321371240093,-4.315212511344221,-0.8210392316755593,Yes,2.015985957873903,Credit-dominant (sign-robust)
