ssp_pathway,n,c3c4_p50,c3c4_p5,c3c4_p95,stage_d_p50,stage_d_p5,stage_d_p95,net_p50,net_p5,net_p95,sign_robust_p5_p95,dominance_ratio_abs_d_over_abs_c3c4_p50,dominance_structure
SSP1-VLLO,1400,5.981317534262816,5.212487393443413,7.925496408924249,-35.53847344341859,-36.88018379538845,-32.09661949334314,-29.310488369092845,-31.278087997336357,-25.61952686307577,Yes,5.941579466370635,Stage D dominated
SSP2-M,1400,5.981317534262816,5.212487393443413,7.925496408924249,-35.53847344341859,-36.88018379538845,-32.09661949334314,-29.310488369092845,-31.278087997336357,-25.61952686307577,Yes,5.941579466370635,Stage D dominated
SSP5-H,1400,5.981317534262816,5.212487393443413,7.925496408924249,-35.53847344341859,-36.88018379538845,-32.09661949334314,-29.310488369092845,-31.278087997336357,-25.61952686307577,Yes,5.941579466370635,Stage D dominated
