tag,case,"ReCiPe 2016 v1.03, midpoint (H) | acidification: terrestrial | terrestrial acidification potential (TAP)","ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)","ReCiPe 2016 v1.03, midpoint (H) | ecotoxicity: freshwater | freshwater ecotoxicity potential (FETP)","ReCiPe 2016 v1.03, midpoint (H) | ecotoxicity: marine | marine ecotoxicity potential (METP)","ReCiPe 2016 v1.03, midpoint (H) | ecotoxicity: terrestrial | terrestrial ecotoxicity potential (TETP)","ReCiPe 2016 v1.03, midpoint (H) | energy resources: non-renewable, fossil | fossil fuel potential (FFP)","ReCiPe 2016 v1.03, midpoint (H) | eutrophication: freshwater | freshwater eutrophication potential (FEP)","ReCiPe 2016 v1.03, midpoint (H) | eutrophication: marine | marine eutrophication potential (MEP)","ReCiPe 2016 v1.03, midpoint (H) | human toxicity: carcinogenic | human toxicity potential (HTPc)","ReCiPe 2016 v1.03, midpoint (H) | human toxicity: non-carcinogenic | human toxicity potential (HTPnc)","ReCiPe 2016 v1.03, midpoint (H) | ionising radiation | ionising radiation potential (IRP)","ReCiPe 2016 v1.03, midpoint (H) | land use | agricultural land occupation (LOP)","ReCiPe 2016 v1.03, midpoint (H) | material resources: metals/minerals | surplus ore potential (SOP)","ReCiPe 2016 v1.03, midpoint (H) | ozone depletion | ozone depletion potential (ODPinfinite)","ReCiPe 2016 v1.03, midpoint (H) | particulate matter formation | particulate matter formation potential (PMFP)","ReCiPe 2016 v1.03, midpoint (H) | photochemical oxidant formation: human health | photochemical oxidant formation potential: humans (HOFP)","ReCiPe 2016 v1.03, midpoint (H) | photochemical oxidant formation: terrestrial ecosystems | photochemical oxidant formation potential: ecosystems (EOFP)","ReCiPe 2016 v1.03, midpoint (H) | water use | water consumption potential (WCP)"
contemp_msfsc,c3c4,-0.03750488587446472,6.365813389616633,45.94471866332412,54.68172440269205,-71.13105161645994,2.317022892552456,-0.0020062913098373007,0.00022665452719227707,2.8428588099261916,-28.378740016177524,1.104444001179489,-0.22280748387388657,0.1426927333511018,1.109989693032889e-07,-0.010321736122641558,-0.001401945996760319,-0.00045219322733780227,0.29096196077011344
contemp_msfsc,joint,-0.26671282910080835,-32.01580090931401,44.06159424604631,52.02875470215827,-103.29226038025647,-5.75628134559109,-0.01490234596492931,-0.0008110046097419092,-38.77985126545448,-74.41493134803977,0.4960460180539555,-0.810284069039497,-0.6957350831532157,-8.50402009203223e-06,-0.10047264482103643,-0.09990138478166256,-0.10312016022654198,-0.49251964926776304
contemp_msfsc,staged_total,-0.22920794322634372,-38.381614298930636,-1.8831244172778439,-2.652969700533775,-32.16120876379649,-8.073304238143542,-0.012896054655092002,-0.0010376591369341864,-41.62271007538064,-46.036191331862206,-0.608397983125534,-0.5874765851656103,-0.8384278165043165,-8.615019061335524e-06,-0.0901509086983949,-0.09849943878490212,-0.10266796699920408,-0.7834816100378779
