tag,case,method_0,method_1,method_2,method,score
contemp_msfsc,staged_total,"ReCiPe 2016 v1.03, midpoint (H)",ecotoxicity: terrestrial,terrestrial ecotoxicity potential (TETP),"ReCiPe 2016 v1.03, midpoint (H) | ecotoxicity: terrestrial | terrestrial ecotoxicity potential (TETP)",-32.16120876379649
contemp_msfsc,staged_total,"ReCiPe 2016 v1.03, midpoint (H)","energy resources: non-renewable, fossil",fossil fuel potential (FFP),"ReCiPe 2016 v1.03, midpoint (H) | energy resources: non-renewable, fossil | fossil fuel potential (FFP)",-8.07330423814354
contemp_msfsc,staged_total,"ReCiPe 2016 v1.03, midpoint (H)",eutrophication: freshwater,freshwater eutrophication potential (FEP),"ReCiPe 2016 v1.03, midpoint (H) | eutrophication: freshwater | freshwater eutrophication potential (FEP)",-0.012896054655091997
contemp_msfsc,staged_total,"ReCiPe 2016 v1.03, midpoint (H)",eutrophication: marine,marine eutrophication potential (MEP),"ReCiPe 2016 v1.03, midpoint (H) | eutrophication: marine | marine eutrophication potential (MEP)",-0.0010376591369341862
contemp_msfsc,staged_total,"ReCiPe 2016 v1.03, midpoint (H)",human toxicity: carcinogenic,human toxicity potential (HTPc),"ReCiPe 2016 v1.03, midpoint (H) | human toxicity: carcinogenic | human toxicity potential (HTPc)",-41.62271007538064
contemp_msfsc,staged_total,"ReCiPe 2016 v1.03, midpoint (H)",human toxicity: non-carcinogenic,human toxicity potential (HTPnc),"ReCiPe 2016 v1.03, midpoint (H) | human toxicity: non-carcinogenic | human toxicity potential (HTPnc)",-46.03619133186221
contemp_msfsc,staged_total,"ReCiPe 2016 v1.03, midpoint (H)",ionising radiation,ionising radiation potential (IRP),"ReCiPe 2016 v1.03, midpoint (H) | ionising radiation | ionising radiation potential (IRP)",-0.6083979831255337
contemp_msfsc,staged_total,"ReCiPe 2016 v1.03, midpoint (H)",land use,agricultural land occupation (LOP),"ReCiPe 2016 v1.03, midpoint (H) | land use | agricultural land occupation (LOP)",-0.5874765851656103
contemp_msfsc,staged_total,"ReCiPe 2016 v1.03, midpoint (H)",material resources: metals/minerals,surplus ore potential (SOP),"ReCiPe 2016 v1.03, midpoint (H) | material resources: metals/minerals | surplus ore potential (SOP)",-0.8384278165043167
contemp_msfsc,staged_total,"ReCiPe 2016 v1.03, midpoint (H)",ozone depletion,ozone depletion potential (ODPinfinite),"ReCiPe 2016 v1.03, midpoint (H) | ozone depletion | ozone depletion potential (ODPinfinite)",-8.615019061335523e-06
contemp_msfsc,staged_total,"ReCiPe 2016 v1.03, midpoint (H)",particulate matter formation,particulate matter formation potential (PMFP),"ReCiPe 2016 v1.03, midpoint (H) | particulate matter formation | particulate matter formation potential (PMFP)",-0.0901509086983949
contemp_msfsc,staged_total,"ReCiPe 2016 v1.03, midpoint (H)",photochemical oxidant formation: human health,photochemical oxidant formation potential: humans (HOFP),"ReCiPe 2016 v1.03, midpoint (H) | photochemical oxidant formation: human health | photochemical oxidant formation potential: humans (HOFP)",-0.09849943878490211
contemp_msfsc,staged_total,"ReCiPe 2016 v1.03, midpoint (H)",photochemical oxidant formation: terrestrial ecosystems,photochemical oxidant formation potential: ecosystems (EOFP),"ReCiPe 2016 v1.03, midpoint (H) | photochemical oxidant formation: terrestrial ecosystems | photochemical oxidant formation potential: ecosystems (EOFP)",-0.10266796699920405
contemp_msfsc,staged_total,"ReCiPe 2016 v1.03, midpoint (H)",water use,water consumption potential (WCP),"ReCiPe 2016 v1.03, midpoint (H) | water use | water consumption potential (WCP)",-0.783481610037878
contemp_msfsc,joint,"ReCiPe 2016 v1.03, midpoint (H)",climate change,global warming potential (GWP100),"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",-32.01580090931402
contemp_msfsc,joint,"ReCiPe 2016 v1.03, midpoint (H)",acidification: terrestrial,terrestrial acidification potential (TAP),"ReCiPe 2016 v1.03, midpoint (H) | acidification: terrestrial | terrestrial acidification potential (TAP)",-0.26671282910080835
contemp_msfsc,joint,"ReCiPe 2016 v1.03, midpoint (H)",ecotoxicity: freshwater,freshwater ecotoxicity potential (FETP),"ReCiPe 2016 v1.03, midpoint (H) | ecotoxicity: freshwater | freshwater ecotoxicity potential (FETP)",44.06159424604631
contemp_msfsc,joint,"ReCiPe 2016 v1.03, midpoint (H)",ecotoxicity: marine,marine ecotoxicity potential (METP),"ReCiPe 2016 v1.03, midpoint (H) | ecotoxicity: marine | marine ecotoxicity potential (METP)",52.02875470215827
contemp_msfsc,joint,"ReCiPe 2016 v1.03, midpoint (H)",ecotoxicity: terrestrial,terrestrial ecotoxicity potential (TETP),"ReCiPe 2016 v1.03, midpoint (H) | ecotoxicity: terrestrial | terrestrial ecotoxicity potential (TETP)",-103.29226038025647
contemp_msfsc,joint,"ReCiPe 2016 v1.03, midpoint (H)","energy resources: non-renewable, fossil",fossil fuel potential (FFP),"ReCiPe 2016 v1.03, midpoint (H) | energy resources: non-renewable, fossil | fossil fuel potential (FFP)",-5.75628134559109
contemp_msfsc,joint,"ReCiPe 2016 v1.03, midpoint (H)",eutrophication: freshwater,freshwater eutrophication potential (FEP),"ReCiPe 2016 v1.03, midpoint (H) | eutrophication: freshwater | freshwater eutrophication potential (FEP)",-0.01490234596492931
contemp_msfsc,joint,"ReCiPe 2016 v1.03, midpoint (H)",eutrophication: marine,marine eutrophication potential (MEP),"ReCiPe 2016 v1.03, midpoint (H) | eutrophication: marine | marine eutrophication potential (MEP)",-0.0008110046097419095
contemp_msfsc,joint,"ReCiPe 2016 v1.03, midpoint (H)",human toxicity: carcinogenic,human toxicity potential (HTPc),"ReCiPe 2016 v1.03, midpoint (H) | human toxicity: carcinogenic | human toxicity potential (HTPc)",-38.779851265454475
contemp_msfsc,joint,"ReCiPe 2016 v1.03, midpoint (H)",human toxicity: non-carcinogenic,human toxicity potential (HTPnc),"ReCiPe 2016 v1.03, midpoint (H) | human toxicity: non-carcinogenic | human toxicity potential (HTPnc)",-74.41493134803976
contemp_msfsc,joint,"ReCiPe 2016 v1.03, midpoint (H)",ionising radiation,ionising radiation potential (IRP),"ReCiPe 2016 v1.03, midpoint (H) | ionising radiation | ionising radiation potential (IRP)",0.4960460180539551
contemp_msfsc,joint,"ReCiPe 2016 v1.03, midpoint (H)",land use,agricultural land occupation (LOP),"ReCiPe 2016 v1.03, midpoint (H) | land use | agricultural land occupation (LOP)",-0.8102840690394972
contemp_msfsc,joint,"ReCiPe 2016 v1.03, midpoint (H)",material resources: metals/minerals,surplus ore potential (SOP),"ReCiPe 2016 v1.03, midpoint (H) | material resources: metals/minerals | surplus ore potential (SOP)",-0.6957350831532156
contemp_msfsc,joint,"ReCiPe 2016 v1.03, midpoint (H)",ozone depletion,ozone depletion potential (ODPinfinite),"ReCiPe 2016 v1.03, midpoint (H) | ozone depletion | ozone depletion potential (ODPinfinite)",-8.50402009203223e-06
contemp_msfsc,joint,"ReCiPe 2016 v1.03, midpoint (H)",particulate matter formation,particulate matter formation potential (PMFP),"ReCiPe 2016 v1.03, midpoint (H) | particulate matter formation | particulate matter formation potential (PMFP)",-0.10047264482103643
contemp_msfsc,joint,"ReCiPe 2016 v1.03, midpoint (H)",photochemical oxidant formation: human health,photochemical oxidant formation potential: humans (HOFP),"ReCiPe 2016 v1.03, midpoint (H) | photochemical oxidant formation: human health | photochemical oxidant formation potential: humans (HOFP)",-0.09990138478166256
contemp_msfsc,joint,"ReCiPe 2016 v1.03, midpoint (H)",photochemical oxidant formation: terrestrial ecosystems,photochemical oxidant formation potential: ecosystems (EOFP),"ReCiPe 2016 v1.03, midpoint (H) | photochemical oxidant formation: terrestrial ecosystems | photochemical oxidant formation potential: ecosystems (EOFP)",-0.10312016022654198
contemp_msfsc,joint,"ReCiPe 2016 v1.03, midpoint (H)",water use,water consumption potential (WCP),"ReCiPe 2016 v1.03, midpoint (H) | water use | water consumption potential (WCP)",-0.49251964926776304
