mode,scenario,fg_db,route,case,"ReCiPe 2016 v1.03, midpoint (H) | acidification: terrestrial | terrestrial acidification potential (TAP)","ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)","ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP1000)","ReCiPe 2016 v1.03, midpoint (H) | ecotoxicity: freshwater | freshwater ecotoxicity potential (FETP)","ReCiPe 2016 v1.03, midpoint (H) | ecotoxicity: marine | marine ecotoxicity potential (METP)","ReCiPe 2016 v1.03, midpoint (H) | ecotoxicity: terrestrial | terrestrial ecotoxicity potential (TETP)","ReCiPe 2016 v1.03, midpoint (H) | energy resources: non-renewable, fossil | fossil fuel potential (FFP)","ReCiPe 2016 v1.03, midpoint (H) | eutrophication: freshwater | freshwater eutrophication potential (FEP)","ReCiPe 2016 v1.03, midpoint (H) | eutrophication: marine | marine eutrophication potential (MEP)","ReCiPe 2016 v1.03, midpoint (H) | human toxicity: carcinogenic | human toxicity potential (HTPc)","ReCiPe 2016 v1.03, midpoint (H) | human toxicity: non-carcinogenic | human toxicity potential (HTPnc)","ReCiPe 2016 v1.03, midpoint (H) | ionising radiation | ionising radiation potential (IRP)","ReCiPe 2016 v1.03, midpoint (H) | land use | agricultural land occupation (LOP)","ReCiPe 2016 v1.03, midpoint (H) | material resources: metals/minerals | surplus ore potential (SOP)","ReCiPe 2016 v1.03, midpoint (H) | ozone depletion | ozone depletion potential (ODPinfinite)","ReCiPe 2016 v1.03, midpoint (H) | particulate matter formation | particulate matter formation potential (PMFP)","ReCiPe 2016 v1.03, midpoint (H) | photochemical oxidant formation: human health | photochemical oxidant formation potential: humans (HOFP)","ReCiPe 2016 v1.03, midpoint (H) | photochemical oxidant formation: terrestrial ecosystems | photochemical oxidant formation potential: ecosystems (EOFP)","ReCiPe 2016 v1.03, midpoint (H) | water use | water consumption potential (WCP)"
prospect,SSP2M_2050,mtcw_foreground_prospective,landfill,c3c4,0.0002353594018531258,0.08017090403622963,0.0870436894982669,0.030021798513534193,0.04131377173933569,0.5483609472339521,0.03273242903125697,6.43766472917657e-06,3.861517889672576e-05,0.004831221386173144,1.0748209699302516,0.0004812051995798148,0.014808044053680377,0.00029417008461187237,7.134238781949259e-08,0.00010761650117863755,0.0004194198075612022,0.0004417044797367071,0.0007570052717888325
prospect,SSP2M_2050,mtcw_foreground_prospective,landfill,net_wrapper,0.0002353594018531258,0.08017090403622963,0.0870436894982669,0.030021798513534193,0.04131377173933569,0.5483609472339521,0.03273242903125697,6.43766472917657e-06,3.861517889672576e-05,0.004831221386173144,1.0748209699302516,0.0004812051995798148,0.014808044053680377,0.00029417008461187237,7.134238781949259e-08,0.00010761650117863755,0.0004194198075612022,0.0004417044797367071,0.0007570052717888325
prospect,SSP2M_2050,mtcw_foreground_prospective,recycling_postcons,c3c4,-0.2483818322201667,-50.06138592851014,-50.86815128494628,-1.4697485595103752,-2.0607787539905877,15.936638330917557,-12.432739591618464,-0.010730349350956975,-0.0010845575086948108,-47.4976594061616,-15.966349734072274,-0.05069066325575586,-0.6255390991886173,-0.9729748103722785,-7.396626744200372e-06,-0.08879387919075898,-0.09773776101548567,-0.10443478593062175,-0.3175220474434941
prospect,SSP2M_2050,mtcw_foreground_prospective,recycling_postcons,joint,-0.5016637752878109,-101.83279609642814,-103.54080454322603,-3.8016139541421645,-5.31331693032581,-17.384956778418122,-25.32607316964298,-0.021805565247774925,-0.0021355532257909993,-95.53718927492427,-65.34822912884638,-0.10017696023639483,-1.3405778914339552,-2.0128470458383183,-1.622316944216457e-05,-0.17896243026426603,-0.19979859736979824,-0.21349450721284977,-0.6216895734707656
prospect,SSP2M_2050,mtcw_foreground_prospective,recycling_postcons,net_wrapper,-0.2483818322201667,-50.06138592851014,-50.86815128494628,-1.4697485595103752,-2.0607787539905877,15.936638330917557,-12.432739591618464,-0.010730349350956975,-0.0010845575086948108,-47.4976594061616,-15.966349734072274,-0.05069066325575586,-0.6255390991886173,-0.9729748103722785,-7.396626744200372e-06,-0.08879387919075898,-0.09773776101548567,-0.10443478593062175,-0.3175220474434941
prospect,SSP2M_2050,mtcw_foreground_prospective,recycling_postcons,staged_total,-0.25328194306764407,-51.77141016791807,-52.6726532582798,-2.3318653946317904,-3.2525381763352263,-33.32159510933574,-12.893333578024524,-0.011075215896817965,-0.0010509957170961894,-48.0395298687628,-49.381879394774145,-0.049486296980638944,-0.7150387922453388,-1.03987223546604,-8.826542697964204e-06,-0.09016855107350703,-0.10206083635431255,-0.10905972128222806,-0.3041675260272708
prospect,SSP2M_2050,mtcw_foreground_prospective,reuse,c3c4,4.194889238587511e-05,0.007424135520293489,0.010617218878329034,0.0006014980932772694,0.0008548541339928532,0.09645417825862526,0.0019070536625649835,2.784484303073146e-05,5.755013706712682e-05,0.004849626588902539,0.048803949383804744,-0.0001487342231192309,0.0007374788654510799,-0.0001538530167126402,1.4164897738156922e-08,1.76379986773522e-05,2.3162029186058944e-05,2.4478214819205764e-05,0.0012886412439305343
prospect,SSP2M_2050,mtcw_foreground_prospective,reuse,joint,-0.24538142322104062,-52.754318255047394,-53.82730275482306,-2.5993534867148003,-3.586756707568589,-43.51107805544827,-13.213772594335389,-0.011064826462276647,-0.001682348271651115,-45.96948181784681,-53.591766497126684,-0.09730682724135051,-0.8233007828398065,-0.9965750505789894,-9.42979175630689e-06,-0.08829454149339658,-0.10166336166888912,-0.10878498777077736,-0.3020497386806587
prospect,SSP2M_2050,mtcw_foreground_prospective,reuse,net_wrapper,-0.24538142322104062,-52.754318255047394,-53.82730275482306,-2.5993534867148003,-3.586756707568589,-43.51107805544827,-13.213772594335389,-0.011064826462276647,-0.001682348271651115,-45.96948181784681,-53.591766497126684,-0.09730682724135051,-0.8233007828398065,-0.9965750505789894,-9.42979175630689e-06,-0.08829454149339658,-0.10166336166888912,-0.10878498777077736,-0.3020497386806587
prospect,SSP2M_2050,mtcw_foreground_prospective,reuse,staged_total,-0.24542337211342652,-52.76174239056758,-53.8379199737013,-2.5999549848080763,-3.5876115617025786,-43.6075322337069,-13.215679647997955,-0.011092671305307378,-0.001739898408718243,-45.974331444435755,-53.64057044651044,-0.09715809301823132,-0.8240382617052572,-0.9964211975622768,-9.443956654045041e-06,-0.08831217949207397,-0.10168652369807507,-0.10880946598559645,-0.3033383799245899
