rank,contribution,share_percent_of_total,activity_key,activity_name,activity_location,activity_db,activity_code
1,0.00042446351715331147,5.717346026255346,"('prospective_conseq_IMAGE_SSP2M_2050_PERF', 'af6dca4687cf46728d137c5c4d910aa9')","heat and power co-generation, lignite",RoW,prospective_conseq_IMAGE_SSP2M_2050_PERF,af6dca4687cf46728d137c5c4d910aa9
2,0.0004229534643888515,5.69700624716144,"('prospective_conseq_IMAGE_SSP2M_2050_PERF', '5f9a490c464f4285a59b4a7822d832c4')",pig iron production,RoW,prospective_conseq_IMAGE_SSP2M_2050_PERF,5f9a490c464f4285a59b4a7822d832c4
3,0.0003867183203338897,5.20893401362105,"('prospective_conseq_IMAGE_SSP2M_2050_PERF', '4e84d833e11b4f559a1c04fe044915d9')",natural gas venting from petroleum/natural gas production,GLO,prospective_conseq_IMAGE_SSP2M_2050_PERF,4e84d833e11b4f559a1c04fe044915d9
4,0.0003106555114561654,4.184399794521594,"('prospective_conseq_IMAGE_SSP2M_2050_PERF', 'd01b197fa7fb4e4cab824ef2fe135739')","heat and power co-generation, natural gas, 200kW electrical, lean burn",RoW,prospective_conseq_IMAGE_SSP2M_2050_PERF,d01b197fa7fb4e4cab824ef2fe135739
5,0.00028033540428997193,3.7760006336588234,"('prospective_conseq_IMAGE_SSP2M_2050_PERF', '59ccccebceb44166b33ffae831f5c245')","treatment of sewage sludge, 97% water, WWT, WW, average, landfarming",CA-QC,prospective_conseq_IMAGE_SSP2M_2050_PERF,59ccccebceb44166b33ffae831f5c245
6,0.00020381043220219877,2.7452412694392976,"('prospective_conseq_IMAGE_SSP2M_2050_PERF', '01faf805f6194336a0a632dd9b08f515')",clinker production,RoW,prospective_conseq_IMAGE_SSP2M_2050_PERF,01faf805f6194336a0a632dd9b08f515
7,0.00018855231275728072,2.5397207828693693,"('prospective_conseq_IMAGE_SSP2M_2050_PERF', '574d05c5c33540188dd1b4ab170cbca6')",hard coal mine operation and hard coal preparation,CN,prospective_conseq_IMAGE_SSP2M_2050_PERF,574d05c5c33540188dd1b4ab170cbca6
8,0.00018817929338659458,2.534696367977339,"('prospective_conseq_IMAGE_SSP2M_2050_PERF', '5118559e40fb4cc2bc83e6e78574f5ed')","heat and power co-generation, natural gas, combined cycle power plant, 400MW electrical",IT,prospective_conseq_IMAGE_SSP2M_2050_PERF,5118559e40fb4cc2bc83e6e78574f5ed
9,0.00016667144986478268,2.2449947123027987,"('prospective_conseq_IMAGE_SSP2M_2050_PERF', '6ec84ac4db874ea29910f10b181dbcca')","heat and power co-generation, hard coal",RU,prospective_conseq_IMAGE_SSP2M_2050_PERF,6ec84ac4db874ea29910f10b181dbcca
10,0.00014517804010583552,1.9554874733765149,"('prospective_conseq_IMAGE_SSP2M_2050_PERF', 'f99e83c170644f31b01d4fd7e6338422')","treatment of wastewater, average, wastewater treatment",CA-QC,prospective_conseq_IMAGE_SSP2M_2050_PERF,f99e83c170644f31b01d4fd7e6338422
