scenario,route,case,bg_db,method,score,solver,tech_shape,n_activities,n_products,error
SSP2M_2050,reuse,net,prospective_conseq_IMAGE_SSP2M_2050_PERF,"ReCiPe 2016 v1.03, midpoint (H) | energy resources: non-renewable, fossil | fossil fuel potential (FFP)",-11.9176876441406,standard,"(107090, 107090)",107090,107090,
SSP2M_2050,reuse,net,prospective_conseq_IMAGE_SSP2M_2050_PERF,"ReCiPe 2016 v1.03, midpoint (H) | eutrophication: freshwater | freshwater eutrophication potential (FEP)",-0.010532051996683897,standard,"(107090, 107090)",107090,107090,
SSP2M_2050,reuse,net,prospective_conseq_IMAGE_SSP2M_2050_PERF,"ReCiPe 2016 v1.03, midpoint (H) | eutrophication: marine | marine eutrophication potential (MEP)",-0.0016149104878684642,standard,"(107090, 107090)",107090,107090,
SSP2M_2050,reuse,net,prospective_conseq_IMAGE_SSP2M_2050_PERF,"ReCiPe 2016 v1.03, midpoint (H) | human toxicity: carcinogenic | human toxicity potential (HTPc)",-45.83928644075378,standard,"(107090, 107090)",107090,107090,
SSP2M_2050,reuse,net,prospective_conseq_IMAGE_SSP2M_2050_PERF,"ReCiPe 2016 v1.03, midpoint (H) | human toxicity: non-carcinogenic | human toxicity potential (HTPnc)",-52.56090279378753,standard,"(107090, 107090)",107090,107090,
SSP2M_2050,reuse,net,prospective_conseq_IMAGE_SSP2M_2050_PERF,"ReCiPe 2016 v1.03, midpoint (H) | ionising radiation | ionising radiation potential (IRP)",-0.1062686537868954,standard,"(107090, 107090)",107090,107090,
SSP2M_2050,reuse,net,prospective_conseq_IMAGE_SSP2M_2050_PERF,"ReCiPe 2016 v1.03, midpoint (H) | land use | agricultural land occupation (LOP)",-0.8919969774755511,standard,"(107090, 107090)",107090,107090,
SSP2M_2050,reuse,net,prospective_conseq_IMAGE_SSP2M_2050_PERF,"ReCiPe 2016 v1.03, midpoint (H) | material resources: metals/minerals | surplus ore potential (SOP)",-0.983725618115246,standard,"(107090, 107090)",107090,107090,
SSP2M_2050,reuse,net,prospective_conseq_IMAGE_SSP2M_2050_PERF,"ReCiPe 2016 v1.03, midpoint (H) | ozone depletion | ozone depletion potential (ODPinfinite)",-9.093450645945603e-06,standard,"(107090, 107090)",107090,107090,
SSP2M_2050,reuse,net,prospective_conseq_IMAGE_SSP2M_2050_PERF,"ReCiPe 2016 v1.03, midpoint (H) | particulate matter formation | particulate matter formation potential (PMFP)",-0.08501795303321374,standard,"(107090, 107090)",107090,107090,
SSP2M_2050,reuse,net,prospective_conseq_IMAGE_SSP2M_2050_PERF,"ReCiPe 2016 v1.03, midpoint (H) | photochemical oxidant formation: human health | photochemical oxidant formation potential: humans (HOFP)",-0.09388358289435987,standard,"(107090, 107090)",107090,107090,
SSP2M_2050,reuse,net,prospective_conseq_IMAGE_SSP2M_2050_PERF,"ReCiPe 2016 v1.03, midpoint (H) | photochemical oxidant formation: terrestrial ecosystems | photochemical oxidant formation potential: ecosystems (EOFP)",-0.09860348289022801,standard,"(107090, 107090)",107090,107090,
SSP2M_2050,reuse,net,prospective_conseq_IMAGE_SSP2M_2050_PERF,"ReCiPe 2016 v1.03, midpoint (H) | water use | water consumption potential (WCP)",-0.29492533175673613,standard,"(107090, 107090)",107090,107090,
SSP2M_2050,reuse,stageD_only,prospective_conseq_IMAGE_SSP2M_2050_PERF,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",-43.71386681047848,standard,"(107090, 107090)",107090,107090,
SSP2M_2050,reuse,stageD_only,prospective_conseq_IMAGE_SSP2M_2050_PERF,"ReCiPe 2016 v1.03, midpoint (H) | acidification: terrestrial | terrestrial acidification potential (TAP)",-0.23553563733216648,standard,"(107090, 107090)",107090,107090,
SSP2M_2050,reuse,stageD_only,prospective_conseq_IMAGE_SSP2M_2050_PERF,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP1000)",-45.046678558870575,standard,"(107090, 107090)",107090,107090,
SSP2M_2050,reuse,stageD_only,prospective_conseq_IMAGE_SSP2M_2050_PERF,"ReCiPe 2016 v1.03, midpoint (H) | ecotoxicity: freshwater | freshwater ecotoxicity potential (FETP)",-2.5609807840452823,standard,"(107090, 107090)",107090,107090,
SSP2M_2050,reuse,stageD_only,prospective_conseq_IMAGE_SSP2M_2050_PERF,"ReCiPe 2016 v1.03, midpoint (H) | ecotoxicity: marine | marine ecotoxicity potential (METP)",-3.533592041129802,standard,"(107090, 107090)",107090,107090,
SSP2M_2050,reuse,stageD_only,prospective_conseq_IMAGE_SSP2M_2050_PERF,"ReCiPe 2016 v1.03, midpoint (H) | ecotoxicity: terrestrial | terrestrial ecotoxicity potential (TETP)",-42.939684810319335,standard,"(107090, 107090)",107090,107090,
SSP2M_2050,reuse,stageD_only,prospective_conseq_IMAGE_SSP2M_2050_PERF,"ReCiPe 2016 v1.03, midpoint (H) | energy resources: non-renewable, fossil | fossil fuel potential (FFP)",-11.919594697803165,standard,"(107090, 107090)",107090,107090,
SSP2M_2050,reuse,stageD_only,prospective_conseq_IMAGE_SSP2M_2050_PERF,"ReCiPe 2016 v1.03, midpoint (H) | eutrophication: freshwater | freshwater eutrophication potential (FEP)",-0.010559896839714634,standard,"(107090, 107090)",107090,107090,
SSP2M_2050,reuse,stageD_only,prospective_conseq_IMAGE_SSP2M_2050_PERF,"ReCiPe 2016 v1.03, midpoint (H) | eutrophication: marine | marine eutrophication potential (MEP)",-0.001672460624935591,standard,"(107090, 107090)",107090,107090,
SSP2M_2050,reuse,stageD_only,prospective_conseq_IMAGE_SSP2M_2050_PERF,"ReCiPe 2016 v1.03, midpoint (H) | human toxicity: carcinogenic | human toxicity potential (HTPc)",-45.844136067342646,standard,"(107090, 107090)",107090,107090,
SSP2M_2050,reuse,stageD_only,prospective_conseq_IMAGE_SSP2M_2050_PERF,"ReCiPe 2016 v1.03, midpoint (H) | human toxicity: non-carcinogenic | human toxicity potential (HTPnc)",-52.60970674317133,standard,"(107090, 107090)",107090,107090,
SSP2M_2050,reuse,stageD_only,prospective_conseq_IMAGE_SSP2M_2050_PERF,"ReCiPe 2016 v1.03, midpoint (H) | ionising radiation | ionising radiation potential (IRP)",-0.10611991956377603,standard,"(107090, 107090)",107090,107090,
SSP2M_2050,reuse,stageD_only,prospective_conseq_IMAGE_SSP2M_2050_PERF,"ReCiPe 2016 v1.03, midpoint (H) | land use | agricultural land occupation (LOP)",-0.8927344563410023,standard,"(107090, 107090)",107090,107090,
SSP2M_2050,reuse,stageD_only,prospective_conseq_IMAGE_SSP2M_2050_PERF,"ReCiPe 2016 v1.03, midpoint (H) | material resources: metals/minerals | surplus ore potential (SOP)",-0.9835717650985332,standard,"(107090, 107090)",107090,107090,
SSP2M_2050,reuse,stageD_only,prospective_conseq_IMAGE_SSP2M_2050_PERF,"ReCiPe 2016 v1.03, midpoint (H) | ozone depletion | ozone depletion potential (ODPinfinite)",-9.10761554368376e-06,standard,"(107090, 107090)",107090,107090,
SSP2M_2050,reuse,stageD_only,prospective_conseq_IMAGE_SSP2M_2050_PERF,"ReCiPe 2016 v1.03, midpoint (H) | particulate matter formation | particulate matter formation potential (PMFP)",-0.08503559103189111,standard,"(107090, 107090)",107090,107090,
SSP2M_2050,reuse,stageD_only,prospective_conseq_IMAGE_SSP2M_2050_PERF,"ReCiPe 2016 v1.03, midpoint (H) | photochemical oxidant formation: human health | photochemical oxidant formation potential: humans (HOFP)",-0.09390674492354603,standard,"(107090, 107090)",107090,107090,
SSP2M_2050,reuse,stageD_only,prospective_conseq_IMAGE_SSP2M_2050_PERF,"ReCiPe 2016 v1.03, midpoint (H) | photochemical oxidant formation: terrestrial ecosystems | photochemical oxidant formation potential: ecosystems (EOFP)",-0.09862796110504733,standard,"(107090, 107090)",107090,107090,
SSP2M_2050,reuse,stageD_only,prospective_conseq_IMAGE_SSP2M_2050_PERF,"ReCiPe 2016 v1.03, midpoint (H) | water use | water consumption potential (WCP)",-0.296213973000667,standard,"(107090, 107090)",107090,107090,
SSP2M_2050,reuse,joint,prospective_conseq_IMAGE_SSP2M_2050_PERF,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",-43.706442674958105,standard,"(107090, 107090)",107090,107090,
SSP2M_2050,reuse,joint,prospective_conseq_IMAGE_SSP2M_2050_PERF,"ReCiPe 2016 v1.03, midpoint (H) | acidification: terrestrial | terrestrial acidification potential (TAP)",-0.2354936884397804,standard,"(107090, 107090)",107090,107090,
SSP2M_2050,reuse,joint,prospective_conseq_IMAGE_SSP2M_2050_PERF,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP1000)",-45.036061339992166,standard,"(107090, 107090)",107090,107090,
SSP2M_2050,reuse,joint,prospective_conseq_IMAGE_SSP2M_2050_PERF,"ReCiPe 2016 v1.03, midpoint (H) | ecotoxicity: freshwater | freshwater ecotoxicity potential (FETP)",-2.5603792859520036,standard,"(107090, 107090)",107090,107090,
