rank,contribution,share_percent_of_total,activity_key,activity_name,activity_location,activity_db,activity_code
1,0.5046560693930805,-557.134889059141,"('prospective_conseq_IMAGE_SSP2M_2050_PERF', '407e3cbb491e46ba9dd24694e92a8462')","treatment of waste rubber, unspecified, municipal incineration",RoW,prospective_conseq_IMAGE_SSP2M_2050_PERF,407e3cbb491e46ba9dd24694e92a8462
2,-0.08137274149445155,89.83463403000742,"('prospective_conseq_IMAGE_SSP2M_2050_PERF', '5f9a490c464f4285a59b4a7822d832c4')",pig iron production,RoW,prospective_conseq_IMAGE_SSP2M_2050_PERF,5f9a490c464f4285a59b4a7822d832c4
3,-0.07962028286283108,87.89993849274221,"('prospective_conseq_IMAGE_SSP2M_2050_PERF', 'af6dca4687cf46728d137c5c4d910aa9')","heat and power co-generation, lignite",RoW,prospective_conseq_IMAGE_SSP2M_2050_PERF,af6dca4687cf46728d137c5c4d910aa9
4,0.03253822010036064,-35.92184607548267,"('prospective_conseq_IMAGE_SSP2M_2050_PERF', 'cf05f848a43d43a7b04aaf607bb799d5')",sponge iron production,IN,prospective_conseq_IMAGE_SSP2M_2050_PERF,cf05f848a43d43a7b04aaf607bb799d5
5,-0.03126400137376008,34.5151222650756,"('prospective_conseq_IMAGE_SSP2M_2050_PERF', '6ec84ac4db874ea29910f10b181dbcca')","heat and power co-generation, hard coal",RU,prospective_conseq_IMAGE_SSP2M_2050_PERF,6ec84ac4db874ea29910f10b181dbcca
6,-0.03125324535563903,34.503247736409385,"('prospective_conseq_IMAGE_SSP2M_2050_PERF', '574d05c5c33540188dd1b4ab170cbca6')",hard coal mine operation and hard coal preparation,CN,prospective_conseq_IMAGE_SSP2M_2050_PERF,574d05c5c33540188dd1b4ab170cbca6
7,0.029652440193811733,-32.735976003578465,"('prospective_conseq_IMAGE_SSP2M_2050_PERF', 'e8343e1692644195b006bb72f1a32c46')","heat production, natural gas, at boiler modulating >100kW",CA-QC,prospective_conseq_IMAGE_SSP2M_2050_PERF,e8343e1692644195b006bb72f1a32c46
8,0.029652440110374698,-32.73597591146487,"('prospective_conseq_IMAGE_SSP2M_2050_PERF', '1e3740cc78414f279286cd8658325c31')","heat production, natural gas, at boiler condensing modulating >100kW",CA-QC,prospective_conseq_IMAGE_SSP2M_2050_PERF,1e3740cc78414f279286cd8658325c31
9,0.02954228458197277,-32.61436538933389,"('prospective_conseq_IMAGE_SSP2M_2050_PERF', 'be1281dd5c9e4d51901c4e9f568e0721')","heat production, natural gas, at industrial furnace low-NOx >100kW",CA-QC,prospective_conseq_IMAGE_SSP2M_2050_PERF,be1281dd5c9e4d51901c4e9f568e0721
10,0.02843199111862423,-31.388613311746255,"('prospective_conseq_IMAGE_SSP2M_2050_PERF', '7e945a8e926b4339a1900003a7446a0c')","heat production, natural gas, at industrial furnace >100kW",CA-QC,prospective_conseq_IMAGE_SSP2M_2050_PERF,7e945a8e926b4339a1900003a7446a0c
11,-0.02787626974306876,30.775102872269645,"('prospective_conseq_IMAGE_SSP2M_2050_PERF', '2365eed887024ecca43f09d76239ff16')","diesel, burned in building machine",GLO,prospective_conseq_IMAGE_SSP2M_2050_PERF,2365eed887024ecca43f09d76239ff16
