scenario,case,bg_db,"ReCiPe 2016 v1.03, midpoint (H) | acidification: terrestrial | terrestrial acidification potential (TAP)","ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)","ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP1000)","ReCiPe 2016 v1.03, midpoint (H) | ecotoxicity: freshwater | freshwater ecotoxicity potential (FETP)","ReCiPe 2016 v1.03, midpoint (H) | ecotoxicity: marine | marine ecotoxicity potential (METP)","ReCiPe 2016 v1.03, midpoint (H) | ecotoxicity: terrestrial | terrestrial ecotoxicity potential (TETP)","ReCiPe 2016 v1.03, midpoint (H) | energy resources: non-renewable, fossil | fossil fuel potential (FFP)","ReCiPe 2016 v1.03, midpoint (H) | eutrophication: freshwater | freshwater eutrophication potential (FEP)","ReCiPe 2016 v1.03, midpoint (H) | eutrophication: marine | marine eutrophication potential (MEP)","ReCiPe 2016 v1.03, midpoint (H) | human toxicity: carcinogenic | human toxicity potential (HTPc)","ReCiPe 2016 v1.03, midpoint (H) | human toxicity: non-carcinogenic | human toxicity potential (HTPnc)","ReCiPe 2016 v1.03, midpoint (H) | ionising radiation | ionising radiation potential (IRP)","ReCiPe 2016 v1.03, midpoint (H) | land use | agricultural land occupation (LOP)","ReCiPe 2016 v1.03, midpoint (H) | material resources: metals/minerals | surplus ore potential (SOP)","ReCiPe 2016 v1.03, midpoint (H) | ozone depletion | ozone depletion potential (ODPinfinite)","ReCiPe 2016 v1.03, midpoint (H) | particulate matter formation | particulate matter formation potential (PMFP)","ReCiPe 2016 v1.03, midpoint (H) | photochemical oxidant formation: human health | photochemical oxidant formation potential: humans (HOFP)","ReCiPe 2016 v1.03, midpoint (H) | photochemical oxidant formation: terrestrial ecosystems | photochemical oxidant formation potential: ecosystems (EOFP)","ReCiPe 2016 v1.03, midpoint (H) | water use | water consumption potential (WCP)"
SSP2M_2050,c3c4,prospective_conseq_IMAGE_SSP2M_2050_PERF,8.731489525204468e-23,1.6448077716446236e-18,7.196894040467753e-18,1.0409291901381025e-20,1.4218147520594113e-20,2.716779144100813e-23,-2.320697541585453e-42,2.874884943066463e-21,7.176444968701354e-21,9.6081454614993e-21,3.2877029069776606e-19,-2.973135702764898e-38,1.5543307891248894e-21,-1.6891013753387277e-33,7.87013028052004e-25,2.5469562430016407e-23,8.604311183654489e-23,8.5959227565415e-23,1.4616397167257334e-21
SSP2M_2050,joint,prospective_conseq_IMAGE_SSP2M_2050_PERF,6.179713560763322e-19,1.1641130487481639e-14,5.093603281427663e-14,7.367178547868061e-17,1.0062896919073555e-16,1.9228010147144538e-19,-1.6424741807488697e-38,2.0347004273497382e-17,5.0791304465539965e-17,6.800166985360678e-17,2.3268724287418456e-15,-2.1042374286818194e-34,1.1000779451690991e-17,-1.1889248968445439e-29,5.570086372914729e-21,1.8026088200979667e-19,6.089703062551244e-19,6.083766151470293e-19,1.0344758190819983e-17
SSP2M_2050,staged_total,prospective_conseq_IMAGE_SSP2M_2050_PERF,1.549429395922408e-21,3.0290593959110204e-20,3.115853523320154e-20,1.7003152323096356e-22,6.320808956204932e-21,1.6908946268812618e-17,0.0,5.903300129579803e-26,3.5540944661006845e-23,2.4726699591266516e-21,1.3823988417665145e-19,0.0,7.575054014572046e-24,1.5990921412951547e-19,1.4614252519207434e-26,4.500244123010879e-22,3.7616287205807174e-23,3.809606080625293e-23,2.1956555682377378e-22
