tag,unc_layer,iteration,scenario_id,case,method,score,f_Al,X_Al,L,f_makeup,Y_prep,R_PSA,E_aux,E_therm,der_prepared_mass_per_kg_gate,der_al_feed_kg_per_kg_gate,der_al_reacted_kg_per_kg_gate,der_h2_crude_kg_per_kg_gate,der_h2_usable_kg_per_kg_gate,der_aloh3_kg_per_kg_gate,der_electrolyte_makeup_kg_per_kg_gate,der_purge_m3_per_kg_gate,der_stoich_makeup_water_kg_per_kg_gate,der_elec_total_kwh_per_kg_gate
prospect_hydrolysis_fgonly_fgonly,fgonly,1,SSP1VLLO_2050,c3c4,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",2.8035671009759,0.9638957186760881,0.9309088293390615,143.33835203803696,0.15512202283843218,0.7688505823094349,0.9349333515786125,0.15158093810564793,0.09395129975656638,0.7688505823094349,0.7410917845896816,0.6898888856251765,0.0773158213395104,0.07228513997500166,1.9944680574368294,16.478127747180938,0.016478127747180937,1.3818939320408503,0.18877760405610217
prospect_hydrolysis_fgonly_fgonly,fgonly,1,SSP1VLLO_2050,staged_total,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",-3.0975032174584776,0.9638957186760881,0.9309088293390615,143.33835203803696,0.15512202283843218,0.7688505823094349,0.9349333515786125,0.15158093810564793,0.09395129975656638,0.7688505823094349,0.7410917845896816,0.6898888856251765,0.0773158213395104,0.07228513997500166,1.9944680574368294,16.478127747180938,0.016478127747180937,1.3818939320408503,0.18877760405610217
prospect_hydrolysis_fgonly_fgonly,fgonly,1,SSP1VLLO_2050,joint,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",-0.29393611648257895,0.9638957186760881,0.9309088293390615,143.33835203803696,0.15512202283843218,0.7688505823094349,0.9349333515786125,0.15158093810564793,0.09395129975656638,0.7688505823094349,0.7410917845896816,0.6898888856251765,0.0773158213395104,0.07228513997500166,1.9944680574368294,16.478127747180938,0.016478127747180937,1.3818939320408503,0.18877760405610217
prospect_hydrolysis_fgonly_fgonly,fgonly,2,SSP1VLLO_2050,c3c4,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",3.664545731037209,0.9392625515672027,0.9489110496825117,124.49518657410309,0.2600963124615914,0.7518673115869358,0.9649082211427885,0.11642232639644971,0.04049526681131259,0.7518673115869358,0.7062008095211183,0.6701217514493238,0.0751005193594685,0.0724651085420443,1.9373212929037567,22.867304057363704,0.022867304057363706,1.3422990301071942,0.11798120894581265
prospect_hydrolysis_fgonly_fgonly,fgonly,2,SSP1VLLO_2050,staged_total,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",-3.0245502543793252,0.9392625515672027,0.9489110496825117,124.49518657410309,0.2600963124615914,0.7518673115869358,0.9649082211427885,0.11642232639644971,0.04049526681131259,0.7518673115869358,0.7062008095211183,0.6701217514493238,0.0751005193594685,0.0724651085420443,1.9373212929037567,22.867304057363704,0.022867304057363706,1.3422990301071942,0.11798120894581265
prospect_hydrolysis_fgonly_fgonly,fgonly,2,SSP1VLLO_2050,joint,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",0.6399954766578844,0.9392625515672027,0.9489110496825117,124.49518657410309,0.2600963124615914,0.7518673115869358,0.9649082211427885,0.11642232639644971,0.04049526681131259,0.7518673115869358,0.7062008095211183,0.6701217514493238,0.0751005193594685,0.0724651085420443,1.9373212929037567,22.867304057363704,0.022867304057363706,1.3422990301071942,0.11798120894581265
prospect_hydrolysis_fgonly_fgonly,fgonly,3,SSP1VLLO_2050,c3c4,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",2.9342002744767455,0.9521841331811978,0.9678918395749312,127.94961004679605,0.17942819881998356,0.7908376886295698,0.9468121325773452,0.1146372822615273,0.011076675539547469,0.7908376886295698,0.7530230990347689,0.7288449125671781,0.08168162180666179,0.07733715053514163,2.107089891183379,17.28772965930604,0.017287729659306042,1.4599254793947236,0.09941933581587725
prospect_hydrolysis_fgonly_fgonly,fgonly,3,SSP1VLLO_2050,staged_total,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",-3.2792199024894146,0.9521841331811978,0.9678918395749312,127.94961004679605,0.17942819881998356,0.7908376886295698,0.9468121325773452,0.1146372822615273,0.011076675539547469,0.7908376886295698,0.7530230990347689,0.7288449125671781,0.08168162180666179,0.07733715053514163,2.107089891183379,17.28772965930604,0.017287729659306042,1.4599254793947236,0.09941933581587725
prospect_hydrolysis_fgonly_fgonly,fgonly,3,SSP1VLLO_2050,joint,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",-0.34501962801266733,0.9521841331811978,0.9678918395749312,127.94961004679605,0.17942819881998356,0.7908376886295698,0.9468121325773452,0.1146372822615273,0.011076675539547469,0.7908376886295698,0.7530230990347689,0.7288449125671781,0.08168162180666179,0.07733715053514163,2.107089891183379,17.28772965930604,0.017287729659306042,1.4599254793947236,0.09941933581587725
prospect_hydrolysis_fgonly_fgonly,fgonly,4,SSP1VLLO_2050,c3c4,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",4.121469866238785,0.9849204950453947,0.9400729126032733,166.18285961629843,0.17673065800400695,0.8759008686802408,0.9513878950939745,0.14503686621198666,0.08830027835295885,0.8759008686802408,0.862692717191234,0.8109940553315953,0.09088807313166314,0.08646981258588021,2.344582978263587,25.33694531424257,0.02533694531424257,1.6244757486828463,0.20438020761980272
prospect_hydrolysis_fgonly_fgonly,fgonly,4,SSP1VLLO_2050,staged_total,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",-3.6517440471536124,0.9849204950453947,0.9400729126032733,166.18285961629843,0.17673065800400695,0.8759008686802408,0.9513878950939745,0.14503686621198666,0.08830027835295885,0.8759008686802408,0.862692717191234,0.8109940553315953,0.09088807313166314,0.08646981258588021,2.344582978263587,25.33694531424257,0.02533694531424257,1.6244757486828463,0.20438020761980272
