tag,unc_layer,iteration,scenario_id,case,method,score,f_Al,X_Al,L,f_makeup,Y_prep,R_PSA,E_aux,E_therm,der_prepared_mass_per_kg_gate,der_al_feed_kg_per_kg_gate,der_al_reacted_kg_per_kg_gate,der_h2_crude_kg_per_kg_gate,der_h2_usable_kg_per_kg_gate,der_aloh3_kg_per_kg_gate,der_electrolyte_makeup_kg_per_kg_gate,der_purge_m3_per_kg_gate,der_stoich_makeup_water_kg_per_kg_gate,der_elec_total_kwh_per_kg_gate
prospect_hydrolysis_fgonly_fgonly,fgonly,1,SSP5H_2050,c3c4,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",3.2225869810084182,0.9877818753767854,0.9327057987590383,177.2016281600142,0.183485386225407,0.8445668523809537,0.9685454809889761,0.06982890503050658,0.07848876990472642,0.8445668523809537,0.8342478293259272,0.7781077880144328,0.08720251039627716,0.08445959737520845,2.24950881333778,27.124658158577116,0.027124658158577116,1.5586023389208123,0.12526419187251123
prospect_hydrolysis_fgonly_fgonly,fgonly,1,SSP5H_2050,staged_total,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",-3.5178042777880454,0.9877818753767854,0.9327057987590383,177.2016281600142,0.183485386225407,0.8445668523809537,0.9685454809889761,0.06982890503050658,0.07848876990472642,0.8445668523809537,0.8342478293259272,0.7781077880144328,0.08720251039627716,0.08445959737520845,2.24950881333778,27.124658158577116,0.027124658158577116,1.5586023389208123,0.12526419187251123
prospect_hydrolysis_fgonly_fgonly,fgonly,1,SSP5H_2050,joint,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",-0.2952172967796254,0.9877818753767854,0.9327057987590383,177.2016281600142,0.183485386225407,0.8445668523809537,0.9685454809889761,0.06982890503050658,0.07848876990472642,0.8445668523809537,0.8342478293259272,0.7781077880144328,0.08720251039627716,0.08445959737520845,2.24950881333778,27.124658158577116,0.027124658158577116,1.5586023389208123,0.12526419187251123
prospect_hydrolysis_fgonly_fgonly,fgonly,2,SSP5H_2050,c3c4,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",2.2690025419699293,0.9943098455970176,0.915796860411855,150.23608698981528,0.13744565221151325,0.7979517050999934,0.950996160473113,0.2461432552193544,0.04591527033587106,0.7979517050999934,0.7934112366918513,0.7266035195778846,0.08143042897905911,0.07744002530476372,2.1006100263610055,16.383384239454212,0.01638338423945421,1.4554358181815026,0.23304859845578216
prospect_hydrolysis_fgonly_fgonly,fgonly,2,SSP5H_2050,staged_total,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",-3.2710422099430425,0.9943098455970176,0.915796860411855,150.23608698981528,0.13744565221151325,0.7979517050999934,0.950996160473113,0.2461432552193544,0.04591527033587106,0.7979517050999934,0.7934112366918513,0.7266035195778846,0.08143042897905911,0.07744002530476372,2.1006100263610055,16.383384239454212,0.01638338423945421,1.4554358181815026,0.23304859845578216
prospect_hydrolysis_fgonly_fgonly,fgonly,2,SSP5H_2050,joint,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",-1.0020396679731143,0.9943098455970176,0.915796860411855,150.23608698981528,0.13744565221151325,0.7979517050999934,0.950996160473113,0.2461432552193544,0.04591527033587106,0.7979517050999934,0.7934112366918513,0.7266035195778846,0.08143042897905911,0.07744002530476372,2.1006100263610055,16.383384239454212,0.01638338423945421,1.4554358181815026,0.23304859845578216
prospect_hydrolysis_fgonly_fgonly,fgonly,3,SSP5H_2050,c3c4,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",3.3019689224948077,0.9986367636606268,0.9533712348512362,151.29941780357427,0.2335146657157724,0.8017831993440938,0.945872390584612,0.0912099488673471,0.10516573831969908,0.8017831993440938,0.8006901793504491,0.7633549850205954,0.08554916432230049,0.08091859257005017,2.206858475084826,28.28889085042925,0.028288890850429252,1.5290514802788393,0.15745072674622484
prospect_hydrolysis_fgonly_fgonly,fgonly,3,SSP5H_2050,staged_total,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",-3.4322234203866024,0.9986367636606268,0.9533712348512362,151.29941780357427,0.2335146657157724,0.8017831993440938,0.945872390584612,0.0912099488673471,0.10516573831969908,0.8017831993440938,0.8006901793504491,0.7633549850205954,0.08554916432230049,0.08091859257005017,2.206858475084826,28.28889085042925,0.028288890850429252,1.5290514802788393,0.15745072674622484
prospect_hydrolysis_fgonly_fgonly,fgonly,3,SSP5H_2050,joint,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",-0.13025449789179405,0.9986367636606268,0.9533712348512362,151.29941780357427,0.2335146657157724,0.8017831993440938,0.945872390584612,0.0912099488673471,0.10516573831969908,0.8017831993440938,0.8006901793504491,0.7633549850205954,0.08554916432230049,0.08091859257005017,2.206858475084826,28.28889085042925,0.028288890850429252,1.5290514802788393,0.15745072674622484
prospect_hydrolysis_fgonly_fgonly,fgonly,4,SSP5H_2050,c3c4,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",4.957872120792149,0.9360331825271824,0.950109530298996,201.0747019106449,0.29035971259623833,0.8772657536226978,0.9613119833353287,0.1359770159973855,0.02907906603915313,0.8772657536226978,0.8211498552855608,0.7801823033104528,0.08743500124710137,0.08405231446177795,2.2555062349208606,47.94200712141127,0.04794200712141127,1.5627577328679088,0.14479804819779388
prospect_hydrolysis_fgonly_fgonly,fgonly,4,SSP5H_2050,staged_total,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",-3.5210257787060275,0.9360331825271824,0.950109530298996,201.0747019106449,0.29035971259623833,0.8772657536226978,0.9613119833353287,0.1359770159973855,0.02907906603915313,0.8772657536226978,0.8211498552855608,0.7801823033104528,0.08743500124710137,0.08405231446177795,2.2555062349208606,47.94200712141127,0.04794200712141127,1.5627577328679088,0.14479804819779388
