tag,route,case,"ReCiPe 2016 v1.03, midpoint (H) | acidification: terrestrial | terrestrial acidification potential (TAP)","ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)","ReCiPe 2016 v1.03, midpoint (H) | ecotoxicity: freshwater | freshwater ecotoxicity potential (FETP)","ReCiPe 2016 v1.03, midpoint (H) | ecotoxicity: marine | marine ecotoxicity potential (METP)","ReCiPe 2016 v1.03, midpoint (H) | ecotoxicity: terrestrial | terrestrial ecotoxicity potential (TETP)","ReCiPe 2016 v1.03, midpoint (H) | energy resources: non-renewable, fossil | fossil fuel potential (FFP)","ReCiPe 2016 v1.03, midpoint (H) | eutrophication: freshwater | freshwater eutrophication potential (FEP)","ReCiPe 2016 v1.03, midpoint (H) | eutrophication: marine | marine eutrophication potential (MEP)","ReCiPe 2016 v1.03, midpoint (H) | human toxicity: carcinogenic | human toxicity potential (HTPc)","ReCiPe 2016 v1.03, midpoint (H) | human toxicity: non-carcinogenic | human toxicity potential (HTPnc)","ReCiPe 2016 v1.03, midpoint (H) | ionising radiation | ionising radiation potential (IRP)","ReCiPe 2016 v1.03, midpoint (H) | land use | agricultural land occupation (LOP)","ReCiPe 2016 v1.03, midpoint (H) | material resources: metals/minerals | surplus ore potential (SOP)","ReCiPe 2016 v1.03, midpoint (H) | ozone depletion | ozone depletion potential (ODPinfinite)","ReCiPe 2016 v1.03, midpoint (H) | particulate matter formation | particulate matter formation potential (PMFP)","ReCiPe 2016 v1.03, midpoint (H) | photochemical oxidant formation: human health | photochemical oxidant formation potential: humans (HOFP)","ReCiPe 2016 v1.03, midpoint (H) | photochemical oxidant formation: terrestrial ecosystems | photochemical oxidant formation potential: ecosystems (EOFP)","ReCiPe 2016 v1.03, midpoint (H) | water use | water consumption potential (WCP)"
contemp__external_staged,landfill,c3c4,0.0002775451340283247,0.09474231635632595,0.029940777581283936,0.04125435317419252,0.5387991306899995,0.036344778711875136,1.588400138879563e-05,3.9141141252312415e-05,0.005856940344741423,1.0871135008316397,0.0015329126989406755,0.013035702651860662,0.00036163307310278607,7.376927738902871e-08,0.00014739592086441405,0.0004500882867461461,0.0004728939867372611,0.0008326802099424075
contemp__external_staged,landfill,net,0.0002775451340283247,0.09474231635632595,0.029940777581283936,0.04125435317419252,0.5387991306899995,0.036344778711875136,1.588400138879563e-05,3.9141141252312415e-05,0.005856940344741423,1.0871135008316397,0.0015329126989406755,0.013035702651860662,0.00036163307310278607,7.376927738902871e-08,0.00014739592086441405,0.0004500882867461461,0.0004728939867372611,0.0008326802099424075
contemp__external_staged,landfill,net_model,0.0002775451340283247,0.09474231635632595,0.029940777581283936,0.04125435317419252,0.5387991306899995,0.036344778711875136,1.588400138879563e-05,3.9141141252312415e-05,0.005856940344741423,1.0871135008316397,0.0015329126989406755,0.013035702651860662,0.00036163307310278607,7.376927738902871e-08,0.00014739592086441405,0.0004500882867461461,0.0004728939867372611,0.0008326802099424075
contemp__external_staged,recycling_postcons,c3c4,-0.19689169062689632,-29.621737840568763,-1.0579111665847254,-1.5190486799449066,14.762100126993312,-5.766194354670071,-0.007006538477282738,-0.0006901717406622574,-46.99817298949026,-7.1354885589768715,0.23904925177580166,-0.4293582176456988,-0.8874395135532708,-5.9993948643612635e-06,-0.07033297535059983,-0.07302154749574502,-0.0769780523375963,-1.1800968851119293
contemp__external_staged,recycling_postcons,net,-0.3789984521028542,-58.284905595782206,-2.8105455159748294,-3.9890717519487913,-13.485095578330615,-11.504744054851383,-0.013861815221181436,-0.0013079098947500656,-89.93753013866372,-43.84954567413217,0.42487841440357577,-0.9165786605372735,-1.764772821174254,-1.2994696635148554e-05,-0.13565374141110165,-0.1433312830604641,-0.15115870653117128,-2.2453928366032394
contemp__external_staged,recycling_postcons,net_model,-0.19689169062689632,-29.621737840568763,-1.0579111665847254,-1.5190486799449066,14.762100126993312,-5.766194354670071,-0.007006538477282738,-0.0006901717406622574,-46.99817298949026,-7.1354885589768715,0.23904925177580166,-0.4293582176456988,-0.8874395135532708,-5.9993948643612635e-06,-0.07033297535059983,-0.07302154749574502,-0.0769780523375963,-1.1800968851119293
contemp__external_staged,recycling_postcons,stageD,-0.18210676147595792,-28.66316775521344,-1.7526343493901029,-2.470023072003887,-28.24719570532395,-5.7385497001813075,-0.006855276743898699,-0.0006177381540878081,-42.93935714917352,-36.71405711515528,0.18582916262777424,-0.487220442891575,-0.877333307620983,-6.995301770787292e-06,-0.06532076606050179,-0.07030973556471909,-0.07418065419357497,-1.065295951491312
contemp__external_staged,recycling_postcons,stageD_model,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
contemp__external_staged,reuse,c3c4,3.246511632941366e-05,0.010874582732427035,0.0008049614769503705,0.001079566371969733,0.049311425121386865,0.00304628954054177,2.911210293156467e-05,5.7808558255403194e-05,0.005498110005627875,0.0477184879029659,4.636330814922973e-06,0.0006051054372366889,0.00012146234658360223,1.5093238048948063e-08,1.9110481858944027e-05,2.5759914624860503e-05,2.744069335412274e-05,0.0014589666505681563
contemp__external_staged,reuse,net,-0.20109872842578388,-35.18428456358502,-2.22826723532148,-3.1019289779330297,-42.111627734121015,-7.343171916017933,-0.008892428189707004,-0.0014089489855338261,-45.62097915472349,-46.88004629184193,0.01843048290083712,-0.660135246857915,-0.9345504124104952,-8.65559066568884e-06,-0.07573374107486064,-0.08206262482145413,-0.08663659284763413,-1.1436407474266224
