mode,scenario,fg_db,route,case,"ReCiPe 2016 v1.03, midpoint (H) | acidification: terrestrial | terrestrial acidification potential (TAP)","ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)","ReCiPe 2016 v1.03, midpoint (H) | ecotoxicity: freshwater | freshwater ecotoxicity potential (FETP)","ReCiPe 2016 v1.03, midpoint (H) | ecotoxicity: marine | marine ecotoxicity potential (METP)","ReCiPe 2016 v1.03, midpoint (H) | ecotoxicity: terrestrial | terrestrial ecotoxicity potential (TETP)","ReCiPe 2016 v1.03, midpoint (H) | energy resources: non-renewable, fossil | fossil fuel potential (FFP)","ReCiPe 2016 v1.03, midpoint (H) | eutrophication: freshwater | freshwater eutrophication potential (FEP)","ReCiPe 2016 v1.03, midpoint (H) | eutrophication: marine | marine eutrophication potential (MEP)","ReCiPe 2016 v1.03, midpoint (H) | human toxicity: carcinogenic | human toxicity potential (HTPc)","ReCiPe 2016 v1.03, midpoint (H) | human toxicity: non-carcinogenic | human toxicity potential (HTPnc)","ReCiPe 2016 v1.03, midpoint (H) | ionising radiation | ionising radiation potential (IRP)","ReCiPe 2016 v1.03, midpoint (H) | land use | agricultural land occupation (LOP)","ReCiPe 2016 v1.03, midpoint (H) | material resources: metals/minerals | surplus ore potential (SOP)","ReCiPe 2016 v1.03, midpoint (H) | ozone depletion | ozone depletion potential (ODPinfinite)","ReCiPe 2016 v1.03, midpoint (H) | particulate matter formation | particulate matter formation potential (PMFP)","ReCiPe 2016 v1.03, midpoint (H) | photochemical oxidant formation: human health | photochemical oxidant formation potential: humans (HOFP)","ReCiPe 2016 v1.03, midpoint (H) | photochemical oxidant formation: terrestrial ecosystems | photochemical oxidant formation potential: ecosystems (EOFP)","ReCiPe 2016 v1.03, midpoint (H) | water use | water consumption potential (WCP)"
contemp,,mtcw_foreground_contemporary,landfill,c3c4,0.0002775451340283246,0.09474231635632595,0.029940777581283936,0.04125435317419252,0.5387991306899994,0.036344778711875136,1.5884001388795626e-05,3.9141141252312415e-05,0.005856940344741422,1.0871135008316397,0.0015329126989406757,0.01303570265186066,0.0003616330731027861,7.376927738902868e-08,0.00014739592086441405,0.000450088286746146,0.00047289398673726096,0.0008326802099424073
contemp,,mtcw_foreground_contemporary,recycling_postcons,c3c4,0.0046963431449398236,2.1077354783481272,0.8822151063278629,1.2152105557950643,46.03110186889884,0.5862493513492392,0.0005820966099805045,-6.349685626451809e-06,0.5347165582232961,33.50613575878986,0.033340604782233274,0.10998370628897412,0.08374845888895346,1.7442447357522522e-06,0.001975623670557743,0.004809727041420834,0.005138240882881032,-0.000838550574020277
contemp,,mtcw_foreground_contemporary,recycling_postcons,joint,-0.2627718559623659,-42.74165425669198,-1.3159623753239262,-1.8816461394266184,8.092073701724052,-8.853518352226423,-0.014467541226822532,-0.0012174936536291602,-48.03900485479717,-20.20193126423852,-0.6767370512224149,-0.5278740078608468,-0.8947517506539835,-8.290746294402202e-06,-0.1032278987995434,-0.11009743609924881,-0.11464116129708715,-0.9152100216344283
contemp,,mtcw_foreground_contemporary,recycling_postcons,net_wrapper,-0.2627718559623659,-42.74165425669198,-1.3159623753239262,-1.8816461394266184,8.092073701724052,-8.853518352226423,-0.014467541226822532,-0.0012174936536291602,-48.03900485479717,-20.20193126423852,-0.6767370512224149,-0.5278740078608468,-0.8947517506539835,-8.290746294402202e-06,-0.1032278987995434,-0.11009743609924881,-0.11464116129708715,-0.9152100216344283
contemp,,mtcw_foreground_contemporary,recycling_postcons,staged_total,-0.26746819910730574,-44.849389735040106,-2.198177481651789,-3.0968566952216827,-37.93902816717478,-9.439767703575663,-0.015049637836803036,-0.0012111439680027084,-48.573721413020465,-53.70806702302838,-0.7100776560046482,-0.637857714149821,-0.9785002095429369,-1.0034991030154454e-05,-0.10520352247010115,-0.11490716314066965,-0.11977940217996819,-0.9143714710604081
contemp,,mtcw_foreground_contemporary,reuse,c3c4,3.246511632941367e-05,0.010874582732427033,0.0008049614769503705,0.001079566371969733,0.049311425121386865,0.0030462895405417704,2.911210293156467e-05,5.78085582554032e-05,0.0054981100056278745,0.0477184879029659,4.636330814922946e-06,0.000605105437236689,0.00012146234658360223,1.509323804894806e-08,1.9110481858944024e-05,2.5759914624860503e-05,2.744069335412274e-05,0.0014589666505681563
contemp,,mtcw_foreground_contemporary,reuse,joint,-0.26382382145050776,-47.675874004615935,-2.4739600928133547,-3.4471612532423554,-48.462219385977804,-10.282640631041348,-0.015996115454903283,-0.0019110168822428827,-46.61196445723494,-59.32072293581041,-0.8534978244102532,-0.753933009419424,-0.9415124585745486,-1.0837206799616033e-05,-0.10705329109222003,-0.11736290905399796,-0.12249597481874222,-0.8914396020887524
contemp,,mtcw_foreground_contemporary,reuse,staged_total,-0.26385628656683713,-47.68674858734836,-2.474765054290305,-3.4482408196143255,-48.5115308110992,-10.285686920581888,-0.016025227557834858,-0.0019688254404982876,-46.61746256724059,-59.36844142371334,-0.853502460741068,-0.7545381148566603,-0.9416339209211325,-1.0852300037664986e-05,-0.10707240157407893,-0.11738866896862289,-0.12252341551209642,-0.892898568739321
