iteration,score,activity_key,activity_code,activity_name,activity_location,per_unit_impact,supply,contribution
619,-4.452327179783022,"('ecoinvent_3.10.1.1_consequential_unitprocess', 'bd4b1109355124047a21af49482664f0')",bd4b1109355124047a21af49482664f0,"heat and power co-generation, lignite",RoW,0.9298935112363674,6.448708220346095,5.996611929956456
619,-4.452327179783022,"('ecoinvent_3.10.1.1_consequential_unitprocess', 'c510736aca37050154922e9f13484027')",c510736aca37050154922e9f13484027,"heat and power co-generation, hard coal",RU,0.49183197788473487,6.524773328832821,3.209092171569412
619,-4.452327179783022,"('ecoinvent_3.10.1.1_consequential_unitprocess', '766e4f76c79149785c287c9c444f945c')",766e4f76c79149785c287c9c444f945c,"heat and power co-generation, lignite",RU,1.1043032645848683,1.54964305459658,1.7112758841322706
619,-4.452327179783022,"('ecoinvent_3.10.1.1_consequential_unitprocess', 'c9f6ade6f2d9519abce2145d41df16a6')",c9f6ade6f2d9519abce2145d41df16a6,hard coal mine operation and hard coal preparation,CN,0.7010208685259378,-1.905888749631426,-1.336067786580436
619,-4.452327179783022,"('ecoinvent_3.10.1.1_consequential_unitprocess', '27adfe07cc735fbff529974b279bac9b')",27adfe07cc735fbff529974b279bac9b,"heat and power co-generation, hard coal",PL,0.5716947526945146,2.2506183244242646,1.2866666863914729
619,-4.452327179783022,"('ecoinvent_3.10.1.1_consequential_unitprocess', 'f8027e13c3672f267e1d96eaf7b2f395')",f8027e13c3672f267e1d96eaf7b2f395,natural gas venting from petroleum/natural gas production,GLO,19.81213152381879,-0.049880499506949845,-0.9882390167054685
619,-4.452327179783022,"('ecoinvent_3.10.1.1_consequential_unitprocess', 'db4c7dff88c7525ed002817cc44ca909')",db4c7dff88c7525ed002817cc44ca909,"electricity production, natural gas, combined cycle power plant",RoW,0.5084063394531575,-1.722226924733531,-0.875591086511443
619,-4.452327179783022,"('ecoinvent_3.10.1.1_consequential_unitprocess', 'fc7517472a4a0bdbcd1a2c18ca01c4e4')",fc7517472a4a0bdbcd1a2c18ca01c4e4,"electricity production, lignite",RoW,1.2617871816294475,-0.679841784483723,-0.8578156491976511
619,-4.452327179783022,"('ecoinvent_3.10.1.1_consequential_unitprocess', 'bbe685e0aff42aaf5bcb0387c5ea42fe')",bbe685e0aff42aaf5bcb0387c5ea42fe,"heat and power co-generation, lignite",PL,9.577576101890305,0.08251940944584678,0.7903359238506432
619,-4.452327179783022,"('ecoinvent_3.10.1.1_consequential_unitprocess', 'd1877cbaf334affcac80b4d0cde6ce16')",d1877cbaf334affcac80b4d0cde6ce16,"transport, freight, lorry 16-32 metric ton, EURO4",RoW,0.17508137601408474,-2.802432172925789,-0.4906536810219886
619,-4.452327179783022,"('ecoinvent_3.10.1.1_consequential_unitprocess', '96504536239fda2a2cf514d648673c2e')",96504536239fda2a2cf514d648673c2e,"quicklime production, in pieces, loose",RoW,1.0611985518596854,-0.46074664131415277,-0.48894366853679283
619,-4.452327179783022,"('ecoinvent_3.10.1.1_consequential_unitprocess', '31bfa90c6b9ee881a50ffb0b0e22379d')",31bfa90c6b9ee881a50ffb0b0e22379d,"transport, freight, light commercial vehicle",RoW,1.2408265461075847,-0.3889438116871576,-0.48261180648569457
619,-4.452327179783022,"('ecoinvent_3.10.1.1_consequential_unitprocess', 'c65938394f240dcf1b7886da269cd16f')",c65938394f240dcf1b7886da269cd16f,"heat and power co-generation, oil",RU,0.3693039050553289,1.210904648191807,0.44719181522688356
619,-4.452327179783022,"('ecoinvent_3.10.1.1_consequential_unitprocess', '41f1d9f2223bad3e6360290180d4e606')",41f1d9f2223bad3e6360290180d4e606,"electricity production, natural gas, combined cycle power plant",PL,0.3201851985139269,-1.3216556684052088,-0.42317458255537854
619,-4.452327179783022,"('ecoinvent_3.10.1.1_consequential_unitprocess', '648bab2b251c0d758608d8c3ba904aa4')",648bab2b251c0d758608d8c3ba904aa4,"electricity production, hard coal",CN-SD,1.3217309273916678,-0.3138190148933754,-0.41478429758816066
619,-4.452327179783022,"('ecoinvent_3.10.1.1_consequential_unitprocess', 'b1d9116f292a8266262a95b5d6dc9b79')",b1d9116f292a8266262a95b5d6dc9b79,"transport, freight, lorry 16-32 metric ton, EURO3",RoW,0.1302370963334995,-3.1683796922607503,-0.4126405712020669
619,-4.452327179783022,"('ecoinvent_3.10.1.1_consequential_unitprocess', '52bf14ba3bee2e0a52887a35aaaf6f58')",52bf14ba3bee2e0a52887a35aaaf6f58,"transport, freight, lorry >32 metric ton, EURO4",RoW,0.06717235622898277,-5.488502102180888,-0.3686756183712154
619,-4.452327179783022,"('ecoinvent_3.10.1.1_consequential_unitprocess', 'f65ca9fbfeecaf013806948a7c9b56bf')",f65ca9fbfeecaf013806948a7c9b56bf,"transport, freight train, diesel",US,0.04382648593216385,-8.331799845574347,-0.3651535087216691
