tag,iteration,case,method,score
contemp_hydrolysis_uncertainty,15,joint,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",10.482407806189245
contemp_hydrolysis_uncertainty,16,c3c4,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",43.037776062744605
contemp_hydrolysis_uncertainty,16,staged_total,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",-9.598357393994364
contemp_hydrolysis_uncertainty,16,joint,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",33.43941866875023
contemp_hydrolysis_uncertainty,17,c3c4,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",20.44231216990301
contemp_hydrolysis_uncertainty,17,staged_total,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",-11.357142305134762
contemp_hydrolysis_uncertainty,17,joint,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",9.085169864768229
contemp_hydrolysis_uncertainty,18,c3c4,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",22.579718261124814
contemp_hydrolysis_uncertainty,18,staged_total,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",-12.09186676683367
contemp_hydrolysis_uncertainty,18,joint,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",10.48785149429119
contemp_hydrolysis_uncertainty,19,c3c4,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",23.487945694054343
contemp_hydrolysis_uncertainty,19,staged_total,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",-11.287063076341129
contemp_hydrolysis_uncertainty,19,joint,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",12.200882617713177
contemp_hydrolysis_uncertainty,20,c3c4,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",18.654831946249935
contemp_hydrolysis_uncertainty,20,staged_total,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",-13.75894801365113
contemp_hydrolysis_uncertainty,20,joint,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",4.895883932598795
contemp_hydrolysis_uncertainty,21,c3c4,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",31.379943879683232
contemp_hydrolysis_uncertainty,21,staged_total,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",-12.131016454489144
contemp_hydrolysis_uncertainty,21,joint,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",19.24892742519412
contemp_hydrolysis_uncertainty,22,c3c4,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",22.043740255666847
contemp_hydrolysis_uncertainty,22,staged_total,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",-10.627496066987543
contemp_hydrolysis_uncertainty,22,joint,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",11.416244188679332
contemp_hydrolysis_uncertainty,23,c3c4,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",16.271877372359196
contemp_hydrolysis_uncertainty,23,staged_total,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",-11.054779782308886
contemp_hydrolysis_uncertainty,23,joint,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",5.217097590050337
contemp_hydrolysis_uncertainty,24,c3c4,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",26.22516606407535
contemp_hydrolysis_uncertainty,24,staged_total,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",-10.652213142792835
contemp_hydrolysis_uncertainty,24,joint,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",15.57295292128245
contemp_hydrolysis_uncertainty,25,c3c4,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",35.399593269848744
contemp_hydrolysis_uncertainty,25,staged_total,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",-13.119670944190178
contemp_hydrolysis_uncertainty,25,joint,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",22.279922325658582
contemp_hydrolysis_uncertainty,26,c3c4,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",29.434449364850334
