exchange_type,amount,unit,input_key,input_name,input_location,uncertainty_type,loc,scale,minimum,maximum,comment
biosphere,1.13899e-09,kilogram,"('ecoinvent-3.10-biosphere', '890c2697-3463-4466-bebb-aecc1e1e730b')",Strontium II,,2,-20.593123932151162,0.5,,,"Emissions from uncontrolled coal fires: These emissions were modeled under the assumption of 20Mt hard coal burnt under full combustion conditions (open burning) in coal seam fires per year using an averaged composition of Chinese coals reported by USGS’s World Coal Quality Inventory (USGS, 2010), average carbon content of 0.635."
biosphere,3.13988e-06,kilogram,"('ecoinvent-3.10-biosphere', '2d456fb8-592b-46a7-97f0-81fc2a18e587')",Styrene,,2,-12.671325975334893,0.5,,,"Emissions from uncontrolled coal fires: These emissions were modeled under the assumption of 20Mt hard coal burnt under full combustion conditions (open burning) in coal seam fires per year using an averaged composition of Chinese coals reported by USGS’s World Coal Quality Inventory (USGS, 2010), average carbon content of 0.635."
biosphere,3.10714e-05,kilogram,"('ecoinvent-3.10-biosphere', '78c3efe4-421c-4d30-82e4-b97ac5124993')",Sulfur dioxide,,2,-10.3792227760315,0.9273618495495705,,,"Emissions from uncontrolled coal fires: These emissions were modeled under the assumption of 20Mt hard coal burnt under full combustion conditions (open burning) in coal seam fires per year using an averaged composition of Chinese coals reported by USGS’s World Coal Quality Inventory (USGS, 2010), average carbon content of 0.635."
biosphere,3.84107e-12,kilogram,"('ecoinvent-3.10-biosphere', '9540d6dc-b589-4fbb-8260-1b6a88b8bf11')",Thallium I,,2,-26.285270142310118,0.9273618495495705,,,"Emissions from uncontrolled coal fires: These emissions were modeled under the assumption of 20Mt hard coal burnt under full combustion conditions (open burning) in coal seam fires per year using an averaged composition of Chinese coals reported by USGS’s World Coal Quality Inventory (USGS, 2010), average carbon content of 0.635."
biosphere,4.29464e-14,kilogram,"('ecoinvent-3.10-biosphere', 'f563b90e-a300-4403-b278-d2fdcd73e5a7')",Tin ion,,2,-30.77882356838686,0.9273618495495705,,,"Emissions from uncontrolled coal fires: These emissions were modeled under the assumption of 20Mt hard coal burnt under full combustion conditions (open burning) in coal seam fires per year using an averaged composition of Chinese coals reported by USGS’s World Coal Quality Inventory (USGS, 2010), average carbon content of 0.635."
biosphere,1.11869e-07,kilogram,"('ecoinvent-3.10-biosphere', '4a156a66-eb3e-4f87-90a2-ccd13bf942ff')",Titanium ion,,2,-16.005937293074517,0.5,,,"Emissions from uncontrolled coal fires: These emissions were modeled under the assumption of 20Mt hard coal burnt under full combustion conditions (open burning) in coal seam fires per year using an averaged composition of Chinese coals reported by USGS’s World Coal Quality Inventory (USGS, 2010), average carbon content of 0.635."
biosphere,2.21429e-06,kilogram,"('ecoinvent-3.10-biosphere', '77f17646-cede-4a49-99dd-55950098b077')",Toluene,,2,-13.020578747612388,0.714142842854285,,,"Emissions from uncontrolled coal fires: These emissions were modeled under the assumption of 20Mt hard coal burnt under full combustion conditions (open burning) in coal seam fires per year using an averaged composition of Chinese coals reported by USGS’s World Coal Quality Inventory (USGS, 2010), average carbon content of 0.635."
biosphere,1.99756e-08,kilogram,"('ecoinvent-3.10-biosphere', '481c0dd4-3ab2-47b5-94c4-b990e8a9dde5')",Vanadium V,,2,-17.72875430819826,0.9273618495495705,,,"Emissions from uncontrolled coal fires: These emissions were modeled under the assumption of 20Mt hard coal burnt under full combustion conditions (open burning) in coal seam fires per year using an averaged composition of Chinese coals reported by USGS’s World Coal Quality Inventory (USGS, 2010), average carbon content of 0.635."
biosphere,1.95565e-06,cubic meter,"('ecoinvent-3.10-biosphere', '09872080-d143-4fb1-a3a5-647b077107ff')",Water,,2,-13.14478793896803,0.5,,,"Emissions from uncontrolled coal fires: These emissions were modeled under the assumption of 20Mt hard coal burnt under full combustion conditions (open burning) in coal seam fires per year using an averaged composition of Chinese coals reported by USGS’s World Coal Quality Inventory (USGS, 2010), average carbon content of 0.635."
biosphere,0.0026112,cubic meter,"('ecoinvent-3.10-biosphere', '075e433b-4be4-448e-9510-9a5029c1ce94')",Water,,2,-5.947945393194487,0.5,,,Calculated value based on literature values and expert opinion. See comments in the parametres' comment field.
biosphere,0.00018581,kilogram,"('ecoinvent-3.10-biosphere', 'e0401210-0377-4670-84af-12247ca20bed')",Aluminium III,,2,-8.59078591171961,0.5,,,"Emissions from uncontrolled coal fires: These emissions were modeled under the assumption of 20Mt hard coal burnt under full combustion conditions (open burning) in coal seam fires per year using an averaged composition of Chinese coals reported by USGS’s World Coal Quality Inventory (USGS, 2010), average carbon content of 0.635."
biosphere,7.66131e-09,kilogram,"('ecoinvent-3.10-biosphere', 'c49fb4cd-eed0-4438-9052-9612473cdbae')",Antimony ion,,2,-18.687082849539106,0.9273618495495705,,,"Emissions from uncontrolled coal fires: These emissions were modeled under the assumption of 20Mt hard coal burnt under full combustion conditions (open burning) in coal seam fires per year using an averaged composition of Chinese coals reported by USGS’s World Coal Quality Inventory (USGS, 2010), average carbon content of 0.635."
biosphere,2.56107e-08,kilogram,"('ecoinvent-3.10-biosphere', 'fc84887d-158e-4067-80dc-9743165bd70d')",Arsenic ion,,2,-17.480255604035502,0.9273618495495705,,,"Emissions from uncontrolled coal fires: These emissions were modeled under the assumption of 20Mt hard coal burnt under full combustion conditions (open burning) in coal seam fires per year using an averaged composition of Chinese coals reported by USGS’s World Coal Quality Inventory (USGS, 2010), average carbon content of 0.635."
biosphere,8.46012e-07,kilogram,"('ecoinvent-3.10-biosphere', '99cd88f6-16b7-4b28-895c-2f42101f634b')",Barium II,,2,-13.982732293043622,0.5,,,"Emissions from uncontrolled coal fires: These emissions were modeled under the assumption of 20Mt hard coal burnt under full combustion conditions (open burning) in coal seam fires per year using an averaged composition of Chinese coals reported by USGS’s World Coal Quality Inventory (USGS, 2010), average carbon content of 0.635."
biosphere,1.10702e-08,kilogram,"('ecoinvent-3.10-biosphere', 'dbf49708-ee0c-44f2-8662-5edd89ad472b')",Beryllium II,,2,-18.319009023541735,0.5,,,"Emissions from uncontrolled coal fires: These emissions were modeled under the assumption of 20Mt hard coal burnt under full combustion conditions (open burning) in coal seam fires per year using an averaged composition of Chinese coals reported by USGS’s World Coal Quality Inventory (USGS, 2010), average carbon content of 0.635."
biosphere,2.80738e-07,kilogram,"('ecoinvent-3.10-biosphere', 'e3b7b5aa-514e-430e-9544-07d8f5b8d494')",Boron,,2,-15.085843986894957,0.5,,,"Emissions from uncontrolled coal fires: These emissions were modeled under the assumption of 20Mt hard coal burnt under full combustion conditions (open burning) in coal seam fires per year using an averaged composition of Chinese coals reported by USGS’s World Coal Quality Inventory (USGS, 2010), average carbon content of 0.635."
biosphere,8.7381e-10,kilogram,"('ecoinvent-3.10-biosphere', '12d6029e-3801-42ee-a1bc-1ebf936884fc')",Cadmium II,,2,-20.858158155210276,0.9273618495495705,,,"Emissions from uncontrolled coal fires: These emissions were modeled under the assumption of 20Mt hard coal burnt under full combustion conditions (open burning) in coal seam fires per year using an averaged composition of Chinese coals reported by USGS’s World Coal Quality Inventory (USGS, 2010), average carbon content of 0.635."
biosphere,3.39405e-05,kilogram,"('ecoinvent-3.10-biosphere', 'e681e6ba-2d66-4f17-8812-e8c74bdcf7e8')",Calcium II,,2,-10.29090156638692,0.5,,,"Emissions from uncontrolled coal fires: These emissions were modeled under the assumption of 20Mt hard coal burnt under full combustion conditions (open burning) in coal seam fires per year using an averaged composition of Chinese coals reported by USGS’s World Coal Quality Inventory (USGS, 2010), average carbon content of 0.635."
biosphere,1.89613e-05,kilogram,"('ecoinvent-3.10-biosphere', '14ea575b-5caa-4958-acf7-0bcc47f9cadf')",Carbon,,2,-10.873110498087055,0.5,,,"Emissions from uncontrolled coal fires: These emissions were modeled under the assumption of 20Mt hard coal burnt under full combustion conditions (open burning) in coal seam fires per year using an averaged composition of Chinese coals reported by USGS’s World Coal Quality Inventory (USGS, 2010), average carbon content of 0.635."
biosphere,1.09625e-06,kilogram,"('ecoinvent-3.10-biosphere', '6c97741f-8760-4a39-9e90-b534ca137a36')",Chloride,,2,-13.723615293260018,0.5,,,"Emissions from uncontrolled coal fires: These emissions were modeled under the assumption of 20Mt hard coal burnt under full combustion conditions (open burning) in coal seam fires per year using an averaged composition of Chinese coals reported by USGS’s World Coal Quality Inventory (USGS, 2010), average carbon content of 0.635."
biosphere,1.24048e-07,kilogram,"('ecoinvent-3.10-biosphere', 'e0336c9b-a0ff-4ae3-b8bb-ca1e46bbbc11')",Chromium III,,2,-15.902597249469808,0.5,,,"Emissions from uncontrolled coal fires: These emissions were modeled under the assumption of 20Mt hard coal burnt under full combustion conditions (open burning) in coal seam fires per year using an averaged composition of Chinese coals reported by USGS’s World Coal Quality Inventory (USGS, 2010), average carbon content of 0.635."
biosphere,4.25339e-08,kilogram,"('ecoinvent-3.10-biosphere', '12051b95-831a-49c0-9a70-fbc0e8fb9af9')",Cobalt II,,2,-16.97296443190857,0.9273618495495705,,,"Emissions from uncontrolled coal fires: These emissions were modeled under the assumption of 20Mt hard coal burnt under full combustion conditions (open burning) in coal seam fires per year using an averaged composition of Chinese coals reported by USGS’s World Coal Quality Inventory (USGS, 2010), average carbon content of 0.635."
biosphere,1.20607e-07,kilogram,"('ecoinvent-3.10-biosphere', '44d3e792-7c9e-48ab-9de9-acfa2e097f26')",Copper ion,,2,-15.930728511220018,0.9273618495495705,,,"Emissions from uncontrolled coal fires: These emissions were modeled under the assumption of 20Mt hard coal burnt under full combustion conditions (open burning) in coal seam fires per year using an averaged composition of Chinese coals reported by USGS’s World Coal Quality Inventory (USGS, 2010), average carbon content of 0.635."
biosphere,1.00399e-14,kilogram,"('ecoinvent-3.10-biosphere', '24752b90-cc53-4198-a442-14196853148d')","Dioxins, measured as 2,3,7,8-tetrachlorodibenzo-p-dioxin",,2,-32.232209240856065,0.9273618495495705,,,"Emissions from uncontrolled coal fires: These emissions were modeled under the assumption of 20Mt hard coal burnt under full combustion conditions (open burning) in coal seam fires per year using an averaged composition of Chinese coals reported by USGS’s World Coal Quality Inventory (USGS, 2010), average carbon content of 0.635."
biosphere,5.83238e-05,kilogram,"('ecoinvent-3.10-biosphere', 'ce567bdc-76ec-4ca0-be79-8bb796e448b3')",Iron ion,,2,-9.749500314636203,0.5,,,"Emissions from uncontrolled coal fires: These emissions were modeled under the assumption of 20Mt hard coal burnt under full combustion conditions (open burning) in coal seam fires per year using an averaged composition of Chinese coals reported by USGS’s World Coal Quality Inventory (USGS, 2010), average carbon content of 0.635."
biosphere,8.03274e-08,kilogram,"('ecoinvent-3.10-biosphere', '739234c8-5359-48b4-983f-9cb170d68c8d')",Lead II,,2,-16.337155053772733,0.9273618495495705,,,"Emissions from uncontrolled coal fires: These emissions were modeled under the assumption of 20Mt hard coal burnt under full combustion conditions (open burning) in coal seam fires per year using an averaged composition of Chinese coals reported by USGS’s World Coal Quality Inventory (USGS, 2010), average carbon content of 0.635."
biosphere,8.77381e-06,kilogram,"('ecoinvent-3.10-biosphere', '6cd4ed76-161a-4d90-b275-dc74704ffd1d')",Magnesium,,2,-11.64373941034417,0.5,,,"Emissions from uncontrolled coal fires: These emissions were modeled under the assumption of 20Mt hard coal burnt under full combustion conditions (open burning) in coal seam fires per year using an averaged composition of Chinese coals reported by USGS’s World Coal Quality Inventory (USGS, 2010), average carbon content of 0.635."
biosphere,4.66399e-07,kilogram,"('ecoinvent-3.10-biosphere', '6b7fbea6-4a86-40f9-954d-3c9b3611abfd')",Manganese II,,2,-14.57822434599476,0.9273618495495705,,,"Emissions from uncontrolled coal fires: These emissions were modeled under the assumption of 20Mt hard coal burnt under full combustion conditions (open burning) in coal seam fires per year using an averaged composition of Chinese coals reported by USGS’s World Coal Quality Inventory (USGS, 2010), average carbon content of 0.635."
biosphere,4.00512e-10,kilogram,"('ecoinvent-3.10-biosphere', 'f7eca11f-546f-4712-ad80-724254685596')",Mercury II,,2,-21.638277387322187,0.9273618495495705,,,"Emissions from uncontrolled coal fires: These emissions were modeled under the assumption of 20Mt hard coal burnt under full combustion conditions (open burning) in coal seam fires per year using an averaged composition of Chinese coals reported by USGS’s World Coal Quality Inventory (USGS, 2010), average carbon content of 0.635."
biosphere,1.26125e-08,kilogram,"('ecoinvent-3.10-biosphere', '8b531ec0-ca7a-49cd-bef0-56f110112f34')",Molybdenum VI,,2,-18.188577451266685,0.9273618495495705,,,"Emissions from uncontrolled coal fires: These emissions were modeled under the assumption of 20Mt hard coal burnt under full combustion conditions (open burning) in coal seam fires per year using an averaged composition of Chinese coals reported by USGS’s World Coal Quality Inventory (USGS, 2010), average carbon content of 0.635."
biosphere,7.55893e-08,kilogram,"('ecoinvent-3.10-biosphere', '2bcad3b3-5305-481c-a166-ad5e6eac2675')",Nickel II,,2,-16.397951098169397,0.9273618495495705,,,"Emissions from uncontrolled coal fires: These emissions were modeled under the assumption of 20Mt hard coal burnt under full combustion conditions (open burning) in coal seam fires per year using an averaged composition of Chinese coals reported by USGS’s World Coal Quality Inventory (USGS, 2010), average carbon content of 0.635."
biosphere,5.91714e-07,kilogram,"('ecoinvent-3.10-biosphere', 'b748f6f1-7061-4243-89c7-3f2d01dcec07')",Nitrogen,,2,-14.340242426904835,0.5,,,"Emissions from uncontrolled coal fires: These emissions were modeled under the assumption of 20Mt hard coal burnt under full combustion conditions (open burning) in coal seam fires per year using an averaged composition of Chinese coals reported by USGS’s World Coal Quality Inventory (USGS, 2010), average carbon content of 0.635."
biosphere,1.47923e-06,kilogram,"('ecoinvent-3.10-biosphere', '8b0a4a41-c65c-4d94-b10c-94ddb98abdd2')",Phosphorus,,2,-13.423988875846058,0.5,,,"Emissions from uncontrolled coal fires: These emissions were modeled under the assumption of 20Mt hard coal burnt under full combustion conditions (open burning) in coal seam fires per year using an averaged composition of Chinese coals reported by USGS’s World Coal Quality Inventory (USGS, 2010), average carbon content of 0.635."
biosphere,1.38643e-05,kilogram,"('ecoinvent-3.10-biosphere', '73b26c10-3c57-4732-8a36-6d1d98d6c925')",Potassium I,,2,-11.186193367008396,0.5,,,"Emissions from uncontrolled coal fires: These emissions were modeled under the assumption of 20Mt hard coal burnt under full combustion conditions (open burning) in coal seam fires per year using an averaged composition of Chinese coals reported by USGS’s World Coal Quality Inventory (USGS, 2010), average carbon content of 0.635."
biosphere,3.11565e-08,kilogram,"('ecoinvent-3.10-biosphere', '8bd01869-7f83-4fcd-a167-af5735fa7ffd')",Scandium,,2,-17.284242945744275,0.5,,,"Emissions from uncontrolled coal fires: These emissions were modeled under the assumption of 20Mt hard coal burnt under full combustion conditions (open burning) in coal seam fires per year using an averaged composition of Chinese coals reported by USGS’s World Coal Quality Inventory (USGS, 2010), average carbon content of 0.635."
biosphere,2.61613e-08,kilogram,"('ecoinvent-3.10-biosphere', '45acd8c0-657f-46d3-8026-4b3c9fadaeb6')",Selenium IV,,2,-17.458984617402525,0.5,,,"Emissions from uncontrolled coal fires: These emissions were modeled under the assumption of 20Mt hard coal burnt under full combustion conditions (open burning) in coal seam fires per year using an averaged composition of Chinese coals reported by USGS’s World Coal Quality Inventory (USGS, 2010), average carbon content of 0.635."
biosphere,0.000291827,kilogram,"('ecoinvent-3.10-biosphere', '6575edf4-826c-4e99-a21a-08a1afec1396')",Silicon,,2,-8.139349397026605,0.5,,,"Emissions from uncontrolled coal fires: These emissions were modeled under the assumption of 20Mt hard coal burnt under full combustion conditions (open burning) in coal seam fires per year using an averaged composition of Chinese coals reported by USGS’s World Coal Quality Inventory (USGS, 2010), average carbon content of 0.635."
biosphere,4.49208e-09,kilogram,"('ecoinvent-3.10-biosphere', '7da45a0b-0dcf-413c-8de0-44d8ebca9e6e')",Silver I,,2,-19.220949990789798,0.9273618495495705,,,"Emissions from uncontrolled coal fires: These emissions were modeled under the assumption of 20Mt hard coal burnt under full combustion conditions (open burning) in coal seam fires per year using an averaged composition of Chinese coals reported by USGS’s World Coal Quality Inventory (USGS, 2010), average carbon content of 0.635."
biosphere,4.67018e-06,kilogram,"('ecoinvent-3.10-biosphere', '4573f0c9-0fdd-413f-ae74-e27290f40743')",Sodium I,,2,-12.274312943129049,0.5,,,"Emissions from uncontrolled coal fires: These emissions were modeled under the assumption of 20Mt hard coal burnt under full combustion conditions (open burning) in coal seam fires per year using an averaged composition of Chinese coals reported by USGS’s World Coal Quality Inventory (USGS, 2010), average carbon content of 0.635."
biosphere,1.13786e-06,kilogram,"('ecoinvent-3.10-biosphere', '4c0a6227-af22-45cb-b75b-b276ce0e4d47')",Strontium II,,2,-13.686361252675166,0.5,,,"Emissions from uncontrolled coal fires: These emissions were modeled under the assumption of 20Mt hard coal burnt under full combustion conditions (open burning) in coal seam fires per year using an averaged composition of Chinese coals reported by USGS’s World Coal Quality Inventory (USGS, 2010), average carbon content of 0.635."
biosphere,6.17857e-05,kilogram,"('ecoinvent-3.10-biosphere', '32451556-ee07-4e36-bd8a-09f8847f9c83')",Sulfur,,2,-9.691838611861552,0.5,,,"Emissions from uncontrolled coal fires: These emissions were modeled under the assumption of 20Mt hard coal burnt under full combustion conditions (open burning) in coal seam fires per year using an averaged composition of Chinese coals reported by USGS’s World Coal Quality Inventory (USGS, 2010), average carbon content of 0.635."
biosphere,1.91673e-09,kilogram,"('ecoinvent-3.10-biosphere', '6fa8a7df-bd00-4b65-82bd-23b6a4cffe6a')",Thallium I,,2,-20.072645227872925,0.9273618495495705,,,"Emissions from uncontrolled coal fires: These emissions were modeled under the assumption of 20Mt hard coal burnt under full combustion conditions (open burning) in coal seam fires per year using an averaged composition of Chinese coals reported by USGS’s World Coal Quality Inventory (USGS, 2010), average carbon content of 0.635."
biosphere,2.19155e-08,kilogram,"('ecoinvent-3.10-biosphere', '85a764f2-a810-4b20-bc86-a45604262fda')",Tin ion,,2,-17.63607168791268,0.9273618495495705,,,"Emissions from uncontrolled coal fires: These emissions were modeled under the assumption of 20Mt hard coal burnt under full combustion conditions (open burning) in coal seam fires per year using an averaged composition of Chinese coals reported by USGS’s World Coal Quality Inventory (USGS, 2010), average carbon content of 0.635."
biosphere,1.04381e-05,kilogram,"('ecoinvent-3.10-biosphere', '6bc9e39e-bfc5-4929-88d9-863684901143')",Titanium ion,,2,-11.470047984409561,0.5,,,"Emissions from uncontrolled coal fires: These emissions were modeled under the assumption of 20Mt hard coal burnt under full combustion conditions (open burning) in coal seam fires per year using an averaged composition of Chinese coals reported by USGS’s World Coal Quality Inventory (USGS, 2010), average carbon content of 0.635."
biosphere,2.38744e-07,kilogram,"('ecoinvent-3.10-biosphere', '4122276a-89a6-4e31-ad7d-19568cecf9ce')",Vanadium V,,2,-15.24787398879141,0.9273618495495705,,,"Emissions from uncontrolled coal fires: These emissions were modeled under the assumption of 20Mt hard coal burnt under full combustion conditions (open burning) in coal seam fires per year using an averaged composition of Chinese coals reported by USGS’s World Coal Quality Inventory (USGS, 2010), average carbon content of 0.635."
biosphere,1e-06,kilogram,"('ecoinvent-3.10-biosphere', '2e0c9efa-d55c-49db-8be3-0376d5921ff4')",Aluminium III,,2,-13.815510557964274,1.044030650891055,,,Emissions from mining and preparation activities: Own assumption according to Dones et al. (2007). 
biosphere,1e-06,kilogram,"('ecoinvent-3.10-biosphere', '736f52e8-9703-4076-8909-7ae80a7f8005')",Ammonium,,2,-13.815510557964274,1.044030650891055,,,Emissions from mining and preparation activities: Own assumption according to Dones et al. (2007). 
biosphere,0.0162,kilogram,"('ecoinvent-3.10-biosphere', '85bec19f-c785-4364-8ef6-472b8e9dd90e')",Chloride,,2,-4.122744036743799,0.6633249580710799,,,Emissions from mining and preparation activities: Own assumption according to Dones et al. (2007). 
biosphere,1.5e-05,kilogram,"('ecoinvent-3.10-biosphere', '54c743a4-5438-4f3c-8e84-89b3e6ec0cc0')",Dissolved solids,,2,-11.107460356862065,0.8185352771872451,,,Emissions from mining and preparation activities: Own assumption according to Dones et al. (2007). 
biosphere,3e-06,kilogram,"('ecoinvent-3.10-biosphere', 'b84e31d0-cf7b-4c3f-bc8a-3cc93bdb30d9')",Fluoride,,2,-12.716898269296165,0.6633249580710799,,,Emissions from mining and preparation activities: Own assumption according to Dones et al. (2007). 
biosphere,2e-06,kilogram,"('ecoinvent-3.10-biosphere', '33fd8342-58e7-45c9-ad92-0951c002c403')",Iron ion,,2,-13.122363377404328,1.044030650891055,,,Emissions from mining and preparation activities: Own assumption according to Dones et al. (2007). 
biosphere,1e-06,kilogram,"('ecoinvent-3.10-biosphere', '44f28e11-061d-44fd-8f25-dc62a9f1fa57')",Manganese II,,2,-13.815510557964274,0.6633249580710799,,,Emissions from mining and preparation activities: Own assumption according to Dones et al. (2007). 
biosphere,1e-07,kilogram,"('ecoinvent-3.10-biosphere', '56815b4f-6138-4e0b-9fac-c94fd6b102b3')",Nickel II,,2,-16.11809565095832,0.8185352771872451,,,Emissions from mining and preparation activities: Own assumption according to Dones et al. (2007). 
biosphere,3e-06,kilogram,"('ecoinvent-3.10-biosphere', 'ca53777e-d36e-4db0-95ce-009f1d8593b8')","Solids, inorganic",,2,-12.716898269296165,1.044030650891055,,,Emissions from mining and preparation activities: Own assumption according to Dones et al. (2007). 
biosphere,5e-06,kilogram,"('ecoinvent-3.10-biosphere', '070f9c6e-584d-40ed-8b07-6b1f7f75dd3f')",Strontium II,,2,-12.206072645530174,0.6633249580710799,,,Emissions from mining and preparation activities: Own assumption according to Dones et al. (2007). 
biosphere,0.0005,kilogram,"('ecoinvent-3.10-biosphere', '31eacbfc-683a-4d36-afc1-80dee42a3b94')",Sulfate,,2,-7.600902459542082,1.044030650891055,,,Emissions from mining and preparation activities: Own assumption according to Dones et al. (2007). 
biosphere,0.0004608,cubic meter,"('ecoinvent-3.10-biosphere', '2404b41a-2eed-4e9d-8ab6-783946fdf5d6')",Water,,2,-7.682546448582593,0.5,,,Calculated value based on literature values and expert opinion. See comments in the parametres' comment field.
biosphere,1e-07,kilogram,"('ecoinvent-3.10-biosphere', '7e769b3e-03fb-4b53-be15-85a910dcfea9')",Zinc II,,2,-16.11809565095832,0.8185352771872451,,,Emissions from mining and preparation activities: Own assumption according to Dones et al. (2007). 
biosphere,1.11195238095238,kilogram,"('ecoinvent-3.10-biosphere', 'b6d0042d-0ef8-49ed-9162-a07ff1ccf750')","Coal, hard",,2,0.1061173720269143,0.46475800154489,,,"1.106 kg of coal resources are assumed to be extracted per kg of prepared hard coal, added are losses of 20Mt of coal burnt in uncontrolled fires per year"
biosphere,0.0127,standard cubic meter,"('ecoinvent-3.10-biosphere', '3ed5f377-344f-423a-b5ec-9a9a1162b944')","Gas, mine, off-gas, process, coal mining",,2,-4.3661532855175915,0.46475800154489,,,Own assumption according to Dones et al. (2007). 
biosphere,0.018,square meter-year,"('ecoinvent-3.10-biosphere', '1eaa9ea4-40b8-414a-b198-5626400372e1')","Occupation, dump site",,2,-4.017383521085972,0.5,,,large spread in data. Dones et al. (2007).
biosphere,0.0013,square meter-year,"('ecoinvent-3.10-biosphere', '379ba5c9-5c3a-43d0-8e2d-605ad9c39e46')","Occupation, mineral extraction site",,2,-6.645391014514646,0.5,,,Own assumption according to Dones et al. (2007). 
biosphere,0.010771429,kilogram,"('ecoinvent-3.10-biosphere', 'af01e564-f816-4906-bd4f-b7c932f926b9')",Oxygen,,2,-4.530858113235742,0.4589117562233506,,,Oxygen demand by uncontrolled fires.
biosphere,0.000161,square meter,"('ecoinvent-3.10-biosphere', '29630a65-f38c-48a5-9744-c0121f586640')","Transformation, from unspecified",,2,-8.73410619297981,0.5744562646538028,,,large spread in data. Dones et al. (2007).
biosphere,0.00015,square meter,"('ecoinvent-3.10-biosphere', '90a5a447-af6f-421a-8201-011f07ad1150')","Transformation, to dump site",,2,-8.804875263868018,0.5744562646538028,,,large spread in data. Dones et al. (2007).
biosphere,1.1e-05,square meter,"('ecoinvent-3.10-biosphere', '626915e9-2424-4059-8b6a-fae47161acdf')","Transformation, to mineral extraction site",,2,-11.417615285165903,0.5744562646538028,,,large spread in data. Dones et al. (2007).
biosphere,0.00263,cubic meter,"('ecoinvent-3.10-biosphere', '67c40aae-d403-464d-9649-c12695e43ad8')","Water, well, in ground",,2,-5.940771432792464,0.4589117562233506,,,Own assumption according to Dones et al. (2007). 
