exchange_type,amount,unit,input_key,input_name,input_location,uncertainty_type,loc,scale,minimum,maximum,comment
biosphere,0.000229762,kilogram,"('ecoinvent-3.10-biosphere', '099b36ab-4c03-4587-87f4-2f81e337afb8')","Carbon monoxide, fossil",,2,-8.378466567406925,0.9273618495495705,,,"Emissions from uncontrolled coal fires: These emissions were modeled under the assumption of 20Mt hard coal burnt under full combustion conditions (open burning) in coal seam fires per year using an averaged composition of Chinese coals reported by USGS’s World Coal Quality Inventory (USGS, 2010), average carbon content of 0.635. Mind that actual combustion conditions are likely to result in incomplete combustion, which would cause lower CO2 emissions than assumed here, while CO and CH4 emissions would likely be higher."
biosphere,1.8525e-10,kilogram,"('ecoinvent-3.10-biosphere', '4d40d8e3-9bc7-4ab1-ac5c-4f4a76fda8e5')",Chromium III,,2,-22.409314851752352,0.9273618495495705,,,"Emissions from uncontrolled coal fires: These emissions were modeled under the assumption of 20Mt hard coal burnt under full combustion conditions (open burning) in coal seam fires per year using an averaged composition of Chinese coals reported by USGS’s World Coal Quality Inventory (USGS, 2010), average carbon content of 0.635."
biosphere,1.78762e-09,kilogram,"('ecoinvent-3.10-biosphere', 'b10faa87-2c1d-4f6e-aa65-9f80b376939a')",Cobalt II,,2,-20.14238071074656,0.9273618495495705,,,"Emissions from uncontrolled coal fires: These emissions were modeled under the assumption of 20Mt hard coal burnt under full combustion conditions (open burning) in coal seam fires per year using an averaged composition of Chinese coals reported by USGS’s World Coal Quality Inventory (USGS, 2010), average carbon content of 0.635."
biosphere,1.32702e-10,kilogram,"('ecoinvent-3.10-biosphere', 'e336eee7-148a-4d1c-8027-780cbfafa12b')",Copper ion,,2,-22.74291510311391,0.9273618495495705,,,"Emissions from uncontrolled coal fires: These emissions were modeled under the assumption of 20Mt hard coal burnt under full combustion conditions (open burning) in coal seam fires per year using an averaged composition of Chinese coals reported by USGS’s World Coal Quality Inventory (USGS, 2010), average carbon content of 0.635."
biosphere,6.91964e-07,kilogram,"('ecoinvent-3.10-biosphere', 'afd6d670-bbb0-4625-9730-04088a5b035e')",Dinitrogen monoxide,,2,-14.183731905803379,0.5,,,"Emissions from uncontrolled coal fires: These emissions were modeled under the assumption of 20Mt hard coal burnt under full combustion conditions (open burning) in coal seam fires per year using an averaged composition of Chinese coals reported by USGS’s World Coal Quality Inventory (USGS, 2010), average carbon content of 0.635."
biosphere,3.61423e-14,kilogram,"('ecoinvent-3.10-biosphere', 'f77c5e36-ee47-4437-b757-03139bb1d6d6')","Dioxins, measured as 2,3,7,8-tetrachlorodibenzo-p-dioxin",,2,-30.951312470377054,0.9273618495495705,,,"Emissions from uncontrolled coal fires: These emissions were modeled under the assumption of 20Mt hard coal burnt under full combustion conditions (open burning) in coal seam fires per year using an averaged composition of Chinese coals reported by USGS’s World Coal Quality Inventory (USGS, 2010), average carbon content of 0.635."
biosphere,1.94917e-06,kilogram,"('ecoinvent-3.10-biosphere', 'e0e605c8-370b-4b5a-b6d4-2e7a5a1a6709')",Ethyl benzene,,2,-13.148106917025114,0.714142842854285,,,"Emissions from uncontrolled coal fires: These emissions were modeled under the assumption of 20Mt hard coal burnt under full combustion conditions (open burning) in coal seam fires per year using an averaged composition of Chinese coals reported by USGS’s World Coal Quality Inventory (USGS, 2010), average carbon content of 0.635."
biosphere,2.64077e-06,kilogram,"('ecoinvent-3.10-biosphere', '9167dca7-615e-435c-8ba6-dbbf50e50e34')",Formaldehyde,,2,-12.844440016665835,0.714142842854285,,,"Emissions from uncontrolled coal fires: These emissions were modeled under the assumption of 20Mt hard coal burnt under full combustion conditions (open burning) in coal seam fires per year using an averaged composition of Chinese coals reported by USGS’s World Coal Quality Inventory (USGS, 2010), average carbon content of 0.635."
biosphere,2.25887e-06,kilogram,"('ecoinvent-3.10-biosphere', '68e32537-beae-41c2-be72-74df4d273c11')",Hydrochloric acid,,2,-13.000645869721762,0.5,,,"Emissions from uncontrolled coal fires: These emissions were modeled under the assumption of 20Mt hard coal burnt under full combustion conditions (open burning) in coal seam fires per year using an averaged composition of Chinese coals reported by USGS’s World Coal Quality Inventory (USGS, 2010), average carbon content of 0.635."
biosphere,1.05869e-07,kilogram,"('ecoinvent-3.10-biosphere', '76152de4-9499-48f7-af98-a5d41842484a')",Iron ion,,2,-16.061063356182157,0.5,,,"Emissions from uncontrolled coal fires: These emissions were modeled under the assumption of 20Mt hard coal burnt under full combustion conditions (open burning) in coal seam fires per year using an averaged composition of Chinese coals reported by USGS’s World Coal Quality Inventory (USGS, 2010), average carbon content of 0.635."
