from_key,from_code,from_name,to_key,to_db,to_code,to_name,amount,unit,uncertainty_type,loc,scale,minimum,maximum
"('mtcw_foreground_prospective__joint', 'wastewater_treatment_unpolluted_CAe__SSP2M_2050')",wastewater_treatment_unpolluted_CAe__SSP2M_2050,Wastewater treatment proxy (joint) [SSP2M_2050],"('prospective_conseq_IMAGE_SSP2M_2050_PERF', '3fa7fb96c89f4e5eac6aa01375d7212c')",prospective_conseq_IMAGE_SSP2M_2050_PERF,3fa7fb96c89f4e5eac6aa01375d7212c,"market for aluminium scrap, post-consumer, prepared for melting",-6.31077418802306e-05,kilogram,2,-9.670666694641113,0.5575840473175049,,
"('mtcw_foreground_prospective__joint', 'wastewater_treatment_unpolluted_CAe__SSP2M_2050')",wastewater_treatment_unpolluted_CAe__SSP2M_2050,Wastewater treatment proxy (joint) [SSP2M_2050],"('prospective_conseq_IMAGE_SSP2M_2050_PERF', 'e063f09667b94fe8b58abc38d2c2695b')",prospective_conseq_IMAGE_SSP2M_2050_PERF,e063f09667b94fe8b58abc38d2c2695b,"market for copper scrap, sorted, pressed",-7.612997433170676e-05,kilogram,2,-9.483068466186523,0.5575840473175049,,
"('mtcw_foreground_prospective__joint', 'wastewater_treatment_unpolluted_CAe__SSP2M_2050')",wastewater_treatment_unpolluted_CAe__SSP2M_2050,Wastewater treatment proxy (joint) [SSP2M_2050],"('prospective_conseq_IMAGE_SSP2M_2050_PERF', '4ef21eae86be406dbbbe9b48f5842cad')",prospective_conseq_IMAGE_SSP2M_2050_PERF,4ef21eae86be406dbbbe9b48f5842cad,"market for inert waste, for final disposal",-0.0048103309236466885,kilogram,2,-5.336989402770996,0.4699999988079071,,
"('mtcw_foreground_prospective__joint', 'wastewater_treatment_unpolluted_CAe__SSP2M_2050')",wastewater_treatment_unpolluted_CAe__SSP2M_2050,Wastewater treatment proxy (joint) [SSP2M_2050],"('prospective_conseq_IMAGE_SSP2M_2050_PERF', 'f17a1ab6cd8d434f9316ed9376d181e3')",prospective_conseq_IMAGE_SSP2M_2050_PERF,f17a1ab6cd8d434f9316ed9376d181e3,"market for iron scrap, sorted, pressed",-0.0005138773121871054,kilogram,2,-7.573525905609131,0.5575840473175049,,
"('mtcw_foreground_prospective__joint', 'wastewater_treatment_unpolluted_CAe__SSP2M_2050')",wastewater_treatment_unpolluted_CAe__SSP2M_2050,Wastewater treatment proxy (joint) [SSP2M_2050],"('prospective_conseq_IMAGE_SSP2M_2050_PERF', '55b6937c95a540a18a8232a02a4f8a41')",prospective_conseq_IMAGE_SSP2M_2050_PERF,55b6937c95a540a18a8232a02a4f8a41,"market for sewage sludge, 70% water, WWT[U], WW from lorry production",-0.002430531894788146,kilogram,2,-6.0196452140808105,0.06901448965072632,,
"('mtcw_foreground_prospective__joint', 'wastewater_treatment_unpolluted_CAe__SSP2M_2050')",wastewater_treatment_unpolluted_CAe__SSP2M_2050,Wastewater treatment proxy (joint) [SSP2M_2050],"('prospective_conseq_IMAGE_SSP2M_2050_PERF', '4e5f4be329124399aa65c5f060bf7133')",prospective_conseq_IMAGE_SSP2M_2050_PERF,4e5f4be329124399aa65c5f060bf7133,"market for sewage sludge, 97% water, WWT[U], WW from lorry production",-0.002700590994209051,kilogram,2,-5.914284706115723,0.008476438000798225,,
"('mtcw_foreground_prospective__joint', 'wastewater_treatment_unpolluted_CAe__SSP2M_2050')",wastewater_treatment_unpolluted_CAe__SSP2M_2050,Wastewater treatment proxy (joint) [SSP2M_2050],"('prospective_conseq_IMAGE_SSP2M_2050_PERF', 'b087cf33efbc4e0686a178c5dfd6184c')",prospective_conseq_IMAGE_SSP2M_2050_PERF,b087cf33efbc4e0686a178c5dfd6184c,market for waste bitumen,-3.105301584582776e-05,kilogram,2,-10.379814147949219,0.5575840473175049,,
"('mtcw_foreground_prospective__joint', 'wastewater_treatment_unpolluted_CAe__SSP2M_2050')",wastewater_treatment_unpolluted_CAe__SSP2M_2050,Wastewater treatment proxy (joint) [SSP2M_2050],"('prospective_conseq_IMAGE_SSP2M_2050_PERF', '2fe8b1d3f3d047ba8dc4d18bca4d03c1')",prospective_conseq_IMAGE_SSP2M_2050_PERF,2fe8b1d3f3d047ba8dc4d18bca4d03c1,market for waste graphical paper,-0.00979276280850172,kilogram,2,-4.6261115074157715,0.4699999988079071,,
"('mtcw_foreground_prospective__joint', 'wastewater_treatment_unpolluted_CAe__SSP2M_2050')",wastewater_treatment_unpolluted_CAe__SSP2M_2050,Wastewater treatment proxy (joint) [SSP2M_2050],"('prospective_conseq_IMAGE_SSP2M_2050_PERF', '4a599490e6fa42d6a2b60406e197b747')",prospective_conseq_IMAGE_SSP2M_2050_PERF,4a599490e6fa42d6a2b60406e197b747,market for waste mineral wool,-5.4092350183054805e-05,kilogram,2,-9.824817657470703,0.5575840473175049,,
"('mtcw_foreground_prospective__joint', 'wastewater_treatment_unpolluted_CAe__SSP2M_2050')",wastewater_treatment_unpolluted_CAe__SSP2M_2050,Wastewater treatment proxy (joint) [SSP2M_2050],"('prospective_conseq_IMAGE_SSP2M_2050_PERF', '172131bbc1db409bb5c6f06ad84ff497')",prospective_conseq_IMAGE_SSP2M_2050_PERF,172131bbc1db409bb5c6f06ad84ff497,"market for waste plastic, mixture",-0.00979276280850172,kilogram,2,-4.6261115074157715,0.4699999988079071,,
