scenario,route,case,"ReCiPe 2016 v1.03, midpoint (H) | acidification: terrestrial | terrestrial acidification potential (TAP)","ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)","ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP1000)","ReCiPe 2016 v1.03, midpoint (H) | ecotoxicity: freshwater | freshwater ecotoxicity potential (FETP)","ReCiPe 2016 v1.03, midpoint (H) | ecotoxicity: marine | marine ecotoxicity potential (METP)","ReCiPe 2016 v1.03, midpoint (H) | ecotoxicity: terrestrial | terrestrial ecotoxicity potential (TETP)","ReCiPe 2016 v1.03, midpoint (H) | energy resources: non-renewable, fossil | fossil fuel potential (FFP)","ReCiPe 2016 v1.03, midpoint (H) | eutrophication: freshwater | freshwater eutrophication potential (FEP)","ReCiPe 2016 v1.03, midpoint (H) | eutrophication: marine | marine eutrophication potential (MEP)","ReCiPe 2016 v1.03, midpoint (H) | human toxicity: carcinogenic | human toxicity potential (HTPc)","ReCiPe 2016 v1.03, midpoint (H) | human toxicity: non-carcinogenic | human toxicity potential (HTPnc)","ReCiPe 2016 v1.03, midpoint (H) | ionising radiation | ionising radiation potential (IRP)","ReCiPe 2016 v1.03, midpoint (H) | land use | agricultural land occupation (LOP)","ReCiPe 2016 v1.03, midpoint (H) | material resources: metals/minerals | surplus ore potential (SOP)","ReCiPe 2016 v1.03, midpoint (H) | ozone depletion | ozone depletion potential (ODPinfinite)","ReCiPe 2016 v1.03, midpoint (H) | particulate matter formation | particulate matter formation potential (PMFP)","ReCiPe 2016 v1.03, midpoint (H) | photochemical oxidant formation: human health | photochemical oxidant formation potential: humans (HOFP)","ReCiPe 2016 v1.03, midpoint (H) | photochemical oxidant formation: terrestrial ecosystems | photochemical oxidant formation potential: ecosystems (EOFP)","ReCiPe 2016 v1.03, midpoint (H) | water use | water consumption potential (WCP)"
SSP1VLLO_2050,landfill,c3c4,0.00022845739289824698,0.0753710722304727,0.08321383013737547,0.029790393306837443,0.041018733309212345,0.5272229219937983,0.03227433578345606,6.295199251580258e-06,3.852880655530134e-05,0.00483022974078711,1.0718318025097262,1.52582122848081e-06,0.013240933381225253,0.00037443014851012193,7.040254666021204e-08,0.00010580066809278831,0.0004151836202940233,0.00043723838274098604,0.0007881181066623224
SSP1VLLO_2050,landfill,net,0.00022845739289824698,0.0753710722304727,0.08321383013737547,0.029790393306837443,0.041018733309212345,0.5272229219937983,0.03227433578345606,6.295199251580258e-06,3.852880655530134e-05,0.00483022974078711,1.0718318025097262,1.52582122848081e-06,0.013240933381225253,0.00037443014851012193,7.040254666021204e-08,0.00010580066809278831,0.0004151836202940233,0.00043723838274098604,0.0007881181066623224
SSP1VLLO_2050,recycling_postcons,c3c4,0.004933621498103462,1.4593515108945332,1.6771765670159038,0.852961280167906,1.1745709643894569,47.036152235283524,0.4610712447056325,0.000542009745586939,-1.4264236808244442e-05,0.33860102289998034,33.39494271239019,-0.022457948482009063,0.1817733178845374,0.07666936124389163,1.4582641477196012e-06,0.0015833269002127103,0.004427817987350567,0.004720712243177997,-0.008417895581755274
SSP1VLLO_2050,recycling_postcons,joint,-0.2064420381147467,-18.592889674480304,-19.484435650236783,-2.5697794409491377,-3.408692542324713,-73.56800588081737,-3.9481828898459073,-0.006984686388479453,-0.0004719384926939947,-48.044006705201504,-17.827984664761154,0.237753720210875,-0.7287860935673874,-0.5694285910440936,-3.4449612016521843e-06,-0.07252120389223027,-0.06920120921133244,-0.07078662529276862,0.05491169283644868
SSP1VLLO_2050,recycling_postcons,net,-0.2064420381147467,-18.592889674480304,-19.484435650236783,-2.5697794409491377,-3.408692542324713,-73.56800588081737,-3.9481828898459073,-0.006984686388479453,-0.0004719384926939947,-48.044006705201504,-17.827984664761154,0.237753720210875,-0.7287860935673874,-0.5694285910440936,-3.4449612016521843e-06,-0.07252120389223027,-0.06920120921133244,-0.07078662529276862,0.05491169283644868
SSP1VLLO_2050,recycling_postcons,staged_total,-0.21137565961285038,-20.052241185374807,-21.16161221725266,-3.42274072111704,-4.583263506714172,-120.6041581161009,-4.409254134551539,-0.007526696134066393,-0.0004576742558857499,-48.382607728101505,-51.22292737715135,0.26021166869288415,-0.9105594114519248,-0.6460979522879848,-4.903225349371781e-06,-0.07410453079244295,-0.07362902719868304,-0.07550733753594667,0.06332958841820377
SSP1VLLO_2050,reuse,c3c4,2.6396805827242895e-05,0.0073080157054235245,0.0107754141570452,0.0007516896311545458,0.0010045864510459014,0.044520407855296526,0.0019568102953901752,2.805124527992347e-05,5.781175761115583e-05,0.004637088676483887,0.04559354805951024,-1.2056407968823786e-05,0.001310075591419815,0.00011247895677937947,1.4154785234862709e-08,1.4573987914451545e-05,2.0216553039150954e-05,2.149769477613474e-05,0.001438325084937013
SSP1VLLO_2050,reuse,joint,-0.204453636949471,-22.315757504195165,-23.602542134613476,-3.6179015314581457,-4.8274666303348015,-123.37655023094018,-5.055013927973976,-0.0076947635732025664,-0.0011241982476088844,-46.299074120413124,-55.03233423909052,0.25574869767190445,-1.0072512181985385,-0.6361880202667396,-5.639086710596187e-06,-0.07277458310059208,-0.07411653790994281,-0.07632289618708156,0.04119034287857878
SSP1VLLO_2050,reuse,net,-0.204453636949471,-22.315757504195165,-23.602542134613476,-3.6179015314581457,-4.8274666303348015,-123.37655023094018,-5.055013927973976,-0.0076947635732025664,-0.0011241982476088844,-46.299074120413124,-55.03233423909052,0.25574869767190445,-1.0072512181985385,-0.6361880202667396,-5.639086710596187e-06,-0.07277458310059208,-0.07411653790994281,-0.07632289618708156,0.04119034287857878
SSP1VLLO_2050,reuse,staged_total,-0.20448003375529816,-22.32306551990056,-23.613317548770492,-3.618653221089301,-4.8284712167858475,-123.42107063879541,-5.056970738269368,-0.007722814818482493,-0.0011820100052200417,-46.30371120908963,-55.077927787150045,0.25576075407987314,-1.0085612937899582,-0.6363004992235198,-5.653241495831037e-06,-0.07278915708850656,-0.07413675446298196,-0.07634439388185767,0.039752017793641806
