mode,runner,scenario,bg_db,fg_db,route,split_policy,credit_mode,case,"ReCiPe 2016 v1.03, midpoint (H) | acidification: terrestrial | terrestrial acidification potential (TAP)","ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)","ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP1000)","ReCiPe 2016 v1.03, midpoint (H) | ecotoxicity: freshwater | freshwater ecotoxicity potential (FETP)","ReCiPe 2016 v1.03, midpoint (H) | ecotoxicity: marine | marine ecotoxicity potential (METP)","ReCiPe 2016 v1.03, midpoint (H) | ecotoxicity: terrestrial | terrestrial ecotoxicity potential (TETP)","ReCiPe 2016 v1.03, midpoint (H) | energy resources: non-renewable, fossil | fossil fuel potential (FFP)","ReCiPe 2016 v1.03, midpoint (H) | eutrophication: freshwater | freshwater eutrophication potential (FEP)","ReCiPe 2016 v1.03, midpoint (H) | eutrophication: marine | marine eutrophication potential (MEP)","ReCiPe 2016 v1.03, midpoint (H) | human toxicity: carcinogenic | human toxicity potential (HTPc)","ReCiPe 2016 v1.03, midpoint (H) | human toxicity: non-carcinogenic | human toxicity potential (HTPnc)","ReCiPe 2016 v1.03, midpoint (H) | ionising radiation | ionising radiation potential (IRP)","ReCiPe 2016 v1.03, midpoint (H) | land use | agricultural land occupation (LOP)","ReCiPe 2016 v1.03, midpoint (H) | material resources: metals/minerals | surplus ore potential (SOP)","ReCiPe 2016 v1.03, midpoint (H) | ozone depletion | ozone depletion potential (ODPinfinite)","ReCiPe 2016 v1.03, midpoint (H) | particulate matter formation | particulate matter formation potential (PMFP)","ReCiPe 2016 v1.03, midpoint (H) | photochemical oxidant formation: human health | photochemical oxidant formation potential: humans (HOFP)","ReCiPe 2016 v1.03, midpoint (H) | photochemical oxidant formation: terrestrial ecosystems | photochemical oxidant formation potential: ecosystems (EOFP)","ReCiPe 2016 v1.03, midpoint (H) | water use | water consumption potential (WCP)"
prospect,al_base_routes,SSP1VLLO_2050,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,mtcw_foreground_prospective,landfill,none,external_stageD,c3c4,0.00023301758359892902,0.07641229840835943,0.08374005716999244,0.029836389805919617,0.04108050806536077,0.5249190721308192,0.032510740827664086,8.043699073524021e-06,3.8648523465217746e-05,0.004915513555271509,1.0734995996351708,-8.653719486576816e-06,0.013051476913212883,0.00038458994331268747,7.042701326392061e-08,0.0001113394456049109,0.00041667679732684923,0.00043873477302208285,0.0008041879137021341
prospect,al_base_routes,SSP1VLLO_2050,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,mtcw_foreground_prospective,landfill,none,external_stageD,net_wrapper,0.00023301758359892902,0.07641229840835943,0.08374005716999244,0.029836389805919617,0.04108050806536077,0.5249190721308192,0.032510740827664086,8.043699073524021e-06,3.8648523465217746e-05,0.004915513555271509,1.0734995996351708,-8.653719486576816e-06,0.013051476913212883,0.00038458994331268747,7.042701326392061e-08,0.0001113394456049109,0.00041667679732684923,0.00043873477302208285,0.0008041879137021341
prospect,al_base_routes,SSP1VLLO_2050,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,mtcw_foreground_prospective,recycling_postcons,explicit,external_stageD,c3c4,0.002879058660776983,2.977230500283015,3.0290276505492106,0.8654525789879137,1.1942586117914404,39.20020865114219,0.9066700405130946,0.000539746618015475,1.6326993853624065e-05,0.4534341525651859,32.96315385515117,-0.02614220221083039,0.040572026179666744,0.11531779804919254,2.1550449440877773e-06,0.0015071596094477385,0.005358499364671469,0.005846562898399858,0.01465855052327215
prospect,al_base_routes,SSP1VLLO_2050,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,mtcw_foreground_prospective,recycling_postcons,explicit,external_stageD,joint,-0.21913519363978964,-26.69920176839334,-27.517702937088753,-2.5971803532300974,-3.44459274324767,-82.38291564938056,-4.900805121602164,-0.0075669155054763244,-0.0005102702774664599,-48.0625505114664,-19.373255879056888,0.23383545472355627,-0.7791222875656513,-0.5427939726021869,-3.122771890738642e-06,-0.07611226028117885,-0.07661166792789012,-0.0805340341720201,0.07066290668273563
prospect,al_base_routes,SSP1VLLO_2050,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,mtcw_foreground_prospective,recycling_postcons,explicit,external_stageD,net_wrapper,-0.21913519363978964,-26.69920176839334,-27.517702937088753,-2.5971803532300974,-3.44459274324767,-82.38291564938056,-4.900805121602164,-0.0075669155054763244,-0.0005102702774664599,-48.0625505114664,-19.373255879056888,0.23383545472355627,-0.7791222875656513,-0.5427939726021869,-3.122771890738642e-06,-0.07611226028117885,-0.07661166792789012,-0.0805340341720201,0.07066290668273563
prospect,al_base_routes,SSP1VLLO_2050,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,mtcw_foreground_prospective,recycling_postcons,explicit,external_stageD,stageD_only,-0.22201425230056673,-29.67643226867635,-30.54673058763796,-3.4626329322180127,-4.638851355039112,-121.5831243005228,-5.807475162115258,-0.008106662123491797,-0.0005265972713200841,-48.5159846640316,-52.33640973420806,0.2599776569343865,-0.8196943137453184,-0.6581117706513797,-5.277816834826415e-06,-0.07761941989062651,-0.0819701672925616,-0.08638059707041994,0.05600435615946298
prospect,al_base_routes,SSP1VLLO_2050,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,mtcw_foreground_prospective,reuse,explicit,external_stageD,c3c4,2.391861406743153e-05,0.0066635655989341555,0.008747357508193897,0.0008782281641789646,0.0011738575997515552,0.03853460664260739,0.0017200443984400297,3.2434354332409586e-05,6.806762833343874e-05,0.004827394684815341,0.02856272499311356,0.0005422740614939473,0.0005085843070442582,8.116056706316365e-05,1.0025352717661033e-08,1.3680591970582523e-05,1.618033681426608e-05,1.7307336448820243e-05,0.001426026122918913
prospect,al_base_routes,SSP1VLLO_2050,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,mtcw_foreground_prospective,reuse,explicit,external_stageD,joint,-0.21458521412862916,-31.479680126325057,-32.54022510094291,-3.655756722927296,-4.880223045384231,-124.3146184680916,-6.38650940544917,-0.008242571255606677,-0.0011795645946307252,-46.4258731847406,-56.10952154585915,0.2560802234588668,-0.9215392394980578,-0.6476578022757995,-5.999868037530551e-06,-0.07612203375747305,-0.0820622480071696,-0.08667961393068244,0.03420362494663985
prospect,al_base_routes,SSP1VLLO_2050,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,mtcw_foreground_prospective,reuse,explicit,external_stageD,net_wrapper,-0.21458521412862916,-31.479680126325057,-32.54022510094291,-3.655756722927296,-4.880223045384231,-124.3146184680916,-6.38650940544917,-0.008242571255606677,-0.0011795645946307252,-46.4258731847406,-56.10952154585915,0.2560802234588668,-0.9215392394980578,-0.6476578022757995,-5.999868037530551e-06,-0.07612203375747305,-0.0820622480071696,-0.08667961393068244,0.03420362494663985
prospect,al_base_routes,SSP1VLLO_2050,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,mtcw_foreground_prospective,reuse,explicit,external_stageD,stageD_only,-0.21460913274269672,-31.486343691924016,-32.548972458451125,-3.6566349510914735,-4.881396902983975,-124.35315307473401,-6.388229449847609,-0.008275005609939089,-0.001247632222964165,-46.43070057942545,-56.13808427085227,0.2555379493973726,-0.9220478238051022,-0.6477389628428629,-6.009893390248207e-06,-0.07613571434944366,-0.08207842834398385,-0.08669692126713126,0.03277759882372036
