scenario,route,case,bg_db,method,score,solver,tech_shape,n_activities,n_products,error
SSP1VLLO_2050,reuse,c3c4_only,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",0.007308015705423526,standard,"(107090, 107090)",107090,107090,
SSP1VLLO_2050,reuse,c3c4_only,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,"ReCiPe 2016 v1.03, midpoint (H) | acidification: terrestrial | terrestrial acidification potential (TAP)",2.63968058272429e-05,standard,"(107090, 107090)",107090,107090,
SSP1VLLO_2050,reuse,c3c4_only,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP1000)",0.010775414157045202,standard,"(107090, 107090)",107090,107090,
SSP1VLLO_2050,reuse,c3c4_only,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,"ReCiPe 2016 v1.03, midpoint (H) | ecotoxicity: freshwater | freshwater ecotoxicity potential (FETP)",0.0007516896311545458,standard,"(107090, 107090)",107090,107090,
SSP1VLLO_2050,reuse,c3c4_only,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,"ReCiPe 2016 v1.03, midpoint (H) | ecotoxicity: marine | marine ecotoxicity potential (METP)",0.0010045864510459014,standard,"(107090, 107090)",107090,107090,
SSP1VLLO_2050,reuse,c3c4_only,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,"ReCiPe 2016 v1.03, midpoint (H) | ecotoxicity: terrestrial | terrestrial ecotoxicity potential (TETP)",0.044520407855296526,standard,"(107090, 107090)",107090,107090,
SSP1VLLO_2050,reuse,c3c4_only,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,"ReCiPe 2016 v1.03, midpoint (H) | energy resources: non-renewable, fossil | fossil fuel potential (FFP)",0.0019568102953901752,standard,"(107090, 107090)",107090,107090,
SSP1VLLO_2050,reuse,c3c4_only,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,"ReCiPe 2016 v1.03, midpoint (H) | eutrophication: freshwater | freshwater eutrophication potential (FEP)",2.805124527992347e-05,standard,"(107090, 107090)",107090,107090,
SSP1VLLO_2050,reuse,c3c4_only,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,"ReCiPe 2016 v1.03, midpoint (H) | eutrophication: marine | marine eutrophication potential (MEP)",5.781175761115583e-05,standard,"(107090, 107090)",107090,107090,
SSP1VLLO_2050,reuse,c3c4_only,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,"ReCiPe 2016 v1.03, midpoint (H) | human toxicity: carcinogenic | human toxicity potential (HTPc)",0.0046370886764838855,standard,"(107090, 107090)",107090,107090,
SSP1VLLO_2050,reuse,c3c4_only,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,"ReCiPe 2016 v1.03, midpoint (H) | human toxicity: non-carcinogenic | human toxicity potential (HTPnc)",0.04559354805951024,standard,"(107090, 107090)",107090,107090,
