eol,contemp,SSP1VLLO_2050,SSP2M_2050,SSP5H_2050
landfill,3.9141141252312415e-05,3.864852346521775e-05,3.870223351778784e-05,3.8279042478218856e-05
reuse,-0.0014089489855337969,-0.0013766150425134614,-0.001375847416032152,-0.0012758456952951353
recycling_postcons,-0.0006901717406622517,-0.000682101412962876,-0.0006862512030209197,-0.000583296081664334
hydrolysis,0.0026063397152657,5.780731424550001e-05,0.0002161434968142,0.0003278348197281
msfsc,-0.0006881631828291,-0.00025266115567304563,-0.00015381427531159996,-0.0001223139381945
