eol,contemp,SSP1VLLO_2050,SSP2M_2050,SSP5H_2050
landfill,0.0,0.0,0.0,0.0
reuse,-3.1030085443050006,-3.1091493589235126,-3.1616744955608533,-3.139269765092344
recycling_postcons,-2.734259235739969,-2.6444442066512552,-2.6708335421015774,-2.6409932540286447
hydrolysis,-1.3573885651649695,-1.941988607298532,-1.631445486834337,-1.5512449027135202
msfsc,-2.245611833487365,51.54122712890166,52.01995339357346,52.098737099080914
