scenario_id,n,qrmse,qrmse_rel,denom_abs_median,meets_tol,stable_hits,tol_qrmse_rel
SSP5H_2050,800,inf,inf,29.300960079666822,False,0,0.01
SSP5H_2050,1000,0.02823492253248777,0.0009622183589351049,29.343570791702206,True,1,0.01
SSP5H_2050,1200,0.025933578855699753,0.000884406601076318,29.32314031141189,True,2,0.01
SSP5H_2050,1400,0.02482889691161688,0.000847099393191903,29.310488369092845,True,3,0.01
