tag,unc_layer,iteration,scenario_id,case,method,score,fu_scrap_kg,scrap_per_billet,fu_billet_kg,f_transition,pass_share
prospect_msfsc_fgonly_fgonly_stageDinert,fgonly,6,SSP1VLLO_2050,c3c4,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",0.492190896269897,3.67,1.050420168067227,3.4938399999999996,0.003415724450368197,0.9273529470829603
prospect_msfsc_fgonly_fgonly_stageDinert,fgonly,6,SSP1VLLO_2050,staged_total,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",-19.188518993041054,3.67,1.050420168067227,3.4938399999999996,0.003415724450368197,0.9273529470829603
prospect_msfsc_fgonly_fgonly_stageDinert,fgonly,6,SSP1VLLO_2050,joint,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",-18.696328096771158,3.67,1.050420168067227,3.4938399999999996,0.003415724450368197,0.9273529470829603
prospect_msfsc_fgonly_fgonly_stageDinert,fgonly,6,SSP1VLLO_2050,net_wrapper,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",-18.696328464982674,3.67,1.050420168067227,3.4938399999999996,0.003415724450368197,0.9273529470829603
prospect_msfsc_fgonly_fgonly_stageDinert,fgonly,7,SSP1VLLO_2050,c3c4,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",0.549188200546045,3.67,1.050420168067227,3.4938399999999996,0.12926414125709232,0.988097189432481
prospect_msfsc_fgonly_fgonly_stageDinert,fgonly,7,SSP1VLLO_2050,staged_total,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",-20.445421288664384,3.67,1.050420168067227,3.4938399999999996,0.12926414125709232,0.988097189432481
prospect_msfsc_fgonly_fgonly_stageDinert,fgonly,7,SSP1VLLO_2050,joint,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",-19.89623308811835,3.67,1.050420168067227,3.4938399999999996,0.12926414125709232,0.988097189432481
prospect_msfsc_fgonly_fgonly_stageDinert,fgonly,7,SSP1VLLO_2050,net_wrapper,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",-19.896233117592722,3.67,1.050420168067227,3.4938399999999996,0.12926414125709232,0.988097189432481
prospect_msfsc_fgonly_fgonly_stageDinert,fgonly,8,SSP1VLLO_2050,c3c4,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",0.5747656318909808,3.67,1.050420168067227,3.4938399999999996,0.18573839195750402,0.9983149970673255
prospect_msfsc_fgonly_fgonly_stageDinert,fgonly,8,SSP1VLLO_2050,staged_total,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",-20.656845209281876,3.67,1.050420168067227,3.4938399999999996,0.18573839195750402,0.9983149970673255
prospect_msfsc_fgonly_fgonly_stageDinert,fgonly,8,SSP1VLLO_2050,joint,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",-20.082079577390882,3.67,1.050420168067227,3.4938399999999996,0.18573839195750402,0.9983149970673255
prospect_msfsc_fgonly_fgonly_stageDinert,fgonly,8,SSP1VLLO_2050,net_wrapper,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",-20.08207915579469,3.67,1.050420168067227,3.4938399999999996,0.18573839195750402,0.9983149970673255
prospect_msfsc_fgonly_fgonly_stageDinert,fgonly,9,SSP1VLLO_2050,c3c4,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",0.77546894209627,3.67,1.050420168067227,3.4938399999999996,0.6288855530140579,0.9337884476916822
prospect_msfsc_fgonly_fgonly_stageDinert,fgonly,9,SSP1VLLO_2050,staged_total,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",-19.32168051050711,3.67,1.050420168067227,3.4938399999999996,0.6288855530140579,0.9337884476916822
prospect_msfsc_fgonly_fgonly_stageDinert,fgonly,9,SSP1VLLO_2050,joint,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",-18.546211568410822,3.67,1.050420168067227,3.4938399999999996,0.6288855530140579,0.9337884476916822
prospect_msfsc_fgonly_fgonly_stageDinert,fgonly,9,SSP1VLLO_2050,net_wrapper,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",-18.546210969968378,3.67,1.050420168067227,3.4938399999999996,0.6288855530140579,0.9337884476916822
prospect_msfsc_fgonly_fgonly_stageDinert,fgonly,10,SSP1VLLO_2050,c3c4,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",0.5165170549972206,3.67,1.050420168067227,3.4938399999999996,0.057127189727918776,0.9300573068556428
prospect_msfsc_fgonly_fgonly_stageDinert,fgonly,10,SSP1VLLO_2050,staged_total,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",-19.244476823363733,3.67,1.050420168067227,3.4938399999999996,0.057127189727918776,0.9300573068556428
prospect_msfsc_fgonly_fgonly_stageDinert,fgonly,10,SSP1VLLO_2050,joint,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",-18.727959768366517,3.67,1.050420168067227,3.4938399999999996,0.057127189727918776,0.9300573068556428
prospect_msfsc_fgonly_fgonly_stageDinert,fgonly,10,SSP1VLLO_2050,net_wrapper,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",-18.727959361992603,3.67,1.050420168067227,3.4938399999999996,0.057127189727918776,0.9300573068556428
prospect_msfsc_fgonly_fgonly_stageDinert,fgonly,11,SSP1VLLO_2050,c3c4,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",0.5181296473758277,3.67,1.050420168067227,3.4938399999999996,0.06068774572665552,0.9502899945190975
prospect_msfsc_fgonly_fgonly_stageDinert,fgonly,11,SSP1VLLO_2050,staged_total,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",-19.66312574525663,3.67,1.050420168067227,3.4938399999999996,0.06068774572665552,0.9502899945190975
prospect_msfsc_fgonly_fgonly_stageDinert,fgonly,11,SSP1VLLO_2050,joint,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",-19.144996097880806,3.67,1.050420168067227,3.4938399999999996,0.06068774572665552,0.9502899945190975
prospect_msfsc_fgonly_fgonly_stageDinert,fgonly,11,SSP1VLLO_2050,net_wrapper,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",-19.144996713696145,3.67,1.050420168067227,3.4938399999999996,0.06068774572665552,0.9502899945190975
prospect_msfsc_fgonly_fgonly_stageDinert,fgonly,12,SSP1VLLO_2050,c3c4,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",0.6522570986084892,3.67,1.050420168067227,3.4938399999999996,0.3568373406270317,0.9787428731784011
prospect_msfsc_fgonly_fgonly_stageDinert,fgonly,12,SSP1VLLO_2050,staged_total,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",-20.251864481978302,3.67,1.050420168067227,3.4938399999999996,0.3568373406270317,0.9787428731784011
prospect_msfsc_fgonly_fgonly_stageDinert,fgonly,12,SSP1VLLO_2050,joint,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",-19.599607383369804,3.67,1.050420168067227,3.4938399999999996,0.3568373406270317,0.9787428731784011
prospect_msfsc_fgonly_fgonly_stageDinert,fgonly,12,SSP1VLLO_2050,net_wrapper,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",-19.59960788684313,3.67,1.050420168067227,3.4938399999999996,0.3568373406270317,0.9787428731784011
prospect_msfsc_fgonly_fgonly_stageDinert,fgonly,13,SSP1VLLO_2050,c3c4,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",0.5155961051061372,3.67,1.050420168067227,3.4938399999999996,0.055093759074447496,0.9951853830049184
prospect_msfsc_fgonly_fgonly_stageDinert,fgonly,13,SSP1VLLO_2050,staged_total,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",-20.592088140178586,3.67,1.050420168067227,3.4938399999999996,0.055093759074447496,0.9951853830049184
prospect_msfsc_fgonly_fgonly_stageDinert,fgonly,13,SSP1VLLO_2050,joint,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",-20.07649203507246,3.67,1.050420168067227,3.4938399999999996,0.055093759074447496,0.9951853830049184
prospect_msfsc_fgonly_fgonly_stageDinert,fgonly,13,SSP1VLLO_2050,net_wrapper,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",-20.07649187385725,3.67,1.050420168067227,3.4938399999999996,0.055093759074447496,0.9951853830049184
prospect_msfsc_fgonly_fgonly_stageDinert,fgonly,14,SSP1VLLO_2050,c3c4,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",0.6459833857225837,3.67,1.050420168067227,3.4938399999999996,0.34298516651924055,0.9437020262494143
prospect_msfsc_fgonly_fgonly_stageDinert,fgonly,14,SSP1VLLO_2050,staged_total,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",-19.52680941104321,3.67,1.050420168067227,3.4938399999999996,0.34298516651924055,0.9437020262494143
prospect_msfsc_fgonly_fgonly_stageDinert,fgonly,14,SSP1VLLO_2050,joint,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",-18.880826025320644,3.67,1.050420168067227,3.4938399999999996,0.34298516651924055,0.9437020262494143
prospect_msfsc_fgonly_fgonly_stageDinert,fgonly,14,SSP1VLLO_2050,net_wrapper,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",-18.880826353354582,3.67,1.050420168067227,3.4938399999999996,0.34298516651924055,0.9437020262494143
prospect_msfsc_fgonly_fgonly_stageDinert,fgonly,15,SSP1VLLO_2050,c3c4,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",0.5981225388166077,3.67,1.050420168067227,3.4938399999999996,0.2373097717234062,0.8906995114493585
prospect_msfsc_fgonly_fgonly_stageDinert,fgonly,15,SSP1VLLO_2050,staged_total,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",-18.430096702986404,3.67,1.050420168067227,3.4938399999999996,0.2373097717234062,0.8906995114493585
