scenario,case,bg_db,solver,tech_shape,n_activities,n_products,"ReCiPe 2016 v1.03, midpoint (H) | acidification: terrestrial | terrestrial acidification potential (TAP)","ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)","ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP1000)","ReCiPe 2016 v1.03, midpoint (H) | ecotoxicity: freshwater | freshwater ecotoxicity potential (FETP)","ReCiPe 2016 v1.03, midpoint (H) | ecotoxicity: marine | marine ecotoxicity potential (METP)","ReCiPe 2016 v1.03, midpoint (H) | ecotoxicity: terrestrial | terrestrial ecotoxicity potential (TETP)","ReCiPe 2016 v1.03, midpoint (H) | energy resources: non-renewable, fossil | fossil fuel potential (FFP)","ReCiPe 2016 v1.03, midpoint (H) | eutrophication: freshwater | freshwater eutrophication potential (FEP)","ReCiPe 2016 v1.03, midpoint (H) | eutrophication: marine | marine eutrophication potential (MEP)","ReCiPe 2016 v1.03, midpoint (H) | human toxicity: carcinogenic | human toxicity potential (HTPc)","ReCiPe 2016 v1.03, midpoint (H) | human toxicity: non-carcinogenic | human toxicity potential (HTPnc)","ReCiPe 2016 v1.03, midpoint (H) | ionising radiation | ionising radiation potential (IRP)","ReCiPe 2016 v1.03, midpoint (H) | land use | agricultural land occupation (LOP)","ReCiPe 2016 v1.03, midpoint (H) | material resources: metals/minerals | surplus ore potential (SOP)","ReCiPe 2016 v1.03, midpoint (H) | ozone depletion | ozone depletion potential (ODPinfinite)","ReCiPe 2016 v1.03, midpoint (H) | particulate matter formation | particulate matter formation potential (PMFP)","ReCiPe 2016 v1.03, midpoint (H) | photochemical oxidant formation: human health | photochemical oxidant formation potential: humans (HOFP)","ReCiPe 2016 v1.03, midpoint (H) | photochemical oxidant formation: terrestrial ecosystems | photochemical oxidant formation potential: ecosystems (EOFP)","ReCiPe 2016 v1.03, midpoint (H) | water use | water consumption potential (WCP)"
SSP5H_2050,c3c4_only,prospective_conseq_IMAGE_SSP5H_2050_PERF,standard,"(107090, 107090)",107090,107090,-0.03348520364194461,1.540225327880843,8.340416344375027,43.97044980193468,52.43251715976801,-59.86677193702809,0.11849033053826058,0.006070633639363265,0.000511615208717941,3.1617235334853766,-8.930571761914756,-0.013440198219590272,-0.6384990722152406,0.13378012546302864,2.5159265539071025e-05,-0.00888932373662175,-0.000907541851119885,-0.0008601735513920163,0.03835297669903784
SSP5H_2050,gateA_only,prospective_conseq_IMAGE_SSP5H_2050_PERF,standard,"(107090, 107090)",107090,107090,-0.03799087620756499,-0.12622179723360138,-0.19423454398057244,43.121884335173874,51.313618307329854,-71.302424575049,-0.13719218685091217,-0.0020263352986257424,4.1976187394173054e-05,2.365736898732301,-27.88453560266312,-0.009675567014973949,-0.25412274579346283,0.11912170614579896,-1.0442761363726766e-06,-0.009829548520114523,-0.008166640517227203,-0.008409826330307825,-3.5188425516359794e-05
SSP5H_2050,joint,prospective_conseq_IMAGE_SSP5H_2050_PERF,standard,"(107090, 107090)",107090,107090,-0.06380709640068723,-6.046870781206268,-9.90789776528434,42.70621082518553,50.60752320759315,-81.52211093994468,-2.417469736090625,0.0033648035702192247,0.00038568802310286107,-34.1019434977924,-35.640150477968646,-0.03780985664439879,-5.530360860813027,-0.691040876571232,2.135256312171374e-05,-0.02210583661969645,-0.030950183838449143,-0.032180786439572215,-0.05448364224043513
SSP5H_2050,prep_only,prospective_conseq_IMAGE_SSP5H_2050_PERF,standard,"(107090, 107090)",107090,107090,-0.03781876217983723,-0.12158700621782369,-0.18972615953948346,43.1247165930151,51.31739768642302,-70.73082043888846,-0.13681451499527045,-0.00202549282587152,4.035932800902097e-05,2.3722050733218825,-27.831772826153262,-0.01147616431261824,-0.2519749425401941,0.11662555604965077,-1.0411899165600943e-06,-0.009792230552528817,-0.00811776124714061,-0.008359627309595392,-0.001453144026203329
SSP5H_2050,stageD_only,prospective_conseq_IMAGE_SSP5H_2050_PERF,standard,"(107090, 107090)",107090,107090,-0.030321892758742662,-7.587096109087111,-18.248314109659386,-1.264238976749101,-1.8249939521747245,-21.65533900291668,-2.5359600666288844,-0.0027058300691440423,-0.00012592718561508072,-37.263667031277734,-26.709578716053933,-0.02436965842480855,-4.891861788597785,-0.8248210020342605,-3.8067024173572756e-06,-0.013216512883074705,-0.030042641987329276,-0.031320612888180215,-0.09283661893947295
