tag,scenario_id,route,case,method,activity_key_hint,n,mean,sd,p2_5,p50,p97_5,min,max
prospect_al_base_routes_uncertainty_bgonly,SSP2M_2050,recycling_postcons,c3c4,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)","('mtcw_foreground_prospective__bgonly', 'AL_RW_recycling_postcons_refiner_C3C4_CA__SSP2M_2050')",50,,,,,,,
prospect_al_base_routes_uncertainty_bgonly,SSP2M_2050,recycling_postcons,staged_total,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)","('mtcw_foreground_prospective__bgonly', 'AL_SD_credit_recycling_postcons_CA__SSP2M_2050')",50,,,,,,,
prospect_al_base_routes_uncertainty_bgonly,SSP2M_2050,recycling_postcons,joint,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)","('mtcw_foreground_prospective__bgonly', 'AL_RW_recycling_postcons_refiner_C3C4_CA__SSP2M_2050') + ('mtcw_foreground_prospective__bgonly', 'AL_SD_credit_recycling_postcons_CA__SSP2M_2050')",50,,,,,,,
prospect_al_base_routes_uncertainty_bgonly,SSP2M_2050,recycling_postcons,net_wrapper,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)","('mtcw_foreground_prospective__bgonly', 'AL_RW_recycling_postcons_NET_CA__SSP2M_2050')",50,,,,,,,
