case,method,score
c3c4,"ReCiPe 2016 v1.03, endpoint (H) no LT | ecosystem quality no LT | acidification: terrestrial no LT",3.1836962589347595e-11
c3c4,"ReCiPe 2016 v1.03, endpoint (H) no LT | ecosystem quality no LT | climate change: terrestrial ecosystems no LT",5.234156879258798e-09
c3c4,"ReCiPe 2016 v1.03, endpoint (H) no LT | ecosystem quality no LT | ecotoxicity: freshwater no LT",6.459606726290231e-13
c3c4,"ReCiPe 2016 v1.03, endpoint (H) no LT | ecosystem quality no LT | ecotoxicity: marine no LT",3.677375618993536e-13
c3c4,"ReCiPe 2016 v1.03, endpoint (H) no LT | ecosystem quality no LT | ecotoxicity: terrestrial no LT",4.392353899945702e-11
c3c4,"ReCiPe 2016 v1.03, endpoint (H) no LT | ecosystem quality no LT | eutrophication: freshwater no LT",-2.5402753249723737e-11
c3c4,"ReCiPe 2016 v1.03, endpoint (H) no LT | ecosystem quality no LT | eutrophication: marine no LT",6.91486078709269e-14
c3c4,"ReCiPe 2016 v1.03, endpoint (H) no LT | ecosystem quality no LT | land use no LT",-6.780467526105645e-10
c3c4,"ReCiPe 2016 v1.03, endpoint (H) no LT | ecosystem quality no LT | photochemical oxidant formation: terrestrial ecosystems no LT",2.0940729486477458e-10
c3c4,"ReCiPe 2016 v1.03, endpoint (H) no LT | ecosystem quality no LT | water use: aquatic ecosystems no LT",2.2089054873609434e-15
c3c4,"ReCiPe 2016 v1.03, endpoint (H) no LT | ecosystem quality no LT | water use: terrestrial ecosystems no LT",4.937124537903181e-11
c3c4,"ReCiPe 2016 v1.03, endpoint (H) no LT | human health no LT | climate change: human health no LT",1.7350916935788098e-06
c3c4,"ReCiPe 2016 v1.03, endpoint (H) no LT | human health no LT | human toxicity: carcinogenic no LT",9.148457620811609e-08
c3c4,"ReCiPe 2016 v1.03, endpoint (H) no LT | human health no LT | human toxicity: non-carcinogenic no LT",1.0126272122304345e-07
c3c4,"ReCiPe 2016 v1.03, endpoint (H) no LT | human health no LT | ionising radiation no LT",-6.804218117239113e-12
c3c4,"ReCiPe 2016 v1.03, endpoint (H) no LT | human health no LT | ozone depletion no LT",3.2340066842130085e-09
c3c4,"ReCiPe 2016 v1.03, endpoint (H) no LT | human health no LT | particulate matter formation no LT",-3.084861511248392e-08
c3c4,"ReCiPe 2016 v1.03, endpoint (H) no LT | human health no LT | photochemical oxidant formation: human health no LT",1.4088269065432011e-09
c3c4,"ReCiPe 2016 v1.03, endpoint (H) no LT | human health no LT | water use: human health no LT",8.118824456845236e-09
c3c4,"ReCiPe 2016 v1.03, endpoint (H) no LT | natural resources no LT | energy resources: non-renewable, fossil no LT",0.043268399268060496
c3c4,"ReCiPe 2016 v1.03, endpoint (H) no LT | natural resources no LT | material resources: metals/minerals no LT",-0.0006633661794096455
c3c4,"ReCiPe 2016 v1.03, endpoint (H) no LT | total: ecosystem quality no LT | ecosystem quality no LT",4.817050144969433e-09
c3c4,"ReCiPe 2016 v1.03, endpoint (H) no LT | total: human health no LT | human health no LT",1.909727633774577e-06
c3c4,"ReCiPe 2016 v1.03, endpoint (H) no LT | total: natural resources no LT | natural resources no LT",0.04260503313802209
c3c4,"ReCiPe 2016 v1.03, endpoint (H) | ecosystem quality | acidification: terrestrial",3.1842457733833e-11
c3c4,"ReCiPe 2016 v1.03, endpoint (H) | ecosystem quality | climate change: freshwater ecosystems",1.4300315123451695e-13
c3c4,"ReCiPe 2016 v1.03, endpoint (H) | ecosystem quality | climate change: terrestrial ecosystems",5.234157200872732e-09
c3c4,"ReCiPe 2016 v1.03, endpoint (H) | ecosystem quality | ecotoxicity: freshwater",1.316653216458396e-10
c3c4,"ReCiPe 2016 v1.03, endpoint (H) | ecosystem quality | ecotoxicity: marine",2.6315230848920336e-11
c3c4,"ReCiPe 2016 v1.03, endpoint (H) | ecosystem quality | ecotoxicity: terrestrial",4.392154020800131e-11
c3c4,"ReCiPe 2016 v1.03, endpoint (H) | ecosystem quality | eutrophication: freshwater",9.97035175063423e-10
c3c4,"ReCiPe 2016 v1.03, endpoint (H) | ecosystem quality | eutrophication: marine",1.4199284346648842e-13
c3c4,"ReCiPe 2016 v1.03, endpoint (H) | ecosystem quality | land use",-6.780467526105645e-10
