tag,unc_layer,iteration,scenario_id,case,method,score,fu_scrap_kg,scrap_per_billet,fu_billet_kg,f_transition,pass_share
prospect_msfsc_fgonly_fgonly_stageDinert,fgonly,18,SSP2M_2050,c3c4,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",8.07598982744397,3.67,1.050420168067227,3.4938399999999996,0.2918505408680442,0.970984318773825
prospect_msfsc_fgonly_fgonly_stageDinert,fgonly,18,SSP2M_2050,staged_total,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",-39.535094936174424,3.67,1.050420168067227,3.4938399999999996,0.2918505408680442,0.970984318773825
prospect_msfsc_fgonly_fgonly_stageDinert,fgonly,18,SSP2M_2050,joint,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",-31.459105108730444,3.67,1.050420168067227,3.4938399999999996,0.2918505408680442,0.970984318773825
prospect_msfsc_fgonly_fgonly_stageDinert,fgonly,19,SSP2M_2050,c3c4,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",8.208563746994493,3.67,1.050420168067227,3.4938399999999996,0.31034709383596776,0.981754824642158
prospect_msfsc_fgonly_fgonly_stageDinert,fgonly,19,SSP2M_2050,staged_total,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",-39.97363237059241,3.67,1.050420168067227,3.4938399999999996,0.31034709383596776,0.981754824642158
prospect_msfsc_fgonly_fgonly_stageDinert,fgonly,19,SSP2M_2050,joint,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",-31.76506862359794,3.67,1.050420168067227,3.4938399999999996,0.31034709383596776,0.981754824642158
prospect_msfsc_fgonly_fgonly_stageDinert,fgonly,20,SSP2M_2050,c3c4,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",6.496786299250932,3.67,1.050420168067227,3.4938399999999996,0.07152208506763193,0.9690289761328346
prospect_msfsc_fgonly_fgonly_stageDinert,fgonly,20,SSP2M_2050,staged_total,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",-39.4554802035267,3.67,1.050420168067227,3.4938399999999996,0.07152208506763193,0.9690289761328346
prospect_msfsc_fgonly_fgonly_stageDinert,fgonly,20,SSP2M_2050,joint,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",-32.95869390427572,3.67,1.050420168067227,3.4938399999999996,0.07152208506763193,0.9690289761328346
prospect_msfsc_fgonly_fgonly_stageDinert,fgonly,21,SSP2M_2050,c3c4,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",7.176097736546231,3.67,1.050420168067227,3.4938399999999996,0.16629874000381428,0.9849676944794142
prospect_msfsc_fgonly_fgonly_stageDinert,fgonly,21,SSP2M_2050,staged_total,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",-40.10444922476561,3.67,1.050420168067227,3.4938399999999996,0.16629874000381428,0.9849676944794142
