tag,iteration,route,case,method,score
contemp_al_base_routes_uncertainty_rewire_embedded,5,reuse,c3c4,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",0.012921958089403959
contemp_al_base_routes_uncertainty_rewire_embedded,5,reuse,staged_total,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",-48.464925299690314
contemp_al_base_routes_uncertainty_rewire_embedded,5,reuse,joint,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",-48.45200334160088
contemp_al_base_routes_uncertainty_rewire_embedded,5,reuse,net_wrapper,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",-48.45200334160088
contemp_al_base_routes_uncertainty_rewire_embedded,5,recycling_postcons,c3c4,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",2.5261160712783384
contemp_al_base_routes_uncertainty_rewire_embedded,5,recycling_postcons,net_wrapper,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",-42.4335174240251
contemp_al_base_routes_uncertainty_rewire_embedded,5,landfill,c3c4,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",0.11218034846134445
contemp_al_base_routes_uncertainty_rewire_embedded,5,landfill,net_wrapper,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",0.11218034846134445
contemp_al_base_routes_uncertainty_rewire_embedded,6,reuse,c3c4,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",0.011592303516481734
contemp_al_base_routes_uncertainty_rewire_embedded,6,reuse,staged_total,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",-49.62583201776363
contemp_al_base_routes_uncertainty_rewire_embedded,6,reuse,joint,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",-49.614239714247184
contemp_al_base_routes_uncertainty_rewire_embedded,6,reuse,net_wrapper,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",-49.614239714247184
contemp_al_base_routes_uncertainty_rewire_embedded,6,recycling_postcons,c3c4,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",1.973484252611223
