scenario,case,bg_db,solver,tech_shape,n_activities,n_products,"ReCiPe 2016 v1.03, midpoint (H) | acidification: terrestrial | terrestrial acidification potential (TAP)","ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)","ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP1000)","ReCiPe 2016 v1.03, midpoint (H) | ecotoxicity: freshwater | freshwater ecotoxicity potential (FETP)","ReCiPe 2016 v1.03, midpoint (H) | ecotoxicity: marine | marine ecotoxicity potential (METP)","ReCiPe 2016 v1.03, midpoint (H) | ecotoxicity: terrestrial | terrestrial ecotoxicity potential (TETP)","ReCiPe 2016 v1.03, midpoint (H) | energy resources: non-renewable, fossil | fossil fuel potential (FFP)","ReCiPe 2016 v1.03, midpoint (H) | eutrophication: freshwater | freshwater eutrophication potential (FEP)","ReCiPe 2016 v1.03, midpoint (H) | eutrophication: marine | marine eutrophication potential (MEP)","ReCiPe 2016 v1.03, midpoint (H) | human toxicity: carcinogenic | human toxicity potential (HTPc)","ReCiPe 2016 v1.03, midpoint (H) | human toxicity: non-carcinogenic | human toxicity potential (HTPnc)","ReCiPe 2016 v1.03, midpoint (H) | ionising radiation | ionising radiation potential (IRP)","ReCiPe 2016 v1.03, midpoint (H) | land use | agricultural land occupation (LOP)","ReCiPe 2016 v1.03, midpoint (H) | material resources: metals/minerals | surplus ore potential (SOP)","ReCiPe 2016 v1.03, midpoint (H) | ozone depletion | ozone depletion potential (ODPinfinite)","ReCiPe 2016 v1.03, midpoint (H) | particulate matter formation | particulate matter formation potential (PMFP)","ReCiPe 2016 v1.03, midpoint (H) | photochemical oxidant formation: human health | photochemical oxidant formation potential: humans (HOFP)","ReCiPe 2016 v1.03, midpoint (H) | photochemical oxidant formation: terrestrial ecosystems | photochemical oxidant formation potential: ecosystems (EOFP)","ReCiPe 2016 v1.03, midpoint (H) | water use | water consumption potential (WCP)"
SSP1VLLO_2050,c3c4_only,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,standard,"(107031, 107031)",107031,107031,-0.039635574566763164,0.03102055668142017,-0.03426414356029368,45.85684960053512,54.57038717350408,-74.09349327144994,-0.1050522387710051,-0.0020102434421181686,0.00017845064084221293,2.553180518133154,-29.20651189091096,-0.027119626619886684,-0.27444132390754644,0.12251180745925741,-1.043855699032373e-06,-0.010201665638273284,-0.008321138044474142,-0.008562712665615785,0.0021598251792613156
SSP1VLLO_2050,degrease_only,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,standard,"(107031, 107031)",107031,107031,6.045345881242635e-05,0.016736677554323252,0.024677647076029933,0.0017215051951967079,0.002300684647714796,0.10195978565149214,0.004481449451350527,6.424242475644525e-05,0.00013239938028274212,0.01061977157885313,0.10441747066259902,-2.7611354477358586e-05,0.0030003100135789435,0.00025759715021205913,3.241701804726856e-08,3.337706777410222e-05,4.629956248678571e-05,4.923360875136351e-05,0.003294024628942166
SSP1VLLO_2050,gateA_only,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,standard,"(107031, 107031)",107031,107031,-0.03969602660593495,0.01428387861626627,-0.05894178852840035,45.855126455432746,54.568084537349606,-74.19545040366522,-0.10953368430512567,-0.0020744857926852183,4.605125891254945e-05,2.5425606556252514,-29.310928313333044,-0.027092014296523362,-0.2774416239990394,0.12225420593689393,-1.0762726785891277e-06,-0.01023504234001374,-0.008367437307718039,-0.008611945966379946,-0.0011341994091187248
SSP1VLLO_2050,joint,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,standard,"(107031, 107031)",107031,107031,-0.23081250017073238,-18.17273743379493,-19.088209951320863,42.76036259019353,50.423815192231764,-183.80500442047548,-4.112861925935885,-0.008816518351019697,-0.00023657312854800033,-41.209695110315266,-75.51783867001242,0.2083268241495598,-1.0388304412567009,-0.46181769219336605,-5.446460751737174e-06,-0.07722536493347758,-0.07485446624726287,-0.07680349072769145,0.059589731712005475
SSP1VLLO_2050,stageD_only,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,standard,"(107031, 107031)",107031,107031,-0.19117692560396943,-18.203757990476362,-19.053945807760584,-3.096487010341539,-4.146571981272333,-109.71151114902561,-4.0078096871648805,-0.0068062749089015245,-0.00041502376939021293,-43.76287562844843,-46.31132677910146,0.2354464507694464,-0.764389117349154,-0.5843294996526239,-4.402605052704808e-06,-0.06702369929520431,-0.06653332820278865,-0.0682407780620756,0.057429906532744476
SSP1VLLO_2050,staged_total,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,standard,"(107031, 107031)",107031,107031,-0.23081250017073238,-18.17273743379493,-19.088209951320863,42.76036259019352,50.42381519223175,-183.80500442047548,-4.112861925935885,-0.008816518351019697,-0.00023657312854800027,-41.209695110315266,-75.51783867001242,0.20832682414955975,-1.038830441256701,-0.46181769219336605,-5.446460751737174e-06,-0.07722536493347758,-0.07485446624726287,-0.07680349072769145,0.0595897317120055
