mode,runner,scenario,bg_db,fg_db,route,case,method,score,solver,tech_shape,n_activities,n_products,error
prospect,msfsc,SSP1VLLO_2050,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,mtcw_foreground_prospective,msfsc,gateA_only,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",0.014283878616265865,standard,"(107296, 107296)",107296,107296,
prospect,msfsc,SSP1VLLO_2050,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,mtcw_foreground_prospective,msfsc,gateA_only,"ReCiPe 2016 v1.03, midpoint (H) | acidification: terrestrial | terrestrial acidification potential (TAP)",-0.039696026605934964,standard,"(107296, 107296)",107296,107296,
prospect,msfsc,SSP1VLLO_2050,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,mtcw_foreground_prospective,msfsc,gateA_only,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP1000)",-0.05894178852840082,standard,"(107296, 107296)",107296,107296,
prospect,msfsc,SSP1VLLO_2050,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,mtcw_foreground_prospective,msfsc,gateA_only,"ReCiPe 2016 v1.03, midpoint (H) | ecotoxicity: freshwater | freshwater ecotoxicity potential (FETP)",45.85512645543273,standard,"(107296, 107296)",107296,107296,
prospect,msfsc,SSP1VLLO_2050,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,mtcw_foreground_prospective,msfsc,gateA_only,"ReCiPe 2016 v1.03, midpoint (H) | ecotoxicity: marine | marine ecotoxicity potential (METP)",54.568084537349584,standard,"(107296, 107296)",107296,107296,
prospect,msfsc,SSP1VLLO_2050,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,mtcw_foreground_prospective,msfsc,gateA_only,"ReCiPe 2016 v1.03, midpoint (H) | ecotoxicity: terrestrial | terrestrial ecotoxicity potential (TETP)",-74.19545040366526,standard,"(107296, 107296)",107296,107296,
prospect,msfsc,SSP1VLLO_2050,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,mtcw_foreground_prospective,msfsc,gateA_only,"ReCiPe 2016 v1.03, midpoint (H) | energy resources: non-renewable, fossil | fossil fuel potential (FFP)",-0.10953368430512578,standard,"(107296, 107296)",107296,107296,
prospect,msfsc,SSP1VLLO_2050,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,mtcw_foreground_prospective,msfsc,gateA_only,"ReCiPe 2016 v1.03, midpoint (H) | eutrophication: freshwater | freshwater eutrophication potential (FEP)",-0.0020744857926852187,standard,"(107296, 107296)",107296,107296,
prospect,msfsc,SSP1VLLO_2050,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,mtcw_foreground_prospective,msfsc,gateA_only,"ReCiPe 2016 v1.03, midpoint (H) | eutrophication: marine | marine eutrophication potential (MEP)",4.6051258912549444e-05,standard,"(107296, 107296)",107296,107296,
prospect,msfsc,SSP1VLLO_2050,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,mtcw_foreground_prospective,msfsc,gateA_only,"ReCiPe 2016 v1.03, midpoint (H) | human toxicity: carcinogenic | human toxicity potential (HTPc)",2.5425606556252522,standard,"(107296, 107296)",107296,107296,
prospect,msfsc,SSP1VLLO_2050,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,mtcw_foreground_prospective,msfsc,gateA_only,"ReCiPe 2016 v1.03, midpoint (H) | human toxicity: non-carcinogenic | human toxicity potential (HTPnc)",-29.310928313333054,standard,"(107296, 107296)",107296,107296,
prospect,msfsc,SSP1VLLO_2050,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,mtcw_foreground_prospective,msfsc,gateA_only,"ReCiPe 2016 v1.03, midpoint (H) | ionising radiation | ionising radiation potential (IRP)",-0.027092014296523373,standard,"(107296, 107296)",107296,107296,
prospect,msfsc,SSP1VLLO_2050,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,mtcw_foreground_prospective,msfsc,gateA_only,"ReCiPe 2016 v1.03, midpoint (H) | land use | agricultural land occupation (LOP)",-0.2774416239990395,standard,"(107296, 107296)",107296,107296,
prospect,msfsc,SSP1VLLO_2050,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,mtcw_foreground_prospective,msfsc,gateA_only,"ReCiPe 2016 v1.03, midpoint (H) | material resources: metals/minerals | surplus ore potential (SOP)",0.12225420593689407,standard,"(107296, 107296)",107296,107296,
