scenario_id,n,qrmse,qrmse_rel,denom_abs_median,meets_tol,stable_hits,tol_qrmse_rel
SSP5H_2050,800,inf,inf,3.0664699227751284,False,0,0.01
SSP5H_2050,1000,0.03604488397108709,0.011731344692717551,3.0725279083703523,False,0,0.01
SSP5H_2050,1200,0.01645105733766316,0.0053911171719249,3.051511739224415,True,1,0.01
SSP5H_2050,1400,0.027674819343169288,0.00914993672619971,3.024591335580045,True,2,0.01
SSP5H_2050,1600,0.03319114133727168,0.010995046149728236,3.0187359730265495,False,0,0.01
SSP5H_2050,1800,0.03126233760756213,0.010258906685187433,3.0473361896059545,False,0,0.01
SSP5H_2050,2000,0.030548684255927952,0.010027062067242583,3.0466236322329623,False,0,0.01
SSP5H_2050,2200,0.02303620766646414,0.007566943452188961,3.044321371240093,True,1,0.01
SSP5H_2050,2400,0.0161185144446257,0.00529061557656597,3.0466236322329623,True,2,0.01
SSP5H_2050,2600,0.005155140123063775,0.001693362656047002,3.044321371240093,True,3,0.01
