tag,unc_layer,iteration,scenario_id,case,method,score,f_Al,X_Al,L,f_makeup,Y_prep,R_PSA,E_aux,E_therm,der_prepared_mass_per_kg_gate,der_al_feed_kg_per_kg_gate,der_al_reacted_kg_per_kg_gate,der_h2_crude_kg_per_kg_gate,der_h2_usable_kg_per_kg_gate,der_aloh3_kg_per_kg_gate,der_electrolyte_makeup_kg_per_kg_gate,der_purge_m3_per_kg_gate,der_stoich_makeup_water_kg_per_kg_gate,der_elec_total_kwh_per_kg_gate
prospect_hydrolysis_fgonly_fgonly,fgonly,1,SSP2M_2050,c3c4,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",3.0618967387650153,0.9627274008520021,0.9294764396311215,203.75273083460257,0.13131458842790622,0.8181929559958377,0.9435653689023806,0.11348601445589311,0.03419201536020478,0.8181929559958377,0.7876967779212894,0.7321455966511863,0.08205152934721607,0.07742098155751044,2.1166321654690106,21.075383399811102,0.0210753833998111,1.4665369720601569,0.12082912375087461
prospect_hydrolysis_fgonly_fgonly,fgonly,1,SSP2M_2050,staged_total,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",-5.7179486119993195,0.9627274008520021,0.9294764396311215,203.75273083460257,0.13131458842790622,0.8181929559958377,0.9435653689023806,0.11348601445589311,0.03419201536020478,0.8181929559958377,0.7876967779212894,0.7321455966511863,0.08205152934721607,0.07742098155751044,2.1166321654690106,21.075383399811102,0.0210753833998111,1.4665369720601569,0.12082912375087461
prospect_hydrolysis_fgonly_fgonly,fgonly,1,SSP2M_2050,joint,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",-2.656051873234299,0.9627274008520021,0.9294764396311215,203.75273083460257,0.13131458842790622,0.8181929559958377,0.9435653689023806,0.11348601445589311,0.03419201536020478,0.8181929559958377,0.7876967779212894,0.7321455966511863,0.08205152934721607,0.07742098155751044,2.1166321654690106,21.075383399811102,0.0210753833998111,1.4665369720601569,0.12082912375087461
prospect_hydrolysis_fgonly_fgonly,fgonly,2,SSP2M_2050,c3c4,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",2.858352313370717,0.9349030271236635,0.9724741604256257,270.7821367155955,0.09740127676077617,0.7911942221781169,0.9309712639035365,0.14915754281347265,0.024691220604991113,0.7911942221781169,0.7396898733570738,0.7193292885682577,0.08061520618472032,0.07505044039163326,2.0795802320080066,19.508969678523876,0.019508969678523877,1.440865043232204,0.1375481371494989
prospect_hydrolysis_fgonly_fgonly,fgonly,2,SSP2M_2050,staged_total,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",-5.579754236302662,0.9349030271236635,0.9724741604256257,270.7821367155955,0.09740127676077617,0.7911942221781169,0.9309712639035365,0.14915754281347265,0.024691220604991113,0.7911942221781169,0.7396898733570738,0.7193292885682577,0.08061520618472032,0.07505044039163326,2.0795802320080066,19.508969678523876,0.019508969678523877,1.440865043232204,0.1375481371494989
prospect_hydrolysis_fgonly_fgonly,fgonly,2,SSP2M_2050,joint,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",-2.721401922931944,0.9349030271236635,0.9724741604256257,270.7821367155955,0.09740127676077617,0.7911942221781169,0.9309712639035365,0.14915754281347265,0.024691220604991113,0.7911942221781169,0.7396898733570738,0.7193292885682577,0.08061520618472032,0.07505044039163326,2.0795802320080066,19.508969678523876,0.019508969678523877,1.440865043232204,0.1375481371494989
prospect_hydrolysis_fgonly_fgonly,fgonly,3,SSP2M_2050,c3c4,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",1.625943801606181,0.967244876872373,0.9020762340554762,106.72033280105136,0.10092776158958044,0.8880003519772903,0.9275447302977546,0.16248598283535354,0.022656720362931072,0.8880003519772903,0.858913791110898,0.7748057180636309,0.08683244754168368,0.08054097913614491,2.239962532512675,9.251398498836698,0.009251398498836699,1.5519880702707927,0.16440678560610372
prospect_hydrolysis_fgonly_fgonly,fgonly,3,SSP2M_2050,staged_total,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",-5.998912445825592,0.967244876872373,0.9020762340554762,106.72033280105136,0.10092776158958044,0.8880003519772903,0.9275447302977546,0.16248598283535354,0.022656720362931072,0.8880003519772903,0.858913791110898,0.7748057180636309,0.08683244754168368,0.08054097913614491,2.239962532512675,9.251398498836698,0.009251398498836699,1.5519880702707927,0.16440678560610372
prospect_hydrolysis_fgonly_fgonly,fgonly,3,SSP2M_2050,joint,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",-4.372968644219411,0.967244876872373,0.9020762340554762,106.72033280105136,0.10092776158958044,0.8880003519772903,0.9275447302977546,0.16248598283535354,0.022656720362931072,0.8880003519772903,0.858913791110898,0.7748057180636309,0.08683244754168368,0.08054097913614491,2.239962532512675,9.251398498836698,0.009251398498836699,1.5519880702707927,0.16440678560610372
prospect_hydrolysis_fgonly_fgonly,fgonly,4,SSP2M_2050,c3c4,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",4.94844538588568,0.97561621300047,0.9658482791893944,145.35919340618793,0.2914402612994584,0.8660726012909528,0.9471987675429084,0.14482139269360322,0.01951560237372446,0.8660726012909528,0.8449544714549453,0.8160978222481432,0.09146005209711747,0.08663084862579987,2.3593379631600797,35.795246756259765,0.035795246756259766,1.634698937778199,0.14232776880629897
prospect_hydrolysis_fgonly_fgonly,fgonly,4,SSP2M_2050,staged_total,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",-6.3860741452472,0.97561621300047,0.9658482791893944,145.35919340618793,0.2914402612994584,0.8660726012909528,0.9471987675429084,0.14482139269360322,0.01951560237372446,0.8660726012909528,0.8449544714549453,0.8160978222481432,0.09146005209711747,0.08663084862579987,2.3593379631600797,35.795246756259765,0.035795246756259766,1.634698937778199,0.14232776880629897
