tag,unc_layer,iteration,scenario_id,case,method,score,f_Al,X_Al,L,f_makeup,Y_prep,R_PSA,E_aux,E_therm,der_prepared_mass_per_kg_gate,der_al_feed_kg_per_kg_gate,der_al_reacted_kg_per_kg_gate,der_h2_crude_kg_per_kg_gate,der_h2_usable_kg_per_kg_gate,der_aloh3_kg_per_kg_gate,der_electrolyte_makeup_kg_per_kg_gate,der_purge_m3_per_kg_gate,der_stoich_makeup_water_kg_per_kg_gate,der_elec_total_kwh_per_kg_gate
prospect_hydrolysis_fgonly_fgonly,fgonly,1,SSP5H_2050,c3c4,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",4.7175329529016015,0.9845060032160078,0.975758724845132,175.466875618744,0.33242647272186604,0.7755548713712104,0.9288044055779456,0.15925984483128705,0.05007468603829198,0.7755548713712104,0.7635384266883753,0.7450292815957075,0.08349540343204419,0.07755089855319057,2.1538788853674498,44.53707009478379,0.04453707009478379,1.4923438612826525,0.16235041516210905
prospect_hydrolysis_fgonly_fgonly,fgonly,1,SSP5H_2050,staged_total,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",-5.874944401776457,0.9845060032160078,0.975758724845132,175.466875618744,0.33242647272186604,0.7755548713712104,0.9288044055779456,0.15925984483128705,0.05007468603829198,0.7755548713712104,0.7635384266883753,0.7450292815957075,0.08349540343204419,0.07755089855319057,2.1538788853674498,44.53707009478379,0.04453707009478379,1.4923438612826525,0.16235041516210905
prospect_hydrolysis_fgonly_fgonly,fgonly,1,SSP5H_2050,joint,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",-1.1574114488748564,0.9845060032160078,0.975758724845132,175.466875618744,0.33242647272186604,0.7755548713712104,0.9288044055779456,0.15925984483128705,0.05007468603829198,0.7755548713712104,0.7635384266883753,0.7450292815957075,0.08349540343204419,0.07755089855319057,2.1538788853674498,44.53707009478379,0.04453707009478379,1.4923438612826525,0.16235041516210905
prospect_hydrolysis_fgonly_fgonly,fgonly,2,SSP5H_2050,c3c4,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",2.851465604608762,0.9847396360990015,0.9285477276253882,112.46078370774158,0.19893830510408256,0.9233693090355222,0.9851523155102437,0.07963410037436225,0.05897179161508989,0.9233693090355222,0.9092783573646266,0.8443083525098697,0.0946216051574077,0.09321669341811621,2.4408945770767994,20.343064372532112,0.02034306437253211,1.691206531103184,0.12798442671455265
prospect_hydrolysis_fgonly_fgonly,fgonly,2,SSP5H_2050,staged_total,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",-6.8842783918318435,0.9847396360990015,0.9285477276253882,112.46078370774158,0.19893830510408256,0.9233693090355222,0.9851523155102437,0.07963410037436225,0.05897179161508989,0.9233693090355222,0.9092783573646266,0.8443083525098697,0.0946216051574077,0.09321669341811621,2.4408945770767994,20.343064372532112,0.02034306437253211,1.691206531103184,0.12798442671455265
prospect_hydrolysis_fgonly_fgonly,fgonly,2,SSP5H_2050,joint,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",-4.032812787223083,0.9847396360990015,0.9285477276253882,112.46078370774158,0.19893830510408256,0.9233693090355222,0.9851523155102437,0.07963410037436225,0.05897179161508989,0.9233693090355222,0.9092783573646266,0.8443083525098697,0.0946216051574077,0.09321669341811621,2.4408945770767994,20.343064372532112,0.02034306437253211,1.691206531103184,0.12798442671455265
prospect_hydrolysis_fgonly_fgonly,fgonly,3,SSP5H_2050,c3c4,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",4.166288061236455,0.9823217087513981,0.924653654494557,153.31071005411343,0.29092584981832803,0.8530235842976781,0.9697521844842591,0.12141028891349233,0.06347848170950927,0.8530235842976781,0.8379435849325375,0.774807598068141,0.08683265823371808,0.0842061600067232,2.2399679676037767,37.374000506546444,0.03737400050654644,1.551991836046527,0.1577144818132241
prospect_hydrolysis_fgonly_fgonly,fgonly,3,SSP5H_2050,staged_total,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",-6.2607871941614555,0.9823217087513981,0.924653654494557,153.31071005411343,0.29092584981832803,0.8530235842976781,0.9697521844842591,0.12141028891349233,0.06347848170950927,0.8530235842976781,0.8379435849325375,0.774807598068141,0.08683265823371808,0.0842061600067232,2.2399679676037767,37.374000506546444,0.03737400050654644,1.551991836046527,0.1577144818132241
prospect_hydrolysis_fgonly_fgonly,fgonly,3,SSP5H_2050,joint,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",-2.094499132925003,0.9823217087513981,0.924653654494557,153.31071005411343,0.29092584981832803,0.8530235842976781,0.9697521844842591,0.12141028891349233,0.06347848170950927,0.8530235842976781,0.8379435849325375,0.774807598068141,0.08683265823371808,0.0842061600067232,2.2399679676037767,37.374000506546444,0.03737400050654644,1.551991836046527,0.1577144818132241
prospect_hydrolysis_fgonly_fgonly,fgonly,4,SSP5H_2050,c3c4,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",2.3876688466296767,0.99670314995637,0.9484810482091902,129.75014129266435,0.15630652320361338,0.8055382114569946,0.936420801278868,0.10239719222447802,0.020507964445385152,0.8055382114569946,0.8028824727694069,0.7615188093611137,0.08534338418553572,0.07991732020286962,2.2015500931453773,16.28309361142823,0.016283093611428233,1.5253734966863084,0.09900480008268328
prospect_hydrolysis_fgonly_fgonly,fgonly,4,SSP5H_2050,staged_total,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",-6.032582153637649,0.99670314995637,0.9484810482091902,129.75014129266435,0.15630652320361338,0.8055382114569946,0.936420801278868,0.10239719222447802,0.020507964445385152,0.8055382114569946,0.8028824727694069,0.7615188093611137,0.08534338418553572,0.07991732020286962,2.2015500931453773,16.28309361142823,0.016283093611428233,1.5253734966863084,0.09900480008268328
prospect_hydrolysis_fgonly_fgonly,fgonly,4,SSP5H_2050,joint,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",-3.6449133070079722,0.99670314995637,0.9484810482091902,129.75014129266435,0.15630652320361338,0.8055382114569946,0.936420801278868,0.10239719222447802,0.020507964445385152,0.8055382114569946,0.8028824727694069,0.7615188093611137,0.08534338418553572,0.07991732020286962,2.2015500931453773,16.28309361142823,0.016283093611428233,1.5253734966863084,0.09900480008268328
prospect_hydrolysis_fgonly_fgonly,fgonly,5,SSP5H_2050,c3c4,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",2.3515436399922476,0.9613508132317194,0.958781714365601,117.3620644124889,0.15818341263931873,0.856570012596379,0.9113892987664334,0.14540594261886472,0.030781524141182903,0.856570012596379,0.8234642781994331,0.7895224923708847,0.08848175588211653,0.08064132544702493,2.282508711869842,15.287393523665568,0.015287393523665567,1.581466761025434,0.1509169006219781
prospect_hydrolysis_fgonly_fgonly,fgonly,5,SSP5H_2050,staged_total,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",-6.160345449324642,0.9613508132317194,0.958781714365601,117.3620644124889,0.15818341263931873,0.856570012596379,0.9113892987664334,0.14540594261886472,0.030781524141182903,0.856570012596379,0.8234642781994331,0.7895224923708847,0.08848175588211653,0.08064132544702493,2.282508711869842,15.287393523665568,0.015287393523665567,1.581466761025434,0.1509169006219781
prospect_hydrolysis_fgonly_fgonly,fgonly,5,SSP5H_2050,joint,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",-3.8088018093323903,0.9613508132317194,0.958781714365601,117.3620644124889,0.15818341263931873,0.856570012596379,0.9113892987664334,0.14540594261886472,0.030781524141182903,0.856570012596379,0.8234642781994331,0.7895224923708847,0.08848175588211653,0.08064132544702493,2.282508711869842,15.287393523665568,0.015287393523665567,1.581466761025434,0.1509169006219781
prospect_hydrolysis_fgonly_fgonly,fgonly,6,SSP5H_2050,c3c4,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",2.7548186988195487,0.9745949548295665,0.9334892519022212,106.52542099954145,0.24353813891141002,0.8230696268630812,0.9580474600087404,0.18511382060225792,0.06227182672835194,0.8230696268630812,0.8021595058142127,0.7488072769887648,0.0839188032329649,0.0803981962843153,2.164801066155691,20.81042628692124,0.020810426286921237,1.4999114406678649,0.20361561243968684
