scenario,route,case,bg_db,method,score,solver,tech_shape,n_activities,n_products,error
SSP5H_2050,reuse,net,prospective_conseq_IMAGE_SSP5H_2050_PERF,"ReCiPe 2016 v1.03, midpoint (H) | energy resources: non-renewable, fossil | fossil fuel potential (FFP)",-11.65061269216039,standard,"(107090, 107090)",107090,107090,
SSP5H_2050,reuse,net,prospective_conseq_IMAGE_SSP5H_2050_PERF,"ReCiPe 2016 v1.03, midpoint (H) | eutrophication: freshwater | freshwater eutrophication potential (FEP)",-0.007281532135518516,standard,"(107090, 107090)",107090,107090,
SSP5H_2050,reuse,net,prospective_conseq_IMAGE_SSP5H_2050_PERF,"ReCiPe 2016 v1.03, midpoint (H) | eutrophication: marine | marine eutrophication potential (MEP)",-0.00136415482087647,standard,"(107090, 107090)",107090,107090,
SSP5H_2050,reuse,net,prospective_conseq_IMAGE_SSP5H_2050_PERF,"ReCiPe 2016 v1.03, midpoint (H) | human toxicity: carcinogenic | human toxicity potential (HTPc)",-45.18000560343348,standard,"(107090, 107090)",107090,107090,
SSP5H_2050,reuse,net,prospective_conseq_IMAGE_SSP5H_2050_PERF,"ReCiPe 2016 v1.03, midpoint (H) | human toxicity: non-carcinogenic | human toxicity potential (HTPnc)",-46.513107319522526,standard,"(107090, 107090)",107090,107090,
SSP5H_2050,reuse,net,prospective_conseq_IMAGE_SSP5H_2050_PERF,"ReCiPe 2016 v1.03, midpoint (H) | ionising radiation | ionising radiation potential (IRP)",0.036150414182970256,standard,"(107090, 107090)",107090,107090,
SSP5H_2050,reuse,net,prospective_conseq_IMAGE_SSP5H_2050_PERF,"ReCiPe 2016 v1.03, midpoint (H) | land use | agricultural land occupation (LOP)",-0.8363445634133269,standard,"(107090, 107090)",107090,107090,
SSP5H_2050,reuse,net,prospective_conseq_IMAGE_SSP5H_2050_PERF,"ReCiPe 2016 v1.03, midpoint (H) | material resources: metals/minerals | surplus ore potential (SOP)",-0.8970159969651835,standard,"(107090, 107090)",107090,107090,
SSP5H_2050,reuse,net,prospective_conseq_IMAGE_SSP5H_2050_PERF,"ReCiPe 2016 v1.03, midpoint (H) | ozone depletion | ozone depletion potential (ODPinfinite)",-8.678291892404853e-06,standard,"(107090, 107090)",107090,107090,
SSP5H_2050,reuse,net,prospective_conseq_IMAGE_SSP5H_2050_PERF,"ReCiPe 2016 v1.03, midpoint (H) | particulate matter formation | particulate matter formation potential (PMFP)",-0.0708631320250967,standard,"(107090, 107090)",107090,107090,
SSP5H_2050,reuse,net,prospective_conseq_IMAGE_SSP5H_2050_PERF,"ReCiPe 2016 v1.03, midpoint (H) | photochemical oxidant formation: human health | photochemical oxidant formation potential: humans (HOFP)",-0.0841897096221734,standard,"(107090, 107090)",107090,107090,
SSP5H_2050,reuse,net,prospective_conseq_IMAGE_SSP5H_2050_PERF,"ReCiPe 2016 v1.03, midpoint (H) | photochemical oxidant formation: terrestrial ecosystems | photochemical oxidant formation potential: ecosystems (EOFP)",-0.08949775186501559,standard,"(107090, 107090)",107090,107090,
SSP5H_2050,reuse,net,prospective_conseq_IMAGE_SSP5H_2050_PERF,"ReCiPe 2016 v1.03, midpoint (H) | water use | water consumption potential (WCP)",-0.205185581444548,standard,"(107090, 107090)",107090,107090,
SSP5H_2050,reuse,stageD_only,prospective_conseq_IMAGE_SSP5H_2050_PERF,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",-39.978507301153606,standard,"(107090, 107090)",107090,107090,
SSP5H_2050,reuse,stageD_only,prospective_conseq_IMAGE_SSP5H_2050_PERF,"ReCiPe 2016 v1.03, midpoint (H) | acidification: terrestrial | terrestrial acidification potential (TAP)",-0.191336816729043,standard,"(107090, 107090)",107090,107090,
SSP5H_2050,reuse,stageD_only,prospective_conseq_IMAGE_SSP5H_2050_PERF,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP1000)",-41.18314812930869,standard,"(107090, 107090)",107090,107090,
