mode,runner,scenario,bg_db,fg_db,route,split_policy,credit_mode,case,method,score
prospect,al_base_routes,SSP5H_2050,prospective_conseq_IMAGE_SSP5H_2050_PERF,mtcw_foreground_prospective,reuse,explicit,external_stageD,stageD_only,"ReCiPe 2016 v1.03, midpoint (H) | ecotoxicity: terrestrial | terrestrial ecotoxicity potential (TETP)",-57.90327361151501
prospect,al_base_routes,SSP5H_2050,prospective_conseq_IMAGE_SSP5H_2050_PERF,mtcw_foreground_prospective,reuse,explicit,external_stageD,joint,"ReCiPe 2016 v1.03, midpoint (H) | ecotoxicity: terrestrial | terrestrial ecotoxicity potential (TETP)",-57.85936473476699
prospect,al_base_routes,SSP5H_2050,prospective_conseq_IMAGE_SSP5H_2050_PERF,mtcw_foreground_prospective,reuse,explicit,external_stageD,c3c4,"ReCiPe 2016 v1.03, midpoint (H) | energy resources: non-renewable, fossil | fossil fuel potential (FFP)",0.0017892629955136219
prospect,al_base_routes,SSP5H_2050,prospective_conseq_IMAGE_SSP5H_2050_PERF,mtcw_foreground_prospective,reuse,explicit,external_stageD,net_wrapper,"ReCiPe 2016 v1.03, midpoint (H) | energy resources: non-renewable, fossil | fossil fuel potential (FFP)",-12.909426385141586
prospect,al_base_routes,SSP5H_2050,prospective_conseq_IMAGE_SSP5H_2050_PERF,mtcw_foreground_prospective,reuse,explicit,external_stageD,stageD_only,"ReCiPe 2016 v1.03, midpoint (H) | energy resources: non-renewable, fossil | fossil fuel potential (FFP)",-12.911215648137102
prospect,al_base_routes,SSP5H_2050,prospective_conseq_IMAGE_SSP5H_2050_PERF,mtcw_foreground_prospective,reuse,explicit,external_stageD,joint,"ReCiPe 2016 v1.03, midpoint (H) | energy resources: non-renewable, fossil | fossil fuel potential (FFP)",-12.909426385141586
prospect,al_base_routes,SSP5H_2050,prospective_conseq_IMAGE_SSP5H_2050_PERF,mtcw_foreground_prospective,reuse,explicit,external_stageD,c3c4,"ReCiPe 2016 v1.03, midpoint (H) | eutrophication: freshwater | freshwater eutrophication potential (FEP)",3.2152421783669196e-05
prospect,al_base_routes,SSP5H_2050,prospective_conseq_IMAGE_SSP5H_2050_PERF,mtcw_foreground_prospective,reuse,explicit,external_stageD,net_wrapper,"ReCiPe 2016 v1.03, midpoint (H) | eutrophication: freshwater | freshwater eutrophication potential (FEP)",-0.00774373676975579
prospect,al_base_routes,SSP5H_2050,prospective_conseq_IMAGE_SSP5H_2050_PERF,mtcw_foreground_prospective,reuse,explicit,external_stageD,stageD_only,"ReCiPe 2016 v1.03, midpoint (H) | eutrophication: freshwater | freshwater eutrophication potential (FEP)",-0.00777588919153946
prospect,al_base_routes,SSP5H_2050,prospective_conseq_IMAGE_SSP5H_2050_PERF,mtcw_foreground_prospective,reuse,explicit,external_stageD,joint,"ReCiPe 2016 v1.03, midpoint (H) | eutrophication: freshwater | freshwater eutrophication potential (FEP)",-0.00774373676975579
