scenario,route,case,"ReCiPe 2016 v1.03, midpoint (H) | acidification: terrestrial | terrestrial acidification potential (TAP)","ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)","ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP1000)","ReCiPe 2016 v1.03, midpoint (H) | ecotoxicity: freshwater | freshwater ecotoxicity potential (FETP)","ReCiPe 2016 v1.03, midpoint (H) | ecotoxicity: marine | marine ecotoxicity potential (METP)","ReCiPe 2016 v1.03, midpoint (H) | ecotoxicity: terrestrial | terrestrial ecotoxicity potential (TETP)","ReCiPe 2016 v1.03, midpoint (H) | energy resources: non-renewable, fossil | fossil fuel potential (FFP)","ReCiPe 2016 v1.03, midpoint (H) | eutrophication: freshwater | freshwater eutrophication potential (FEP)","ReCiPe 2016 v1.03, midpoint (H) | eutrophication: marine | marine eutrophication potential (MEP)","ReCiPe 2016 v1.03, midpoint (H) | human toxicity: carcinogenic | human toxicity potential (HTPc)","ReCiPe 2016 v1.03, midpoint (H) | human toxicity: non-carcinogenic | human toxicity potential (HTPnc)","ReCiPe 2016 v1.03, midpoint (H) | ionising radiation | ionising radiation potential (IRP)","ReCiPe 2016 v1.03, midpoint (H) | land use | agricultural land occupation (LOP)","ReCiPe 2016 v1.03, midpoint (H) | material resources: metals/minerals | surplus ore potential (SOP)","ReCiPe 2016 v1.03, midpoint (H) | ozone depletion | ozone depletion potential (ODPinfinite)","ReCiPe 2016 v1.03, midpoint (H) | particulate matter formation | particulate matter formation potential (PMFP)","ReCiPe 2016 v1.03, midpoint (H) | photochemical oxidant formation: human health | photochemical oxidant formation potential: humans (HOFP)","ReCiPe 2016 v1.03, midpoint (H) | photochemical oxidant formation: terrestrial ecosystems | photochemical oxidant formation potential: ecosystems (EOFP)","ReCiPe 2016 v1.03, midpoint (H) | water use | water consumption potential (WCP)"
SSP5H_2050,landfill,c3c4,0.00023741961779017394,0.0767232408837034,0.08194731669313998,0.029907785095114717,0.041179511139848725,0.5834785303287573,0.03158913696149457,3.184931334919984e-06,3.8211380428905e-05,0.00488539424448184,1.073549501906329,-9.300225501666602e-05,0.014256621743158896,0.00011560665655171893,7.044202886249621e-08,0.00010692986632267543,0.00041661371555332425,0.0004386651975484895,0.0006489790314653156
SSP5H_2050,landfill,net,0.00023741961779017394,0.0767232408837034,0.08194731669313998,0.029907785095114717,0.041179511139848725,0.5834785303287573,0.03158913696149457,3.184931334919984e-06,3.8211380428905e-05,0.00488539424448184,1.073549501906329,-9.300225501666602e-05,0.014256621743158896,0.00011560665655171893,7.044202886249621e-08,0.00010692986632267543,0.00041661371555332425,0.0004386651975484895,0.0006489790314653156
SSP5H_2050,recycling_postcons,c3c4,-0.1998195839514284,-45.482924100664604,-46.157208337276856,-1.3068929280330868,-1.8376208643131162,4.238470027688302,-12.021548425086415,-0.006399884446525668,-0.0007740556789509439,-46.759768909780945,-8.318491485030444,0.0008449264094281755,-0.5557805902385431,-0.8891141846810617,-6.776830916626766e-06,-0.07330933918864053,-0.08632980462091791,-0.093666870424503,-0.22646580059552304
SSP5H_2050,recycling_postcons,joint,-0.4051617164148808,-93.17352151527534,-94.63845277326635,-3.498970024641992,-4.896484592336811,-38.840406487006945,-24.634375536170737,-0.013782858906100726,-0.0015603121174697751,-94.07381571958834,-50.65557556775196,0.02405063941254395,-1.2060596465217028,-1.8555518105057731,-1.508873351035697e-05,-0.14825667630902523,-0.17757584565824547,-0.19256242600423945,-0.44588771698775037
SSP5H_2050,recycling_postcons,net,-0.4051617164148808,-93.17352151527534,-94.63845277326635,-3.498970024641992,-4.896484592336811,-38.840406487006945,-24.634375536170737,-0.013782858906100726,-0.0015603121174697751,-94.07381571958834,-50.65557556775196,0.02405063941254395,-1.2060596465217028,-1.8555518105057731,-1.508873351035697e-05,-0.14825667630902523,-0.17757584565824547,-0.19256242600423945,-0.44588771698775037
SSP5H_2050,recycling_postcons,staged_total,-0.20534213246345268,-47.69059741461069,-48.48124443598945,-2.1920770966089083,-3.058863728023691,-43.07887651469527,-12.612827111084318,-0.007382974459575061,-0.0007862564385188317,-47.31404680980743,-42.33708408272149,0.023205713003115743,-0.6502790562831595,-0.9664376258247115,-8.311902593730216e-06,-0.07494733712038468,-0.0912460410373277,-0.09889555557973656,-0.21942191639222652
SSP5H_2050,reuse,c3c4,0.00015291645359193526,0.03463283538137981,0.05170604384479348,0.0039819622636299455,0.005349854001099215,0.3454886679258997,0.009125019498610455,0.00014376753692014582,0.0003109807506863358,0.02539648263470776,0.24503698136087093,-0.0003510831335140217,0.003255305674110545,6.890259480602046e-05,7.499523426872501e-08,7.870101144716348e-05,0.00010512478123725407,0.0001119851367765415,0.00745823004328726
SSP5H_2050,reuse,joint,-0.2013733233592713,-48.854438264013204,-49.78760257240522,-2.4662611941400017,-3.4052980956166286,-57.55778494358911,-12.902090628638486,-0.007632121654619314,-0.0011692247850623406,-45.2940587296846,-47.358709594394995,0.03713403043115541,-0.7705171427066787,-0.9015153427842845,-8.92539773976525e-06,-0.07410923516726617,-0.09180990710617035,-0.09950789296043057,-0.20165131579160273
SSP5H_2050,reuse,net,-0.20149792195201524,-48.88265761157121,-49.82973342325929,-2.4695057560086138,-3.4096572359462995,-57.83929423066317,-12.909525829766825,-0.007749265574464075,-0.0014226165097317141,-45.314752160133665,-47.558369358472916,0.037420098171705614,-0.7731696140164567,-0.9015714856397296,-8.986504968143204e-06,-0.07417336191781199,-0.09189556433596478,-0.09959914010959497,-0.20772839216844752
SSP5H_2050,reuse,staged_total,-0.20152623981286316,-48.889071099394585,-49.839308616250015,-2.470243156403633,-3.4106479496177298,-57.903273611515004,-12.911215648137102,-0.007775889191539462,-0.0014802055357486764,-45.319455212319255,-47.60374657575585,0.03748511356466944,-0.7737724483807896,-0.9015842453790909,-9.00039297403397e-06,-0.07418793617871333,-0.09191503188740768,-0.0996198780972072,-0.20910954583489016
