scenario,route,case,bg_db,"ReCiPe 2016 v1.03, midpoint (H) | acidification: terrestrial | terrestrial acidification potential (TAP)","ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)","ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP1000)","ReCiPe 2016 v1.03, midpoint (H) | ecotoxicity: freshwater | freshwater ecotoxicity potential (FETP)","ReCiPe 2016 v1.03, midpoint (H) | ecotoxicity: marine | marine ecotoxicity potential (METP)","ReCiPe 2016 v1.03, midpoint (H) | ecotoxicity: terrestrial | terrestrial ecotoxicity potential (TETP)","ReCiPe 2016 v1.03, midpoint (H) | energy resources: non-renewable, fossil | fossil fuel potential (FFP)","ReCiPe 2016 v1.03, midpoint (H) | eutrophication: freshwater | freshwater eutrophication potential (FEP)","ReCiPe 2016 v1.03, midpoint (H) | eutrophication: marine | marine eutrophication potential (MEP)","ReCiPe 2016 v1.03, midpoint (H) | human toxicity: carcinogenic | human toxicity potential (HTPc)","ReCiPe 2016 v1.03, midpoint (H) | human toxicity: non-carcinogenic | human toxicity potential (HTPnc)","ReCiPe 2016 v1.03, midpoint (H) | ionising radiation | ionising radiation potential (IRP)","ReCiPe 2016 v1.03, midpoint (H) | land use | agricultural land occupation (LOP)","ReCiPe 2016 v1.03, midpoint (H) | material resources: metals/minerals | surplus ore potential (SOP)","ReCiPe 2016 v1.03, midpoint (H) | ozone depletion | ozone depletion potential (ODPinfinite)","ReCiPe 2016 v1.03, midpoint (H) | particulate matter formation | particulate matter formation potential (PMFP)","ReCiPe 2016 v1.03, midpoint (H) | photochemical oxidant formation: human health | photochemical oxidant formation potential: humans (HOFP)","ReCiPe 2016 v1.03, midpoint (H) | photochemical oxidant formation: terrestrial ecosystems | photochemical oxidant formation potential: ecosystems (EOFP)","ReCiPe 2016 v1.03, midpoint (H) | water use | water consumption potential (WCP)"
SSP5H_2050,landfill,c3c4_only,prospective_conseq_IMAGE_SSP5H_2050_PERF,0.00023741961779017394,0.0767232408837034,0.08194731669313997,0.029907785095114717,0.041179511139848725,0.5834785303287573,0.03158913696149456,3.1849313349199817e-06,3.8211380428905e-05,0.004885394244481843,1.073549501906329,-9.300225501666606e-05,0.014256621743158896,0.00011560665655171887,7.04420288624962e-08,0.00010692986632267543,0.0004166137155533242,0.00043866519754848937,0.0006489790314653154
SSP5H_2050,landfill,net,prospective_conseq_IMAGE_SSP5H_2050_PERF,0.00023741961779017394,0.0767232408837034,0.08194731669313997,0.029907785095114717,0.041179511139848725,0.5834785303287573,0.03158913696149456,3.1849313349199817e-06,3.8211380428905e-05,0.004885394244481843,1.073549501906329,-9.300225501666606e-05,0.014256621743158896,0.00011560665655171887,7.04420288624962e-08,0.00010692986632267543,0.0004166137155533242,0.00043866519754848937,0.0006489790314653154
SSP5H_2050,recycling_postcons,c3c4_only,prospective_conseq_IMAGE_SSP5H_2050_PERF,-0.18911763286511374,-36.12415892467697,-37.065642959681,-1.2691806544380926,-1.7845317297273489,6.6553233711284445,-10.699311954017059,-0.005908624014619803,-0.0007126533670236241,-46.618244600996036,-7.220652763327846,-0.0004886226866044655,-0.6221332397226218,-0.8843295549166286,-6.453114722532128e-06,-0.06983260472537653,-0.07823634539885514,-0.08305738233002755,-0.22379508648687585
SSP5H_2050,recycling_postcons,joint,prospective_conseq_IMAGE_SSP5H_2050_PERF,-0.38375781424225175,-74.45599116330011,-76.45532201807468,-3.4235454774520067,-4.790306323165275,-34.00669980012669,-21.989902594032042,-0.012800338042289014,-0.0014375074936151357,-93.79076710201852,-48.45989812434665,0.021383541220478666,-1.3387649454898594,-1.845982550976907,-1.4441301122167702e-05,-0.1413032073824972,-0.16138892721412,-0.1713434498152886,-0.4405462887704547
SSP5H_2050,recycling_postcons,net,prospective_conseq_IMAGE_SSP5H_2050_PERF,-0.18911763286511374,-36.12415892467697,-37.065642959681,-1.2691806544380926,-1.7845317297273489,6.6553233711284445,-10.699311954017059,-0.005908624014619803,-0.0007126533670236241,-46.618244600996036,-7.220652763327846,-0.0004886226866044655,-0.6221332397226218,-0.8843295549166286,-6.453114722532128e-06,-0.06983260472537653,-0.07823634539885514,-0.08305738233002755,-0.22379508648687585
SSP5H_2050,recycling_postcons,stageD_only,prospective_conseq_IMAGE_SSP5H_2050_PERF,-0.19464018137713807,-38.331832238623115,-39.38967905839366,-2.1543648230139136,-3.005774593437926,-40.66202317125513,-11.290590640014978,-0.006891714027669197,-0.0007248541265915122,-47.17252250102247,-41.23924536101883,0.021872163907083117,-0.7166317057672379,-0.9616529960602778,-7.988186399635587e-06,-0.07147060265712066,-0.0831525818152649,-0.08828606748526108,-0.21675120228357897
SSP5H_2050,reuse,c3c4_only,prospective_conseq_IMAGE_SSP5H_2050_PERF,2.8317860847952465e-05,0.006413487823338335,0.00957519299069209,0.0007374003950168606,0.0009907136714291357,0.0639793808518331,0.001689818370272038,2.662361707538495e-05,5.75890260169615e-05,0.0047030521855826275,0.04537721728295056,-6.501539296381845e-05,0.0006028343643320943,1.2759739360595847e-05,1.3888005890775873e-08,1.4574260901322834e-05,1.9467551442776884e-05,2.07379876121079e-05,0.001381153666442116
SSP5H_2050,reuse,joint,prospective_conseq_IMAGE_SSP5H_2050_PERF,-0.19130849886819504,-39.97209381333018,-41.17357293631792,-2.4335995639495267,-3.3591105973861586,-55.53818660559202,-11.65061269216039,-0.007281532135518516,-0.00136415482087647,-45.18000560343348,-46.513107319522526,0.03615041418297025,-0.8363445634133269,-0.8970159969651835,-8.678291892404853e-06,-0.07086313202509671,-0.0841897096221734,-0.08949775186501559,-0.205185581444548
SSP5H_2050,reuse,net,prospective_conseq_IMAGE_SSP5H_2050_PERF,-0.19130849886819504,-39.97209381333018,-41.17357293631792,-2.4335995639495267,-3.3591105973861586,-55.53818660559202,-11.65061269216039,-0.007281532135518516,-0.00136415482087647,-45.18000560343348,-46.513107319522526,0.03615041418297025,-0.8363445634133269,-0.8970159969651835,-8.678291892404853e-06,-0.07086313202509671,-0.0841897096221734,-0.08949775186501559,-0.205185581444548
SSP5H_2050,reuse,stageD_only,prospective_conseq_IMAGE_SSP5H_2050_PERF,-0.19133681672904304,-39.9785073011536,-41.183148129308684,-2.4343369643445443,-3.3601013110575884,-55.6021659864439,-11.652302510530667,-0.007308155752593911,-0.0014217438468934328,-45.184708655619055,-46.55848453680549,0.036215429575934044,-0.836947397777659,-0.8970287567045442,-8.692179898295634e-06,-0.07087770628599807,-0.08420917717361616,-0.08951848985262766,-0.20656673511098983
